Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2017-06-22,560.0,560.0,476.0,478.0,478.0,113946600,1.0,,560.0,560.0,476.0,,,,,,,,,,,,,,,,,,,,,,,,,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0
2017-06-23,478.0,478.0,478.0,478.0,478.0,0,1.0,,478.0,478.0,478.0,0.0,0.0,,,,,-14.642857142857146,-15.8326051237739,,,,,-14.642857142857146,-15.8326051237739,,,,,0.4201680672268892,0.4192878260035957,,,,,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0,,478.0
2017-06-26,478.0,478.0,478.0,478.0,478.0,0,1.0,,478.0,478.0,478.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,478.0,478.0,,478.0,,478.0,,478.0,478.0,478.0,,478.0,,478.0,,478.0,478.0,478.0,,478.0,,478.0,,478.0,478.0,478.0,,478.0,,478.0,,478.0
2017-06-27,478.0,478.0,478.0,478.0,478.0,0,1.0,,478.0,478.0,478.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,478.0,478.0,,478.0,,478.0,,478.0,478.0,478.0,,478.0,,478.0,,478.0,478.0,478.0,,478.0,,478.0,,478.0,478.0,478.0,,478.0,,478.0,,478.0
2017-06-28,478.0,478.0,478.0,478.0,478.0,0,1.0,,478.0,478.0,478.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0
2017-06-29,478.0,478.0,478.0,478.0,478.0,0,1.0,,478.0,478.0,478.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-14.642857142857146,-15.8326051237739,,,0.0,0.0,-14.642857142857146,-15.8326051237739,,,0.0,0.0,0.4201680672268892,0.4192878260035957,,,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0
2017-06-30,478.0,478.0,478.0,478.0,478.0,0,1.0,,478.0,478.0,478.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0,478.0,478.0,478.0,478.0,,478.0,,478.0
2017-07-03,482.0,494.0,468.0,480.0,480.0,6320400,1.0,,482.0,494.0,468.0,0.4184100418409997,0.4175371410480592,0.4184100418409997,0.4175371410480592,,,0.8368200836819994,0.8333381559144241,0.8368200836819994,0.8333381559144241,,,3.347280334728042,3.292478469646661,3.347280334728042,3.292478469646661,,,-2.092050209205021,-2.114243657380924,-2.092050209205021,-2.114243657380924,,,478.6666666666667,479.00392156862745,478.4,478.69373513084855,,478.4550096385453,,478.380870499341,478.6666666666667,479.00392156862745,478.4,478.69373513084855,,478.4550096385453,,478.380870499341,478.6666666666667,479.00392156862745,478.4,478.69373513084855,,478.4550096385453,,478.380870499341,478.6666666666667,479.00392156862745,478.4,478.69373513084855,,478.4550096385453,,478.380870499341
2017-07-04,480.0,488.0,480.0,482.0,482.0,2169000,1.0,,480.0,488.0,480.0,0.4166666666666652,0.4158010148663677,0.8368200836819994,0.8333381559144241,,,-0.4149377593360981,-0.4158010148663677,0.4184100418409997,0.4175371410480592,,,-1.2145748987854257,-1.2220111334775332,2.092050209205021,2.07046733616912,,,2.564102564102555,2.5317807984289784,0.4184100418409997,0.4175371410480592,,,480.0,480.50489236790605,479.2,479.8252568984404,,479.2262754868583,,479.02775150901374,480.0,480.50489236790605,479.2,479.8252568984404,,479.2262754868583,,479.02775150901374,480.0,480.50489236790605,479.2,479.8252568984404,,479.2262754868583,,479.02775150901374,480.0,480.50489236790605,479.2,479.8252568984404,,479.2262754868583,,479.02775150901374
2017-07-05,488.0,488.0,478.0,480.0,480.0,994100,1.0,,488.0,488.0,478.0,-0.4149377593360981,-0.4158010148663677,0.4184100418409997,0.4175371410480592,,,1.6666666666666607,1.6529301951210509,2.092050209205021,2.07046733616912,,,0.0,0.0,2.092050209205021,2.07046733616912,,,-0.4166666666666652,-0.4175371410480621,0.0,0.0,,,480.6666666666667,480.25219941348973,479.6,479.8845325290823,478.8,479.3888010908482,,479.1926680967157,480.6666666666667,480.25219941348973,479.6,479.8845325290823,478.8,479.3888010908482,,479.1926680967157,480.6666666666667,480.25219941348973,479.6,479.8845325290823,478.8,479.3888010908482,,479.1926680967157,480.6666666666667,480.25219941348973,479.6,479.8845325290823,478.8,479.3888010908482,,479.1926680967157
2017-07-06,478.0,600.0,476.0,600.0,600.0,33491700,1.0,,478.0,600.0,476.0,25.0,22.314355131420974,25.52301255230125,22.731892272469032,,,-2.049180327868849,-2.070467336169117,0.0,0.0,,,22.95081967213115,20.661424936299923,25.52301255230125,22.731892272469032,,,-0.4184100418409997,-0.4192878260035927,-0.4184100418409997,-0.4192878260035927,,,520.6666666666666,540.1553492916463,504.0,520.3913214809908,491.0,504.02816115380415,,498.809117139588,520.6666666666666,540.1553492916463,504.0,520.3913214809908,491.0,504.02816115380415,,498.809117139588,520.6666666666666,540.1553492916463,504.0,520.3913214809908,491.0,504.02816115380415,,498.809117139588,520.6666666666666,540.1553492916463,504.0,520.3913214809908,491.0,504.02816115380415,,498.809117139588
