Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2022-07-20,160.0,189.0,160.0,189.0,174.27789306640625,75657800,0.9221052543196098,,147.53684069113757,174.27789306640625,147.53684069113757,,,,,,,,,,,,,,,,,,,,,,,,,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625,,174.27789306640625
2022-07-21,254.0,254.0,210.0,240.0,221.3052673339844,923526700,0.9221052805582683,,234.21474126180016,234.21474126180016,193.6421089172364,26.98413059748146,23.889193673751503,,,,,58.75000451725767,46.21604802398757,,,,,34.39153821566787,29.558728041406024,,,,,31.25000373474065,27.19337439388082,,,,,,205.62947591145834,,202.49431762695315,,200.14294891357423,,199.35915934244792,,205.62947591145834,,202.49431762695315,,200.14294891357423,,199.35915934244792,,205.62947591145834,,202.49431762695315,,200.14294891357423,,199.35915934244792,,205.62947591145834,,202.49431762695315,,200.14294891357423,,199.35915934244792
2022-07-22,224.0,234.0,224.0,224.0,206.55157470703125,52580400,0.922105244227818,,206.55157470703125,215.7726271493094,206.55157470703125,-6.66667034394961,-6.899291088641234,,,,,-11.8110270966453,-12.56882545629576,,,,,-7.874019377745556,-8.201319106029624,,,,,6.66666246405756,6.453848173811003,,,,,200.71157836914062,206.15638950892858,,204.41617624383224,,202.71917390031277,,202.0829142734144,200.71157836914062,206.15638950892858,,204.41617624383224,,202.71917390031277,,202.0829142734144,200.71157836914062,206.15638950892858,,204.41617624383224,,202.71917390031277,,202.0829142734144,200.71157836914062,206.15638950892858,,204.41617624383224,,202.71917390031277,,202.0829142734144
2022-07-25,210.0,222.0,210.0,210.0,193.64210510253903,124405600,0.922105262393043,,193.64210510253903,204.7073682512556,193.64210510253903,-6.2499981531502495,-6.453850143784069,,,,,-6.2499981531502495,-6.453850143784069,,,,,-5.128203259256281,-5.264371378569108,,,,,-6.2499981531502495,-6.453850143784069,,,,,207.16631571451822,199.4821044921875,,199.94079284667964,,199.72868415530365,,199.5332421226839,207.16631571451822,199.4821044921875,,199.94079284667964,,199.72868415530365,,199.5332421226839,207.16631571451822,199.4821044921875,,199.94079284667964,,199.72868415530365,,199.5332421226839,207.16631571451822,199.4821044921875,,199.94079284667964,,199.72868415530365,,199.5332421226839
2022-07-26,200.0,228.0,196.0,216.0,199.1747436523437,115143700,0.9221052946867764,,184.42105893735527,210.24000718858505,180.73263775860812,2.8571464593792677,2.8170911988438583,,,,,-4.761901426500681,-4.8790129147689765,,,,,2.7027062995303552,2.6668282103903644,,,,,-6.666663397970685,-6.89928364652094,,,,,199.7894744873047,199.32346663936488,198.99031677246094,199.64671708961228,,199.56966290270395,,199.44124226462282,199.7894744873047,199.32346663936488,198.99031677246094,199.64671708961228,,199.56966290270395,,199.44124226462282,199.7894744873047,199.32346663936488,198.99031677246094,199.64671708961228,,199.56966290270395,,199.44124226462282,199.7894744873047,199.32346663936488,198.99031677246094,199.64671708961228,,199.56966290270395,,199.44124226462282
2022-07-27,216.0,242.0,214.0,238.0,219.4610595703125,200266800,0.9221052923122374,,199.17474313944328,223.14948073956143,197.3305325548188,10.185184901444243,9.699226341218182,25.92593111433232,23.052369981388228,,,7.999999721886208,7.696103856100062,35.00000556227687,30.01046336523881,,,6.140350603867972,5.959209462711742,28.042333317934556,24.7190752299094,,,9.18367318822586,8.78613532162066,33.750005510774294,29.08022409900745,,,204.09263610839844,209.55208527095735,208.02695007324218,206.88714599609372,,204.73614570229594,,203.98125661441233,204.09263610839844,209.55208527095735,208.02695007324218,206.88714599609372,,204.73614570229594,,203.98125661441233,204.09263610839844,209.55208527095735,208.02695007324218,206.88714599609372,,204.73614570229594,,203.98125661441233,204.09263610839844,209.55208527095735,208.02695007324218,206.88714599609372,,204.73614570229594,,203.98125661441233
2022-07-28,240.0,250.0,228.0,234.0,215.77264404296875,123659400,0.9221053164229434,,221.3052759415064,230.52632910573584,210.2400121444311,-1.6806696981074398,-1.6949532166319363,-2.49999620780198,-2.5317769089951963,,,11.111114016383803,10.53605418052802,-5.511807348566434,-5.669530478220746,,,3.3057878251502526,3.252321785301414,-1.574799321423359,-1.5873310261952236,,,6.542058860569888,6.336964008004316,8.57143279424244,8.223813713130959,,,211.469482421875,212.68685504582922,206.92042541503906,210.0331042652399,,207.39549845559745,,206.40825066523288,211.469482421875,212.68685504582922,206.92042541503906,210.0331042652399,,207.39549845559745,,206.40825066523288,211.469482421875,212.68685504582922,206.92042541503906,210.0331042652399,,207.39549845559745,,206.40825066523288,211.469482421875,212.68685504582922,206.92042541503906,210.0331042652399,,207.39549845559745,,206.40825066523288
2022-07-29,238.0,284.0,232.0,276.0,254.5010681152344,385490900,0.9221053192580956,,219.46106598342675,261.8779106692991,213.9284340678782,17.948718311369127,16.507975343409985,23.214295740041567,20.87548952305601,,,-0.8333330284304274,-0.8368246595865462,6.250008645398153,6.062470318488473,,,13.600000349280371,12.751332337361076,21.36753124300888,19.36532041719547,,,1.7543862777715358,1.739174578652048,3.571436998875521,3.5091401179720103,,,229.91159057617188,233.67595023360906,216.51032409667968,225.45759862526177,,218.11224256774636,,215.566818363681,229.91159057617188,233.67595023360906,216.51032409667968,225.45759862526177,,218.11224256774636,,215.566818363681,229.91159057617188,233.67595023360906,216.51032409667968,225.45759862526177,,218.11224256774636,,215.566818363681,229.91159057617188,233.67595023360906,216.51032409667968,225.45759862526177,,218.11224256774636,,215.566818363681
2022-08-01,278.0,290.0,270.0,278.0,256.34527587890625,124327800,0.922105308916929,,256.34527587890625,267.4105395859094,248.9684334075708,0.7246365515593212,0.7220236758752205,32.38095906009908,28.051363342715295,,,16.806721379119203,15.535042880442743,32.38095906009908,28.051363342715295,,,2.112674911171464,2.0906673604578976,30.630637221466618,26.72035915622249,,,16.37930903966447,15.16845761173298,28.57143505836961,25.131447873489066,,,242.20632934570312,245.0327943925055,229.05095825195312,236.02846349726434,,226.43041267927572,,222.85553510220728,242.20632934570312,245.0327943925055,229.05095825195312,236.02846349726434,,226.43041267927572,,222.85553510220728,242.20632934570312,245.0327943925055,229.05095825195312,236.02846349726434,,226.43041267927572,,222.85553510220728,242.20632934570312,245.0327943925055,229.05095825195312,236.02846349726434,,226.43041267927572,,222.85553510220728
2022-08-02,278.0,288.0,270.0,272.0,250.8126220703125,87706600,0.9221052281996784,,256.3452534395106,265.5663057215074,248.9684116139132,-2.1582819459514013,-2.1819134930470403,25.925916846215145,23.052358650824413,,,-8.753582669829285e-06,-8.753583052955355e-06,38.999989977601615,32.93036750390122,,,-0.6896638656269438,-0.6920530380404477,26.315780365862864,23.361477907791688,,,-8.753582658727055e-06,-8.753583041853123e-06,37.755092108179575,32.03072276642697,,,253.88632202148438,247.925533171623,239.37853393554687,241.04348449154793,219.1844253540039,231.55204607795926,,227.59772542454903,253.88632202148438,247.925533171623,239.37853393554687,241.04348449154793,219.1844253540039,231.55204607795926,,227.59772542454903,253.88632202148438,247.925533171623,239.37853393554687,241.04348449154793,219.1844253540039,231.55204607795926,,227.59772542454903,253.88632202148438,247.925533171623,239.37853393554687,241.04348449154793,219.1844253540039,231.55204607795926,,227.59772542454903
2022-08-03,272.0,276.0,264.0,268.0,247.12420654296875,33634800,0.9221052482946596,,250.8126275361474,254.50104852932603,243.43578554979013,-1.4705860880915855,-1.4815063992637565,12.60503664149737,11.871625910342464,,,-2.1582712490788247,-2.18190256021368,25.92591991473143,23.05236108758749,,,-4.166664578218448,-4.255959262629302,14.04958133259344,13.146309182450642,,,-2.222220091399696,-2.247283405955572,23.36448009238672,20.99730403885074,,,251.4273681640625,247.5246741253397,244.91116333007812,243.0940990376867,226.46905670166015,234.73324377871756,,230.76839574572406,251.4273681640625,247.5246741253397,244.91116333007812,243.0940990376867,226.46905670166015,234.73324377871756,,230.76839574572406,251.4273681640625,247.5246741253397,244.91116333007812,243.0940990376867,226.46905670166015,234.73324377871756,,230.76839574572406,251.4273681640625,247.5246741253397,244.91116333007812,243.0940990376867,226.46905670166015,234.73324377871756,,230.76839574572406
2022-08-04,270.0,284.0,268.0,284.0,261.8778991699219,68069200,0.9221052787673304,,248.9684252671792,261.8778991699218,247.1242147096445,5.970152755710645,5.798729069719574,21.3675164112888,19.365308196693967,,,-0.7352908372615374,-0.7380074250776372,12.499995405886532,11.778299481981849,,,2.8985541251103086,2.857340549090216,13.5999953609663,12.751327946239453,,,1.5151548699071649,1.5037910411386668,17.543854849035423,16.16413107198508,,,253.27157592773438,254.70303917816125,254.13221435546876,249.40399832946923,230.5263198852539,240.15669624564757,,235.63788218228055,253.27157592773438,254.70303917816125,254.13221435546876,249.40399832946923,230.5263198852539,240.15669624564757,,235.63788218228055,253.27157592773438,254.70303917816125,254.13221435546876,249.40399832946923,230.5263198852539,240.15669624564757,,235.63788218228055,253.27157592773438,254.70303917816125,254.13221435546876,249.40399832946923,230.5263198852539,240.15669624564757,,235.63788218228055
2022-08-05,294.0,322.0,282.0,296.0,272.9431457519531,257832800,0.9221052221349768,,271.0989353076832,296.9178815274625,260.03367264206344,4.225345711533857,4.13851547464881,7.246365515593212,6.995848327932802,,,8.88888220132924,8.515774692394086,23.529398753652277,21.13089883396245,,,13.380274726736175,12.55772459668362,13.380269748070518,12.55772020556199,,,5.223874134546769,5.092002901089098,21.551711335182453,19.516959394422116,,,260.64841715494794,263.82420588872793,257.8206298828125,257.2909055555131,237.16547698974608,246.5916681339506,,241.29870380201763,260.64841715494794,263.82420588872793,257.8206298828125,257.2909055555131,237.16547698974608,246.5916681339506,,241.29870380201763,260.64841715494794,263.82420588872793,257.8206298828125,257.2909055555131,237.16547698974608,246.5916681339506,,241.29870380201763,260.64841715494794,263.82420588872793,257.8206298828125,257.2909055555131,237.16547698974608,246.5916681339506,,241.29870380201763
2022-08-08,296.0,300.0,282.0,288.0,265.5663146972656,73866600,0.9221052593655056,,272.94315677218964,276.6315778096517,260.0336831410726,-2.7026987742683417,-2.739893381253988,3.597116735131589,3.5339312708035955,,,0.6802761738674334,0.677972736095313,6.474814422218556,6.273828689615018,,,-6.832294374946391,-7.076903051263265,3.448270303040868,3.390149793840829,,,4.037557532754477e-06,4.037557451245125e-06,4.444438831884967,4.348505820246579,,,266.79578653971356,264.69531346118356,259.6648376464844,260.05885685169403,244.35789794921874,250.26275664916682,,244.88523429204884,266.79578653971356,264.69531346118356,259.6648376464844,260.05885685169403,244.35789794921874,250.26275664916682,,244.88523429204884,266.79578653971356,264.69531346118356,259.6648376464844,260.05885685169403,244.35789794921874,250.26275664916682,,244.88523429204884,266.79578653971356,264.69531346118356,259.6648376464844,260.05885685169403,244.35789794921874,250.26275664916682,,244.88523429204884
2022-08-09,288.0,300.0,284.0,288.0,265.5663146972656,59327900,0.9221052593655056,,265.5663146972656,276.6315778096517,261.8778936598036,0.0,0.0,5.882356519847343,5.715844763850628,,,-2.702702702702686,-2.739897418811428,3.5971258035916387,3.533940024386647,,,0.0,0.0,4.166670187349819,4.082202831881282,,,0.7092198581560405,0.7067167223092573,5.185188740292768,5.055231296138872,,,268.02525838216144,265.1308273700543,262.615576171875,261.8988781133049,250.99705505371094,253.18947593800587,233.6614756266276,247.87360106872785,268.02525838216144,265.1308273700543,262.615576171875,261.8988781133049,250.99705505371094,253.18947593800587,233.6614756266276,247.87360106872785,268.02525838216144,265.1308273700543,262.615576171875,261.8988781133049,250.99705505371094,253.18947593800587,233.6614756266276,247.87360106872785,268.02525838216144,265.1308273700543,262.615576171875,261.8988781133049,250.99705505371094,253.18947593800587,233.6614756266276,247.87360106872785
