Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2001-11-15,600.0,600.0,412.5,412.5,412.5,0,1.0,,600.0,600.0,412.5,,,,,,,,,,,,,,,,,,,,,,,,,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5,,412.5
2001-11-16,600.0,600.0,312.5,312.5,312.5,0,1.0,,600.0,600.0,312.5,-24.24242424242424,-27.76317365982795,,,,,0.0,0.0,,,,,0.0,0.0,,,,,-24.24242424242424,-27.76317365982795,,,,,,345.8333333333333,,352.5,,357.5,,359.1666666666667,,345.8333333333333,,352.5,,357.5,,359.1666666666667,,345.8333333333333,,352.5,,357.5,,359.1666666666667,,345.8333333333333,,352.5,,357.5,,359.1666666666667
2001-11-19,400.0,487.5,400.0,450.0,450.0,12000,1.0,,400.0,487.5,400.0,43.99999999999999,36.46431135879092,,,,,-33.333333333333336,-40.54651081081644,,,,,-18.75,-20.763936477824448,,,,,28.000000000000004,24.68600779315258,,,,,391.6666666666667,405.35714285714283,,398.6842105263157,,394.68438538205976,,393.56508875739644,391.6666666666667,405.35714285714283,,398.6842105263157,,394.68438538205976,,393.56508875739644,391.6666666666667,405.35714285714283,,398.6842105263157,,394.68438538205976,,393.56508875739644,391.6666666666667,405.35714285714283,,398.6842105263157,,394.68438538205976,,393.56508875739644
2001-11-20,412.5,425.0,412.5,425.0,425.0,8000,1.0,,412.5,425.0,412.5,-5.555555555555558,-5.715841383994864,,,,,3.125,3.0771658666753687,,,,,-12.82051282051282,-13.720112151348502,,,,,3.125,3.0771658666753687,,,,,395.8333333333333,415.8333333333333,,409.6153846153846,,404.6720297029703,,403.0604719764012,395.8333333333333,415.8333333333333,,409.6153846153846,,404.6720297029703,,403.0604719764012,395.8333333333333,415.8333333333333,,409.6153846153846,,404.6720297029703,,403.0604719764012,395.8333333333333,415.8333333333333,,409.6153846153846,,404.6720297029703,,403.0604719764012
2001-11-21,425.0,425.0,425.0,425.0,425.0,0,1.0,,425.0,425.0,425.0,0.0,0.0,,,,,3.030303030303028,2.985296314968113,,,,,0.0,0.0,,,,,3.030303030303028,2.985296314968113,,,,,433.3333333333333,420.56451612903226,405.0,415.52132701421795,,410.5076371051548,,408.69071486748953,433.3333333333333,420.56451612903226,405.0,415.52132701421795,,410.5076371051548,,408.69071486748953,433.3333333333333,420.56451612903226,405.0,415.52132701421795,,410.5076371051548,,408.69071486748953,433.3333333333333,420.56451612903226,405.0,415.52132701421795,,410.5076371051548,,408.69071486748953
2001-11-22,425.0,425.0,425.0,425.0,425.0,0,1.0,,425.0,425.0,425.0,0.0,0.0,3.030303030303028,2.985296314968113,,,0.0,0.0,-29.166666666666664,-34.484048629172946,,,0.0,0.0,-29.166666666666664,-34.484048629172946,,,0.0,0.0,3.030303030303028,2.985296314968113,,,425.0,422.8174603174603,407.5,418.98496240601503,,414.27180434151535,,412.38926952489703,425.0,422.8174603174603,407.5,418.98496240601503,,414.27180434151535,,412.38926952489703,425.0,422.8174603174603,407.5,418.98496240601503,,414.27180434151535,,412.38926952489703,425.0,422.8174603174603,407.5,418.98496240601503,,414.27180434151535,,412.38926952489703
2001-11-23,425.0,425.0,425.0,425.0,425.0,0,1.0,,425.0,425.0,425.0,0.0,0.0,36.00000000000001,30.748469974796077,,,0.0,0.0,-29.166666666666664,-34.484048629172946,,,0.0,0.0,-29.166666666666664,-34.484048629172946,,,0.0,0.0,36.00000000000001,30.748469974796077,,,425.0,423.9173228346457,430.0,421.1146187469646,,416.85686853322613,,414.98490706331376,425.0,423.9173228346457,430.0,421.1146187469646,,416.85686853322613,,414.98490706331376,425.0,423.9173228346457,430.0,421.1146187469646,,416.85686853322613,,414.98490706331376,425.0,423.9173228346457,430.0,421.1146187469646,,416.85686853322613,,414.98490706331376
2001-11-26,425.0,425.0,425.0,425.0,425.0,0,1.0,,425.0,425.0,425.0,0.0,0.0,-5.555555555555558,-5.715841383994864,,,0.0,0.0,6.25,6.062462181643484,,,0.0,0.0,-12.82051282051282,-13.720112151348502,,,0.0,0.0,6.25,6.062462181643484,,,425.0,424.46078431372547,425.0,422.46233148295005,,418.7094701858876,,416.8921337871847,425.0,424.46078431372547,425.0,422.46233148295005,,418.7094701858876,,416.8921337871847,425.0,424.46078431372547,425.0,422.46233148295005,,418.7094701858876,,416.8921337871847,425.0,424.46078431372547,425.0,422.46233148295005,,418.7094701858876,,416.8921337871847
2001-11-27,425.0,425.0,425.0,425.0,425.0,0,1.0,,425.0,425.0,425.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.030303030303028,2.985296314968113,,,0.0,0.0,0.0,0.0,,,0.0,0.0,3.030303030303028,2.985296314968113,,,425.0,424.73091976516633,425.0,423.3308121642064,,420.07806934095805,,418.3413288715504,425.0,424.73091976516633,425.0,423.3308121642064,,420.07806934095805,,418.3413288715504,425.0,424.73091976516633,425.0,423.3308121642064,,420.07806934095805,,418.3413288715504,425.0,424.73091976516633,425.0,423.3308121642064,,420.07806934095805,,418.3413288715504
2001-11-28,425.0,425.0,425.0,425.0,425.0,0,1.0,,425.0,425.0,425.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,425.0,424.86559139784947,425.0,423.89702714347266,415.0,421.11195121954694,,419.4707986843751,425.0,424.86559139784947,425.0,423.89702714347266,415.0,421.11195121954694,,419.4707986843751,425.0,424.86559139784947,425.0,423.89702714347266,415.0,421.11195121954694,,419.4707986843751,425.0,424.86559139784947,425.0,423.89702714347266,415.0,421.11195121954694,,419.4707986843751
