Date,Open,High,Low,Close,Adj Close,Volume
2024-01-08,422.0,422.0,288.0,422.0,422.0,595805000
2024-01-09,424.0,510.0,320.0,430.0,430.0,877480900
2024-01-10,410.0,530.0,360.0,525.0,525.0,616627300
2024-01-11,550.0,655.0,535.0,655.0,655.0,517175700
2024-01-12,685.0,780.0,492.0,492.0,492.0,330110500
2024-01-15,492.0,492.0,492.0,492.0,492.0,0
2024-01-16,510.0,575.0,438.0,540.0,540.0,687883500
2024-01-17,560.0,640.0,492.0,620.0,620.0,722197600
2024-01-18,620.0,770.0,620.0,760.0,760.0,750030900
2024-01-19,770.0,935.0,760.0,930.0,930.0,1076566900
2024-01-22,940.0,1030.0,700.0,700.0,700.0,171263100
2024-01-23,650.0,650.0,525.0,525.0,525.0,79040300
2024-01-24,474.0,480.0,394.0,394.0,394.0,145429300
2024-01-25,300.0,340.0,296.0,296.0,296.0,193384700
2024-01-26,222.0,370.0,222.0,320.0,320.0,1673263700
2024-01-29,320.0,322.0,282.0,282.0,282.0,281311700
2024-01-30,282.0,290.0,226.0,230.0,230.0,330028900
2024-01-31,197.0,258.0,197.0,206.0,206.0,255529100
2024-02-01,196.0,228.0,196.0,216.0,216.0,137380200
2024-02-02,218.0,234.0,216.0,234.0,234.0,124535800
2024-02-05,236.0,248.0,218.0,218.0,218.0,122508200
2024-02-06,218.0,226.0,208.0,208.0,208.0,48534800
2024-02-07,206.0,210.0,181.0,181.0,181.0,111108400
2024-02-12,172.0,191.0,162.0,166.0,166.0,74908500
2024-02-13,148.0,170.0,148.0,150.0,150.0,106476200
2024-02-15,150.0,150.0,150.0,150.0,150.0,0
2024-02-16,150.0,174.0,150.0,157.0,157.0,123083300
2024-02-19,157.0,161.0,151.0,156.0,156.0,31965900
2024-02-20,157.0,160.0,152.0,152.0,152.0,11928900
2024-02-21,152.0,154.0,133.0,138.0,138.0,41777300
2024-02-22,129.0,141.0,129.0,132.0,132.0,36883700
2024-02-23,132.0,132.0,132.0,132.0,132.0,0
2024-02-26,132.0,132.0,132.0,132.0,132.0,0
2024-02-27,132.0,132.0,132.0,132.0,132.0,0
2024-02-28,132.0,132.0,132.0,132.0,132.0,0
2024-02-29,132.0,132.0,132.0,132.0,132.0,0
2024-03-01,132.0,132.0,132.0,132.0,132.0,0
2024-03-04,132.0,145.0,127.0,145.0,145.0,52184300
2024-03-05,155.0,159.0,148.0,159.0,159.0,60198300
2024-03-06,169.0,171.0,153.0,160.0,160.0,65409400
2024-03-07,151.0,162.0,151.0,151.0,151.0,21544800
2024-03-08,142.0,160.0,142.0,148.0,148.0,29372900
2024-03-13,148.0,151.0,138.0,138.0,138.0,19764300
2024-03-14,148.0,148.0,134.0,136.0,136.0,13975700
2024-03-15,138.0,138.0,133.0,136.0,136.0,7637500
