Date,Open,High,Low,Close,Adj Close,Volume
2023-02-08,176.0,176.0,168.0,176.0,175.7252960205078,51555600
2023-02-09,193.0,193.0,176.0,193.0,192.69876098632812,27267300
2023-02-10,200.0,212.0,195.0,212.0,211.6691131591797,11543800
2023-02-13,232.0,232.0,232.0,232.0,231.6378936767578,8153100
2023-02-14,254.0,254.0,210.0,230.0,229.64102172851562,36888100
2023-02-15,250.0,250.0,232.0,238.0,237.62852478027344,8720800
2023-02-16,240.0,260.0,240.0,260.0,259.59417724609375,6696400
2023-02-17,272.0,286.0,268.0,286.0,285.5536193847656,2287100
2023-02-20,300.0,314.0,262.0,314.0,313.5099182128906,16783600
2023-02-21,332.0,344.0,332.0,344.0,343.46307373046875,10377700
2023-02-22,364.0,378.0,364.0,378.0,377.4100036621094,2090300
2023-02-23,412.0,414.0,342.0,366.0,365.4287414550781,17025100
2023-02-24,366.0,402.0,366.0,402.0,401.37255859375,9457100
2023-02-27,440.0,442.0,420.0,442.0,441.31011962890625,2572500
2023-02-28,486.0,486.0,486.0,486.0,485.241455078125,145400
2023-03-01,530.0,530.0,530.0,530.0,529.1727905273438,606400
2023-03-02,580.0,580.0,580.0,580.0,579.0947265625,613900
2023-03-03,635.0,635.0,580.0,620.0,619.0322875976562,6418400
2023-03-06,665.0,665.0,560.0,615.0,614.0401000976562,7031300
2023-03-07,615.0,675.0,615.0,675.0,673.9464721679688,6261900
2023-03-08,700.0,740.0,685.0,740.0,738.8450317382812,2387100
2023-03-09,785.0,810.0,785.0,810.0,808.7357177734375,435200
2023-03-10,890.0,890.0,890.0,890.0,888.6109008789062,582400
2023-03-13,945.0,975.0,945.0,975.0,973.4782104492188,2894900
2023-03-14,1070.0,1070.0,885.0,965.0,963.4938354492188,13794600
2023-03-15,965.0,1025.0,965.0,1025.0,1023.400146484375,4000500
2023-03-16,1025.0,1025.0,1025.0,1025.0,1023.400146484375,0
2023-03-17,1025.0,1035.0,925.0,950.0,948.5172119140625,6298400
2023-03-20,950.0,1010.0,925.0,1000.0,998.439208984375,3092500
2023-03-21,1010.0,1100.0,1000.0,1100.0,1098.2830810546875,1491200
2023-03-24,1210.0,1210.0,1160.0,1210.0,1208.1114501953125,2181400
2023-03-27,1325.0,1330.0,1235.0,1330.0,1327.924072265625,6311700
2023-03-28,1460.0,1460.0,1400.0,1460.0,1457.72119140625,4207300
2023-03-29,1460.0,1460.0,1460.0,1460.0,1457.72119140625,0
2023-03-30,1460.0,1460.0,1460.0,1460.0,1457.72119140625,0
2023-03-31,1460.0,1460.0,1460.0,1460.0,1457.72119140625,0
2023-04-03,1460.0,1460.0,1460.0,1460.0,1457.72119140625,0
2023-04-04,1460.0,1460.0,1460.0,1460.0,1457.72119140625,0
2023-04-05,1460.0,1460.0,1460.0,1460.0,1457.72119140625,0
2023-04-06,1465.0,1465.0,1315.0,1315.0,1312.947509765625,1131600
2023-04-10,1185.0,1295.0,1185.0,1185.0,1183.150390625,628700
2023-04-11,1070.0,1300.0,1070.0,1300.0,1297.970947265625,6973200
2023-04-12,1400.0,1430.0,1360.0,1430.0,1427.76806640625,6913100
2023-04-13,1435.0,1550.0,1430.0,1525.0,1522.6197509765625,6879900
2023-04-14,1530.0,1675.0,1375.0,1675.0,1672.3856201171875,10645100
2023-04-17,1755.0,1830.0,1700.0,1710.0,1707.3310546875,6318100
2023-04-18,1730.0,1735.0,1620.0,1700.0,1697.3466796875,3301800
2023-04-26,1700.0,1815.0,1600.0,1720.0,1717.3154296875,3885400
2023-04-27,1725.0,1730.0,1550.0,1585.0,1582.526123046875,4026900
2023-04-28,1600.0,1665.0,1455.0,1645.0,1642.4324951171875,3698600
2023-05-02,1645.0,1675.0,1565.0,1600.0,1597.502685546875,2076100
2023-05-03,1635.0,1760.0,1635.0,1760.0,1757.2529296875,4799800
2023-05-04,1865.0,1935.0,1800.0,1815.0,1812.1671142578125,8074200
2023-05-05,1840.0,1895.0,1730.0,1740.0,1737.2841796875,2391700
2023-05-08,1815.0,1880.0,1570.0,1570.0,1567.549560546875,6604500
2023-05-09,1570.0,1590.0,1415.0,1415.0,1412.79150390625,2370800
2023-05-10,1415.0,1415.0,1275.0,1275.0,1273.010009765625,755900
2023-05-11,1150.0,1150.0,1150.0,1150.0,1148.205078125,863600
2023-05-12,1035.0,1035.0,1035.0,1035.0,1033.384521484375,221000
2023-05-15,935.0,1135.0,935.0,1135.0,1133.228515625,4674700
2023-05-16,1150.0,1245.0,1150.0,1245.0,1243.0567626953125,1345400
2023-05-17,1295.0,1365.0,1295.0,1365.0,1362.8695068359375,1199600
2023-05-19,1455.0,1500.0,1325.0,1500.0,1497.6588134765625,5142400
2023-05-22,1550.0,1650.0,1550.0,1650.0,1647.4246826171875,2514600
2023-05-23,1725.0,1815.0,1575.0,1715.0,1712.3232421875,10005100
2023-05-24,1715.0,1885.0,1675.0,1885.0,1882.057861328125,5673500
2023-05-25,1915.0,2070.0,1915.0,2070.0,2066.76904296875,6023900
2023-05-26,2260.0,2260.0,1865.0,1930.0,1926.9876708984375,10510300
2023-05-29,1930.0,2020.0,1905.0,1955.0,1951.9486083984375,2100700
2023-05-30,1955.0,2000.0,1760.0,1760.0,1757.2529296875,2399700
2023-05-31,1710.0,1780.0,1585.0,1635.0,1632.4481201171875,3122200
2023-06-05,1585.0,1630.0,1475.0,1475.0,1472.69775390625,1593200
2023-06-06,1475.0,1620.0,1330.0,1600.0,1597.502685546875,5850000
2023-06-07,1600.0,1630.0,1530.0,1550.0,1547.5806884765625,1694900
2023-06-08,1550.0,1625.0,1530.0,1560.0,1557.565185546875,1103700
2023-06-09,1560.0,1565.0,1425.0,1500.0,1497.6588134765625,1301300
