Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,140.0,168.0,132.0,143.0,143.0,577174300
2023-07-11,144.0,145.0,122.0,122.0,122.0,145463600
2023-07-12,113.0,129.0,111.0,121.0,121.0,40637300
2023-07-13,121.0,123.0,118.0,118.0,118.0,18773800
2023-07-14,118.0,121.0,111.0,113.0,113.0,25313900
2023-07-17,108.0,117.0,106.0,107.0,107.0,43792400
2023-07-18,100.0,108.0,99.0,99.0,99.0,31960100
2023-07-20,99.0,123.0,97.0,112.0,112.0,149451700
2023-07-21,113.0,119.0,106.0,111.0,111.0,52988100
2023-07-24,111.0,117.0,108.0,110.0,110.0,25728900
2023-07-25,110.0,113.0,107.0,108.0,108.0,14074800
2023-07-26,109.0,114.0,106.0,110.0,110.0,22772800
2023-07-27,110.0,116.0,108.0,109.0,109.0,35201600
2023-07-28,110.0,112.0,108.0,109.0,109.0,11537300
2023-07-31,110.0,116.0,109.0,115.0,115.0,35799600
2023-08-01,116.0,118.0,112.0,117.0,117.0,54747000
2023-08-02,118.0,127.0,115.0,125.0,125.0,65211000
2023-08-03,126.0,127.0,120.0,125.0,125.0,32652400
2023-08-04,125.0,129.0,122.0,124.0,124.0,23311100
2023-08-07,125.0,129.0,123.0,125.0,125.0,22673600
2023-08-08,125.0,132.0,123.0,131.0,131.0,59382000
2023-08-09,132.0,133.0,112.0,116.0,116.0,52262500
2023-08-10,118.0,124.0,116.0,120.0,120.0,37027800
2023-08-11,120.0,120.0,112.0,116.0,116.0,10763100
2023-08-14,116.0,118.0,116.0,116.0,116.0,3994400
2023-08-15,116.0,117.0,108.0,109.0,109.0,13225700
2023-08-16,106.0,109.0,96.0,106.0,106.0,28338900
2023-08-18,104.0,110.0,103.0,109.0,109.0,7768600
2023-08-21,101.0,118.0,101.0,115.0,115.0,31339300
2023-08-22,116.0,123.0,112.0,113.0,113.0,35087900
2023-08-23,113.0,114.0,108.0,110.0,110.0,5370200
2023-08-24,110.0,114.0,109.0,112.0,112.0,2081800
2023-08-25,112.0,115.0,110.0,111.0,111.0,1720600
2023-08-28,112.0,114.0,111.0,112.0,112.0,2854100
2023-08-29,112.0,113.0,108.0,112.0,112.0,3148900
2023-08-30,112.0,118.0,111.0,114.0,114.0,7396900
2023-08-31,117.0,117.0,112.0,114.0,114.0,2109600
2023-09-01,115.0,121.0,110.0,116.0,116.0,15052000
2023-09-04,116.0,118.0,113.0,115.0,115.0,12320600
2023-09-05,114.0,118.0,112.0,116.0,116.0,12024600
2023-09-06,117.0,117.0,113.0,113.0,113.0,4604100
2023-09-07,113.0,115.0,111.0,111.0,111.0,4298600
2023-09-08,111.0,116.0,110.0,113.0,113.0,8048100
2023-09-11,113.0,121.0,109.0,120.0,120.0,27301400
2023-09-12,121.0,124.0,114.0,114.0,114.0,25405800
2023-09-13,114.0,118.0,114.0,114.0,114.0,6110800
2023-09-14,114.0,114.0,112.0,112.0,112.0,2015200
2023-09-15,113.0,116.0,111.0,113.0,113.0,5313400
2023-09-18,113.0,113.0,108.0,108.0,108.0,6291900
2023-09-19,108.0,112.0,106.0,109.0,109.0,7889800
