Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2023-05-08,93.0,132.0,93.0,105.0,105.0,2361018900,1.0,,93.0,132.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0
2023-05-09,101.0,114.0,98.0,105.0,105.0,629985100,1.0,,101.0,114.0,98.0,0.0,0.0,,,,,8.602150537634401,8.252102368800344,,,,,-13.636363636363637,-14.66034741918754,,,,,5.376344086021501,5.236798551731594,,,,,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0,,105.0
2023-05-10,105.0,109.0,98.0,100.0,100.0,199629100,1.0,,105.0,109.0,98.0,-4.761904761904767,-4.879016416943205,,,,,3.960396039603964,3.883983331626396,,,,,-4.385964912280704,-4.485056616535179,,,,,0.0,0.0,,,,,103.33333333333333,102.14285714285714,,102.63157894736841,,102.99003322259135,,103.10650887573965,103.33333333333333,102.14285714285714,,102.63157894736841,,102.99003322259135,,103.10650887573965,103.33333333333333,102.14285714285714,,102.63157894736841,,102.99003322259135,,103.10650887573965,103.33333333333333,102.14285714285714,,102.63157894736841,,102.99003322259135,,103.10650887573965
2023-05-11,99.0,100.0,93.0,94.0,94.0,117824000,1.0,,99.0,100.0,93.0,-6.000000000000005,-6.187540371808753,,,,,-5.714285714285716,-5.884050002293346,,,,,-8.25688073394495,-8.617769624105227,,,,,-5.102040816326525,-5.236798551731592,,,,,99.66666666666667,97.8,,99.04615384615384,,100.02821782178216,,100.35575221238938,99.66666666666667,97.8,,99.04615384615384,,100.02821782178216,,100.35575221238938,99.66666666666667,97.8,,99.04615384615384,,100.02821782178216,,100.35575221238938,99.66666666666667,97.8,,99.04615384615384,,100.02821782178216,,100.35575221238938
2023-05-12,88.0,104.0,88.0,99.0,99.0,322789500,1.0,,88.0,104.0,88.0,5.319148936170204,5.182506786458594,,,,,-11.111111111111116,-11.778303565638351,,,,,4.000000000000004,3.922071315328133,,,,,-5.376344086021501,-5.5262678675049415,,,,,97.66666666666667,98.41935483870968,100.6,99.02843601895734,,99.73304445010882,,100.0078315894994,97.66666666666667,98.41935483870968,100.6,99.02843601895734,,99.73304445010882,,100.0078315894994,97.66666666666667,98.41935483870968,100.6,99.02843601895734,,99.73304445010882,,100.0078315894994,97.66666666666667,98.41935483870968,100.6,99.02843601895734,,99.73304445010882,,100.0078315894994
2023-05-15,101.0,102.0,93.0,95.0,95.0,158307200,1.0,,101.0,102.0,93.0,-4.040404040404044,-4.124295853404913,-9.523809523809524,-10.008345855698252,,,14.77272727272727,13.778370236305296,8.602150537634401,8.252102368800344,,,-1.9230769230769276,-1.9418085857101628,-22.72727272727273,-25.78291093020998,,,5.681818181818188,5.526267867504952,0.0,0.0,,,96.0,96.68253968253968,98.6,97.55639097744361,,98.50370931845305,,98.87217550780304,96.0,96.68253968253968,98.6,97.55639097744361,,98.50370931845305,,98.87217550780304,96.0,96.68253968253968,98.6,97.55639097744361,,98.50370931845305,,98.87217550780304,96.0,96.68253968253968,98.6,97.55639097744361,,98.50370931845305,,98.87217550780304
2023-05-16,93.0,95.0,89.0,91.0,91.0,133044000,1.0,,93.0,95.0,89.0,-4.210526315789476,-4.301738508369081,-13.33333333333333,-14.310084364067327,,,-7.920792079207917,-8.252102368800347,-7.920792079207917,-8.252102368800347,,,-6.8627450980392135,-7.109592168373021,-16.666666666666664,-18.232155679395454,,,-4.3010752688172005,-4.396312342111606,-9.183673469387754,-9.633110893843206,,,95.0,93.81889763779527,95.8,95.23506556580865,,96.6956168039585,,97.25186379807303,95.0,93.81889763779527,95.8,95.23506556580865,,96.6956168039585,,97.25186379807303,95.0,93.81889763779527,95.8,95.23506556580865,,96.6956168039585,,97.25186379807303,95.0,93.81889763779527,95.8,95.23506556580865,,96.6956168039585,,97.25186379807303
2023-05-17,91.0,92.0,87.0,91.0,91.0,103302400,1.0,,91.0,92.0,87.0,0.0,0.0,-8.999999999999996,-9.431067947124127,,,-2.1505376344086,-2.1739986636405875,-13.33333333333333,-14.310084364067327,,,-3.157894736842104,-3.208831455150051,-15.596330275229352,-16.955930518010334,,,-2.2471910112359605,-2.2728251077556174,-11.22448979591837,-11.90593600159882,,,92.33333333333333,92.40392156862745,94.0,93.76605868358446,,95.3998365323279,,96.06128855478113,92.33333333333333,92.40392156862745,94.0,93.76605868358446,,95.3998365323279,,96.06128855478113,92.33333333333333,92.40392156862745,94.0,93.76605868358446,,95.3998365323279,,96.06128855478113,92.33333333333333,92.40392156862745,94.0,93.76605868358446,,95.3998365323279,,96.06128855478113
2023-05-19,86.0,95.0,85.0,90.0,90.0,198770300,1.0,,86.0,95.0,85.0,-1.098901098901095,-1.1049836186584936,-4.255319148936165,-4.348511193973878,,,-5.494505494505497,-5.651221026334233,-13.131313131313128,-14.077255388108217,,,3.260869565217384,3.2088314551500448,-5.000000000000004,-5.129329438755057,,,-2.298850574712641,-2.325686216426724,-8.602150537634412,-8.994823666293952,,,90.66666666666667,91.19960861056751,93.2,92.47717907255752,,94.22502106621516,,94.9778975184778,90.66666666666667,91.19960861056751,93.2,92.47717907255752,,94.22502106621516,,94.9778975184778,90.66666666666667,91.19960861056751,93.2,92.47717907255752,,94.22502106621516,,94.9778975184778,90.66666666666667,91.19960861056751,93.2,92.47717907255752,,94.22502106621516,,94.9778975184778
2023-05-22,89.0,95.0,84.0,87.0,87.0,457688100,1.0,,89.0,95.0,84.0,-3.3333333333333326,-3.390155167568134,-12.12121212121212,-12.921173148000625,,,3.488372093023262,3.4289073478632166,1.1363636363636465,1.1299555253933466,,,0.0,0.0,-8.653846153846157,-9.051400754083186,,,-1.17647058823529,-1.1834457647002796,-4.545454545454541,-4.652001563489281,,,89.33333333333333,89.09775171065493,90.8,90.6192330891857,95.7,92.70736084906835,,93.62465537104231,89.33333333333333,89.09775171065493,90.8,90.6192330891857,95.7,92.70736084906835,,93.62465537104231,89.33333333333333,89.09775171065493,90.8,90.6192330891857,95.7,92.70736084906835,,93.62465537104231,89.33333333333333,89.09775171065493,90.8,90.6192330891857,95.7,92.70736084906835,,93.62465537104231
