Date,Open,High,Low,Close,Adj Close,Volume
2010-01-12,73.0,74.0,70.0,73.0,62.596893310546875,371270000
2010-01-13,72.0,73.0,70.0,72.0,61.73939514160156,8550000
2010-01-14,70.0,72.0,70.0,70.0,60.0244140625,5755000
2010-01-15,63.0,71.0,63.0,63.0,54.02197265625,3315000
2010-01-18,63.0,63.0,63.0,63.0,54.02197265625,0
2010-01-19,64.0,64.0,57.0,64.0,54.87946701049805,5805000
2010-01-20,61.0,64.0,59.0,61.0,52.30698776245117,690000
2010-01-21,57.0,61.0,57.0,57.0,48.877017974853516,2320000
2010-01-22,55.0,60.0,50.0,55.0,47.16204071044922,980000
2010-01-25,57.0,57.0,55.0,57.0,48.877017974853516,265000
2010-01-26,57.0,57.0,57.0,57.0,48.877017974853516,0
2010-01-27,57.0,57.0,52.0,57.0,48.877017974853516,420000
2010-01-28,60.0,60.0,56.0,60.0,51.44949722290039,215000
2010-01-29,58.0,58.0,52.0,58.0,49.7345085144043,1055000
2010-02-01,58.0,58.0,58.0,58.0,49.7345085144043,1055000
2010-02-02,60.0,60.0,57.0,60.0,51.44949722290039,1150000
2010-02-03,59.0,59.0,54.0,59.0,50.59200668334961,175000
2010-02-04,54.0,56.0,54.0,54.0,46.304542541503906,610000
2010-02-05,56.0,56.0,52.0,56.0,48.01953125,680000
2010-02-08,52.0,56.0,52.0,52.0,44.589561462402344,30000
2010-02-09,51.0,55.0,50.0,51.0,43.73207092285156,560000
2010-02-10,52.0,54.0,52.0,52.0,44.589561462402344,270000
2010-02-11,52.0,54.0,51.0,52.0,44.589561462402344,2725000
2010-02-12,54.0,54.0,52.0,54.0,46.304542541503906,2440000
2010-02-15,54.0,54.0,54.0,54.0,46.304542541503906,250000
2010-02-16,52.0,52.0,52.0,52.0,44.589561462402344,125000
2010-02-17,53.0,53.0,53.0,53.0,45.44704818725586,370000
2010-02-18,53.0,54.0,53.0,53.0,45.44704818725586,420000
2010-02-19,53.0,53.0,53.0,53.0,45.44704818725586,420000
2010-02-22,53.0,53.0,53.0,53.0,45.44704818725586,420000
2010-02-23,53.0,53.0,51.0,53.0,45.44704818725586,1560000
2010-02-24,50.0,51.0,50.0,50.0,42.874576568603516,365000
2010-02-25,50.0,51.0,50.0,50.0,42.874576568603516,305000
2010-03-01,50.0,50.0,50.0,50.0,42.874576568603516,505000
2010-03-02,50.0,50.0,48.0,50.0,42.874576568603516,110000
2010-03-03,52.0,52.0,48.0,52.0,44.589561462402344,275000
2010-03-04,53.0,53.0,50.0,53.0,45.44704818725586,2280000
2010-03-05,50.0,50.0,50.0,50.0,42.874576568603516,125000
2010-03-08,50.0,50.0,50.0,50.0,42.874576568603516,195000
2010-03-09,50.0,51.0,50.0,50.0,42.874576568603516,520000
2010-03-10,50.0,50.0,49.0,50.0,42.874576568603516,550000
2010-03-11,52.0,52.0,49.0,52.0,44.589561462402344,590000
2010-03-12,49.0,50.0,49.0,49.0,42.017093658447266,535000
2010-03-15,49.5,50.0,49.5,49.5,42.445831298828125,270000
2010-03-17,49.0,51.0,49.0,49.0,42.017093658447266,1200000
2010-03-18,50.0,51.0,49.5,50.0,42.874576568603516,630000
2010-03-19,49.5,50.0,49.0,49.5,42.445831298828125,1245000
2010-03-22,49.0,49.0,49.0,49.0,42.017093658447266,10000
2010-03-23,52.0,52.0,48.0,52.0,44.589561462402344,150000
2010-03-24,51.0,52.0,49.0,51.0,43.73207092285156,1070000
2010-03-25,50.0,51.0,50.0,50.0,42.874576568603516,245000
2010-03-26,50.0,50.0,50.0,50.0,42.874576568603516,920000
2010-03-29,54.0,54.0,50.0,54.0,46.304542541503906,2700000
2010-03-30,53.0,54.0,51.0,53.0,45.44704818725586,635000
2010-03-31,57.0,57.0,53.0,57.0,48.877017974853516,2215000
2010-04-01,58.0,58.0,57.0,58.0,49.7345085144043,90000
2010-04-05,58.0,58.0,58.0,58.0,49.7345085144043,0
2010-04-06,60.0,60.0,57.0,60.0,51.44949722290039,1505000
2010-04-07,62.0,62.0,61.0,62.0,53.16447830200195,40000
2010-04-08,62.0,62.0,58.0,62.0,53.16447830200195,265000
2010-04-09,62.0,64.0,62.0,62.0,53.16447830200195,215000
2010-04-12,63.0,63.0,62.0,63.0,54.02197265625,20000
2010-04-13,63.0,63.0,63.0,63.0,54.02197265625,110000
2010-04-14,64.0,64.0,60.0,64.0,54.87946701049805,520000
2010-04-15,64.0,64.0,56.0,64.0,54.87946701049805,100000
2010-04-16,67.0,67.0,63.0,67.0,57.45193862915039,260000
2010-04-19,67.0,67.0,64.0,67.0,57.45193862915039,45000
2010-04-20,65.0,66.0,65.0,65.0,55.73695755004883,310000
2010-04-21,65.0,65.0,60.0,65.0,55.73695755004883,30000
2010-04-22,64.0,64.0,64.0,64.0,54.87946701049805,100000
2010-04-23,63.0,65.0,63.0,63.0,54.02197265625,40000
2010-04-26,65.0,65.0,60.0,65.0,55.73695755004883,325000
2010-04-27,65.0,65.0,65.0,65.0,55.73695755004883,10000
2010-04-28,65.0,65.0,65.0,65.0,55.73695755004883,10000
2010-04-29,66.0,66.0,63.0,66.0,56.59444808959961,590000
2010-04-30,65.0,65.0,65.0,65.0,55.73695755004883,245000
2010-05-03,64.0,64.0,64.0,64.0,54.87946701049805,5000
2010-05-04,64.0,64.0,64.0,64.0,54.87946701049805,5000
2010-05-05,64.0,64.0,64.0,64.0,54.87946701049805,5000
2010-05-06,64.0,64.0,55.0,64.0,54.87946701049805,310000
2010-05-07,63.0,63.0,63.0,63.0,54.02197265625,5000
2010-05-10,63.0,63.0,63.0,63.0,54.02197265625,15000
