Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2020-09-14,141.0,141.0,141.0,141.0,141.0,690700,1.0,,141.0,141.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0,,141.0
2020-09-15,190.0,190.0,132.0,132.0,132.0,138415000,1.0,,190.0,190.0,132.0,-6.382978723404253,-6.595796779179739,,,,,34.75177304964539,29.826418178231783,,,,,34.75177304964539,29.826418178231783,,,,,-6.382978723404253,-6.595796779179739,,,,,,135.0,,135.6,,136.05,,136.2,,135.0,,135.6,,136.05,,136.2,,135.0,,135.6,,136.05,,136.2,,135.0,,135.6,,136.05,,136.2
2020-09-16,123.0,123.0,123.0,123.0,123.0,1917900,1.0,,123.0,123.0,123.0,-6.818181818181824,-7.061756721395342,,,,,-35.26315789473684,-43.48397167880687,,,,,-35.26315789473684,-43.48397167880687,,,,,-6.818181818181824,-7.061756721395342,,,,,132.0,128.14285714285714,,129.6315789473684,,130.80398671096347,,131.20118343195267,132.0,128.14285714285714,,129.6315789473684,,130.80398671096347,,131.20118343195267,132.0,128.14285714285714,,129.6315789473684,,130.80398671096347,,131.20118343195267,132.0,128.14285714285714,,129.6315789473684,,130.80398671096347,,131.20118343195267
2020-09-17,115.0,115.0,115.0,115.0,115.0,2299000,1.0,,115.0,115.0,115.0,-6.504065040650408,-6.725222700916746,,,,,-6.504065040650408,-6.725222700916746,,,,,-6.504065040650408,-6.725222700916746,,,,,-6.504065040650408,-6.725222700916746,,,,,123.33333333333333,121.13333333333334,,123.55384615384614,,125.59727722772278,,126.30737463126843,123.33333333333333,121.13333333333334,,123.55384615384614,,125.59727722772278,,126.30737463126843,123.33333333333333,121.13333333333334,,123.55384615384614,,125.59727722772278,,126.30737463126843,123.33333333333333,121.13333333333334,,123.55384615384614,,125.59727722772278,,126.30737463126843
2020-09-18,107.0,107.0,107.0,107.0,107.0,2898900,1.0,,107.0,107.0,107.0,-6.956521739130439,-7.210329390134394,,,,,-6.956521739130439,-7.210329390134394,,,,,-6.956521739130439,-7.210329390134394,,,,,-6.956521739130439,-7.210329390134394,,,,,115.0,113.83870967741936,123.6,117.19905213270141,,120.25850473520129,,121.3526094856212,115.0,113.83870967741936,123.6,117.19905213270141,,120.25850473520129,,121.3526094856212,115.0,113.83870967741936,123.6,117.19905213270141,,120.25850473520129,,121.3526094856212,115.0,113.83870967741936,123.6,117.19905213270141,,120.25850473520129,,121.3526094856212
2020-09-21,100.0,100.0,100.0,100.0,100.0,4829500,1.0,,100.0,100.0,100.0,-6.542056074766355,-6.765864847381481,-29.07801418439716,-34.358970439007685,,,-6.542056074766355,-6.765864847381481,-29.07801418439716,-34.358970439007685,,,-6.542056074766355,-6.765864847381481,-29.07801418439716,-34.358970439007685,,,-6.542056074766355,-6.765864847381481,-29.07801418439716,-34.358970439007685,,,107.33333333333333,106.80952380952381,115.4,110.91428571428573,,114.99667128987518,,116.51034983909477,107.33333333333333,106.80952380952381,115.4,110.91428571428573,,114.99667128987518,,116.51034983909477,107.33333333333333,106.80952380952381,115.4,110.91428571428573,,114.99667128987518,,116.51034983909477,107.33333333333333,106.80952380952381,115.4,110.91428571428573,,114.99667128987518,,116.51034983909477
2020-09-22,93.0,93.0,93.0,93.0,93.0,1254600,1.0,,93.0,93.0,93.0,-6.999999999999995,-7.2570692834835375,-29.54545454545454,-35.02024294331149,,,-6.999999999999995,-7.2570692834835375,-51.05263157894737,-71.44245790072301,,,-6.999999999999995,-7.2570692834835375,-51.05263157894737,-71.44245790072301,,,-6.999999999999995,-7.2570692834835375,-29.54545454545454,-35.02024294331149,,,100.0,99.85039370078741,107.6,104.57163671685286,,109.69635713655187,,111.67126881169966,100.0,99.85039370078741,107.6,104.57163671685286,,109.69635713655187,,111.67126881169966,100.0,99.85039370078741,107.6,104.57163671685286,,109.69635713655187,,111.67126881169966,100.0,99.85039370078741,107.6,104.57163671685286,,109.69635713655187,,111.67126881169966
2020-09-23,87.0,87.0,87.0,87.0,87.0,1271500,1.0,,87.0,87.0,87.0,-6.451612903225811,-6.669137449867228,-29.268292682926838,-34.62762367178338,,,-6.451612903225811,-6.669137449867228,-29.268292682926838,-34.62762367178338,,,-6.451612903225811,-6.669137449867228,-29.268292682926838,-34.62762367178338,,,-6.451612903225811,-6.669137449867228,-29.268292682926838,-34.62762367178338,,,93.33333333333333,93.4,100.4,98.47660586835845,,104.53282650805409,,106.97298957585598,93.33333333333333,93.4,100.4,98.47660586835845,,104.53282650805409,,106.97298957585598,93.33333333333333,93.4,100.4,98.47660586835845,,104.53282650805409,,106.97298957585598,93.33333333333333,93.4,100.4,98.47660586835845,,104.53282650805409,,106.97298957585598
2020-09-24,81.0,81.0,81.0,81.0,81.0,7131400,1.0,,81.0,81.0,81.0,-6.896551724137934,-7.145896398214497,-29.565217391304344,-35.04829736908112,,,-6.896551724137934,-7.145896398214497,-29.565217391304344,-35.04829736908112,,,-6.896551724137934,-7.145896398214497,-29.565217391304344,-35.04829736908112,,,-6.896551724137934,-7.145896398214497,-29.565217391304344,-35.04829736908112,,,87.0,87.18786692759295,93.6,92.49548797663138,,99.41290697391754,,102.33059318799779,87.0,87.18786692759295,93.6,92.49548797663138,,99.41290697391754,,102.33059318799779,87.0,87.18786692759295,93.6,92.49548797663138,,99.41290697391754,,102.33059318799779,87.0,87.18786692759295,93.6,92.49548797663138,,99.41290697391754,,102.33059318799779
2020-09-25,76.0,76.0,76.0,76.0,76.0,2293500,1.0,,76.0,76.0,76.0,-6.172839506172845,-6.371581438610773,-28.971962616822434,-34.20954941755752,,,-6.172839506172845,-6.371581438610773,-28.971962616822434,-34.20954941755752,,,-6.172839506172845,-6.371581438610773,-28.971962616822434,-34.20954941755752,,,-6.172839506172845,-6.371581438610773,-28.971962616822434,-34.20954941755752,,,81.33333333333333,81.58846529814272,87.4,86.8999569151228,105.5,94.49488152369035,,97.86429509549295,81.33333333333333,81.58846529814272,87.4,86.8999569151228,105.5,94.49488152369035,,97.86429509549295,81.33333333333333,81.58846529814272,87.4,86.8999569151228,105.5,94.49488152369035,,97.86429509549295,81.33333333333333,81.58846529814272,87.4,86.8999569151228,105.5,94.49488152369035,,97.86429509549295
2020-09-28,71.0,96.0,71.0,86.0,86.0,135500400,1.0,,71.0,96.0,71.0,13.157894736842104,12.361395596717664,-14.000000000000002,-15.082288973458366,,,-6.578947368421051,-6.805346324501564,-29.000000000000004,-34.2490308946776,,,26.315789473684205,23.36148511815051,-4.000000000000004,-4.082199452025517,,,-6.578947368421051,-6.805346324501564,-29.000000000000004,-34.2490308946776,,,81.0,83.7953102100635,84.6,86.59646257260178,100.0,92.75948343091444,,95.9377949691872,81.0,83.7953102100635,84.6,86.59646257260178,100.0,92.75948343091444,,95.9377949691872,81.0,83.7953102100635,84.6,86.59646257260178,100.0,92.75948343091444,,95.9377949691872,81.0,83.7953102100635,84.6,86.59646257260178,100.0,92.75948343091444,,95.9377949691872
2020-09-29,87.0,92.0,80.0,80.0,80.0,79271400,1.0,,87.0,92.0,80.0,-6.976744186046513,-7.232066157962613,-13.978494623655912,-15.057285847937433,,,22.535211267605625,20.322824161326825,-6.451612903225811,-6.669137449867228,,,-4.166666666666663,-4.255961441879589,-1.0752688172043,-1.0810916104215618,,,12.676056338028175,11.934675763256624,-13.978494623655912,-15.057285847937433,,,80.66666666666667,81.8971916971917,82.0,84.38056300903584,94.8,90.21016199386396,,93.4430950258024,80.66666666666667,81.8971916971917,82.0,84.38056300903584,94.8,90.21016199386396,,93.4430950258024,80.66666666666667,81.8971916971917,82.0,84.38056300903584,94.8,90.21016199386396,,93.4430950258024,80.66666666666667,81.8971916971917,82.0,84.38056300903584,94.8,90.21016199386396,,93.4430950258024
