Date,Open,High,Low,Close,Adj Close,Volume
2023-08-07,118.0,118.0,98.0,98.0,98.0,182956900
2023-08-08,89.0,90.0,89.0,89.0,89.0,12064300
2023-08-09,81.0,81.0,81.0,81.0,81.0,7959800
2023-08-10,73.0,82.0,73.0,73.0,73.0,61192600
2023-08-11,66.0,77.0,66.0,67.0,67.0,46455500
2023-08-14,69.0,69.0,61.0,61.0,61.0,21666300
2023-08-15,63.0,63.0,55.0,56.0,56.0,60648600
2023-08-16,52.0,56.0,52.0,55.0,55.0,32151600
2023-08-18,55.0,55.0,52.0,54.0,54.0,20847300
2023-08-21,53.0,54.0,50.0,51.0,51.0,21625700
2023-08-22,47.0,51.0,46.0,47.0,47.0,28089300
2023-08-23,46.0,51.0,46.0,51.0,51.0,9933900
2023-08-24,56.0,56.0,53.0,56.0,56.0,35917600
2023-08-25,61.0,61.0,58.0,61.0,61.0,26818300
2023-08-28,67.0,67.0,65.0,67.0,67.0,10763700
2023-08-29,73.0,73.0,61.0,61.0,61.0,17160900
2023-08-30,55.0,55.0,55.0,55.0,55.0,4699700
2023-08-31,50.0,55.0,50.0,53.0,53.0,24613400
2023-09-01,50.0,58.0,50.0,58.0,58.0,11384200
2023-09-04,60.0,63.0,53.0,54.0,54.0,16713100
2023-09-05,50.0,55.0,50.0,53.0,53.0,7945200
2023-09-06,54.0,57.0,53.0,55.0,55.0,20712100
2023-09-07,55.0,55.0,51.0,53.0,53.0,7858200
2023-09-08,53.0,55.0,53.0,54.0,54.0,4853400
2023-09-11,55.0,55.0,51.0,52.0,52.0,4209800
2023-09-12,52.0,53.0,50.0,52.0,52.0,2044400
2023-09-13,52.0,52.0,50.0,51.0,51.0,1490000
2023-09-14,50.0,51.0,47.0,50.0,50.0,4050500
2023-09-15,50.0,51.0,48.0,50.0,50.0,4286100
2023-09-18,49.0,50.0,47.0,49.0,49.0,5336400
2023-09-19,45.0,49.0,45.0,47.0,47.0,1780200
2023-09-20,48.0,51.0,46.0,50.0,50.0,6598200
2023-09-21,50.0,51.0,48.0,49.0,49.0,1389600
2023-09-22,48.0,49.0,47.0,47.0,47.0,1455700
2023-09-25,48.0,49.0,47.0,49.0,49.0,1276200
2023-09-26,48.0,49.0,47.0,47.0,47.0,1016900
