Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,1280.0,1380.0,1270.0,1330.0,1315.75,67971300
2023-03-02,1330.0,1615.0,1325.0,1495.0,1478.982177734375,67644100
2023-03-03,1500.0,1540.0,1425.0,1510.0,1493.8214111328125,44537100
2023-03-06,1505.0,1570.0,1505.0,1560.0,1543.28564453125,24836800
2023-03-07,1560.0,1610.0,1555.0,1580.0,1563.0714111328125,15957600
2023-03-08,1575.0,1660.0,1575.0,1630.0,1612.53564453125,19358300
2023-03-09,1635.0,1660.0,1590.0,1640.0,1622.4285888671875,20286000
2023-03-10,1635.0,1700.0,1620.0,1700.0,1681.78564453125,13609000
2023-03-13,1690.0,1745.0,1690.0,1735.0,1716.41064453125,12020800
2023-03-14,1735.0,1900.0,1730.0,1820.0,1800.5,27599800
2023-03-15,1845.0,2010.0,1825.0,2000.0,1978.5714111328125,32178500
2023-03-16,2000.0,2180.0,1930.0,2020.0,1998.357177734375,45415600
2023-03-17,2050.0,2080.0,1900.0,2040.0,2018.142822265625,48143700
2023-03-20,2040.0,2120.0,2030.0,2050.0,2028.03564453125,15780700
2023-03-21,2050.0,2100.0,2020.0,2080.0,2057.71435546875,12589900
2023-03-24,2080.0,2190.0,2070.0,2120.0,2097.28564453125,18368900
2023-03-27,2120.0,2160.0,1975.0,2130.0,2107.178466796875,25865900
2023-03-28,2130.0,2170.0,2090.0,2140.0,2117.071533203125,21273800
2023-03-29,2140.0,2150.0,2060.0,2060.0,2037.9285888671875,13604800
2023-03-30,2030.0,2060.0,1920.0,1920.0,1899.4285888671875,14330600
2023-03-31,1900.0,2040.0,1790.0,2020.0,1998.357177734375,37599700
2023-04-03,2020.0,2080.0,1975.0,2030.0,2008.25,17324300
2023-04-04,2030.0,2040.0,1980.0,1990.0,1968.6785888671875,5749800
2023-04-05,1990.0,1990.0,1855.0,1875.0,1854.91064453125,22693300
2023-04-06,1870.0,1890.0,1745.0,1745.0,1726.3035888671875,18592400
2023-04-10,1745.0,1775.0,1625.0,1760.0,1741.142822265625,33616500
2023-04-11,1760.0,1790.0,1735.0,1765.0,1746.0892333984375,8825900
2023-04-12,1760.0,1765.0,1645.0,1670.0,1652.107177734375,21128400
2023-04-13,1670.0,1695.0,1555.0,1585.0,1568.017822265625,9413900
2023-04-14,1585.0,1600.0,1535.0,1590.0,1572.9642333984375,5057700
2023-04-17,1585.0,1730.0,1585.0,1705.0,1686.732177734375,8115200
2023-04-18,1705.0,1740.0,1655.0,1710.0,1691.6785888671875,7289700
2023-04-26,1710.0,2130.0,1705.0,2130.0,2107.178466796875,43678900
2023-04-27,2250.0,2660.0,2000.0,2650.0,2621.607177734375,97497400
2023-04-28,2650.0,2860.0,2620.0,2730.0,2700.75,39008600
2023-05-02,2730.0,3010.0,2700.0,2900.0,2868.928466796875,28473500
2023-05-03,2900.0,3290.0,2750.0,3160.0,3126.142822265625,72026900
2023-05-04,3160.0,3500.0,3120.0,3430.0,3393.25,46740400
2023-05-05,3440.0,3740.0,3410.0,3700.0,3660.357177734375,44439700
2023-05-08,3700.0,3890.0,3460.0,3740.0,3699.928466796875,39625000
2023-05-09,3740.0,3930.0,3730.0,3850.0,3808.75,59068900
2023-05-10,3850.0,4000.0,3760.0,3910.0,3868.107177734375,54427700
2023-05-11,3910.0,4000.0,3720.0,3910.0,3868.107177734375,47517500
2023-05-12,3910.0,3990.0,3640.0,3660.0,3620.78564453125,45705700
2023-05-15,3660.0,3660.0,3410.0,3410.0,3373.46435546875,800300
2023-05-16,3290.0,3350.0,3180.0,3180.0,3145.928466796875,485800
2023-05-17,3180.0,3180.0,2960.0,2960.0,2928.28564453125,5940800
2023-05-19,2760.0,3100.0,2760.0,3020.0,2987.642822265625,22369000
2023-05-22,3030.0,3160.0,2810.0,2810.0,2779.892822265625,14738500
2023-05-23,2800.0,2810.0,2620.0,2620.0,2591.928466796875,5437200
2023-05-24,2620.0,2630.0,2440.0,2440.0,2413.857177734375,2110000
2023-05-25,2430.0,2800.0,2270.0,2270.0,2245.678466796875,35506900
2023-05-26,2260.0,2830.0,2260.0,2830.0,2799.678466796875,49721600
2023-05-29,2840.0,2860.0,2640.0,2680.0,2651.28564453125,23135300
2023-05-30,2680.0,2680.0,2500.0,2550.0,2522.678466796875,63758700
2023-05-31,2550.0,2650.0,2460.0,2580.0,2552.357177734375,15278900
2023-06-05,2590.0,2770.0,2540.0,2640.0,2611.71435546875,20200900
2023-06-06,2640.0,2750.0,2600.0,2670.0,2641.392822265625,11062800
2023-06-07,2670.0,2840.0,2670.0,2760.0,2730.428466796875,15703800
2023-06-08,2760.0,2840.0,2510.0,2720.0,2690.857177734375,20557600
2023-06-09,2720.0,2770.0,2710.0,2730.0,2700.75,8224500
2023-06-12,2720.0,3030.0,2720.0,2950.0,2918.392822265625,26392700
2023-06-13,2960.0,3000.0,2790.0,2880.0,2849.142822265625,20624100
2023-06-14,2900.0,2970.0,2870.0,2910.0,2878.8212890625,9606000
2023-06-15,2910.0,2980.0,2900.0,2940.0,2908.5,8568000
2023-06-16,2950.0,3140.0,2940.0,3110.0,3076.678466796875,17788800
