Date,Open,High,Low,Close,Adj Close,Volume
2020-09-10,235.0,237.0,235.0,237.0,237.0,63200
2020-09-11,295.0,295.0,295.0,295.0,295.0,92800
2020-09-14,367.5,367.5,367.5,367.5,367.5,143800
2020-09-15,412.5,450.0,342.5,367.5,367.5,3974400
2020-09-16,367.5,377.5,342.5,365.0,365.0,1064400
2020-09-17,365.0,365.0,340.0,342.5,342.5,947600
2020-09-18,342.5,350.0,322.5,330.0,330.0,1621800
2020-09-21,320.0,347.5,310.0,310.0,310.0,1683000
2020-09-22,325.0,340.0,292.5,340.0,340.0,2561400
2020-09-23,340.0,350.0,322.5,342.5,342.5,2623800
2020-09-24,367.5,367.5,330.0,342.5,342.5,2743600
2020-09-25,367.5,367.5,342.5,342.5,342.5,3181200
2020-09-28,367.5,367.5,332.5,352.5,352.5,3080200
2020-09-29,377.5,377.5,357.5,372.5,372.5,3289800
2020-09-30,380.0,395.0,367.5,395.0,395.0,2498800
2020-10-01,420.0,482.5,400.0,477.5,477.5,3247400
2020-10-02,502.5,502.5,452.5,455.0,455.0,2116400
2020-10-05,480.0,490.0,455.0,487.5,487.5,2462600
2020-10-06,512.5,512.5,482.5,497.5,497.5,3311000
2020-10-07,512.5,512.5,480.0,482.5,482.5,2451200
2020-10-08,507.5,510.0,482.5,510.0,510.0,2723800
2020-10-09,535.0,535.0,490.0,495.0,495.0,2026000
2020-10-12,520.0,520.0,490.0,517.5,517.5,2724400
2020-10-13,542.5,542.5,492.5,497.5,497.5,2102200
2020-10-14,522.5,547.5,490.0,492.5,492.5,2665200
2020-10-15,517.5,520.0,497.5,520.0,520.0,2120400
2020-10-16,525.0,525.0,497.5,500.0,500.0,2550800
2020-10-19,525.0,525.0,492.5,497.5,497.5,2277600
2020-10-20,505.0,505.0,490.0,492.5,492.5,2693000
2020-10-21,517.5,517.5,485.0,485.0,485.0,2142200
2020-10-22,510.0,510.0,470.0,470.0,470.0,2775800
2020-10-23,495.0,547.5,460.0,460.0,460.0,2311600
2020-10-26,485.0,505.0,452.5,460.0,460.0,2964400
2020-10-27,460.0,510.0,455.0,455.0,455.0,2572800
2020-11-02,455.0,545.0,455.0,465.0,465.0,2471200
2020-11-03,467.5,527.5,467.5,485.0,485.0,2800000
2020-11-04,487.5,502.5,487.5,497.5,497.5,2262800
2020-11-05,497.5,505.0,485.0,500.0,500.0,2925000
2020-11-06,500.0,510.0,500.0,502.5,502.5,2282200
2020-11-09,505.0,512.5,490.0,495.0,495.0,2310600
2020-11-10,520.0,520.0,495.0,500.0,500.0,2201000
2020-11-11,525.0,525.0,497.5,497.5,497.5,2667400
2020-11-12,522.5,522.5,487.5,507.5,507.5,2534000
2020-11-13,512.5,512.5,487.5,502.5,502.5,2205600
2020-11-16,527.5,527.5,497.5,497.5,497.5,2353200
2020-11-17,505.0,505.0,487.5,500.0,500.0,2192400
2020-11-18,505.0,505.0,492.5,497.5,497.5,2672200
2020-11-19,522.5,522.5,492.5,492.5,492.5,2269200
2020-11-20,517.5,517.5,485.0,500.0,500.0,2721000
2020-11-23,525.0,525.0,495.0,500.0,500.0,2338200
2020-11-24,525.0,525.0,492.5,495.0,495.0,2901200
2020-11-25,520.0,520.0,482.5,510.0,510.0,2811200
2020-11-26,525.0,525.0,500.0,512.5,512.5,2653400
2020-11-27,525.0,525.0,505.0,507.5,507.5,2779000
2020-11-30,532.5,532.5,502.5,512.5,512.5,2829200
2020-12-01,537.5,537.5,507.5,522.5,522.5,2974600
2020-12-02,525.0,545.0,525.0,545.0,545.0,2975400
2020-12-03,570.0,597.5,550.0,560.0,560.0,2295000
2020-12-04,565.0,570.0,550.0,560.0,560.0,2902200
2020-12-07,560.0,570.0,542.5,567.5,567.5,2800600
2020-12-08,592.5,592.5,562.5,575.0,575.0,2641800
2020-12-10,600.0,600.0,557.5,580.0,580.0,2289000
2020-12-11,592.5,592.5,575.0,585.0,585.0,2550400
2020-12-14,605.0,625.0,592.5,620.0,620.0,2245400
2020-12-15,645.0,645.0,610.0,610.0,610.0,2095600
2020-12-16,635.0,635.0,590.0,597.5,597.5,2113600
2020-12-17,622.5,622.5,575.0,602.5,602.5,2107000
2020-12-18,620.0,620.0,577.5,612.5,612.5,2405400
2020-12-21,630.0,630.0,602.5,617.5,617.5,2431400
2020-12-22,642.5,642.5,610.0,620.0,620.0,2479000
2020-12-23,630.0,630.0,610.0,622.5,622.5,2334200
2020-12-28,647.5,647.5,622.5,637.5,637.5,2363400
2020-12-29,662.5,662.5,622.5,650.0,650.0,2263000
2020-12-30,675.0,675.0,650.0,660.0,660.0,2203400
2021-01-04,685.0,685.0,650.0,662.5,662.5,3116400
2021-01-05,680.0,682.5,655.0,662.5,662.5,1249000
2021-01-06,687.5,700.0,647.5,655.0,655.0,1100400
2021-01-07,672.5,672.5,647.5,665.0,665.0,1975200
2021-01-08,690.0,690.0,657.5,670.0,670.0,1989400
2021-01-11,695.0,695.0,657.5,680.0,680.0,2981200
2021-01-12,705.0,705.0,665.0,690.0,690.0,768200
2021-01-13,715.0,715.0,665.0,675.0,675.0,1690000
2021-01-14,700.0,700.0,655.0,665.0,665.0,1728200
2021-01-15,690.0,690.0,655.0,655.0,655.0,1310800
2021-01-18,667.5,667.5,642.5,645.0,645.0,861000
2021-01-19,670.0,805.0,647.5,747.5,747.5,878200
2021-01-20,747.5,755.0,700.0,700.0,700.0,1772000
2021-01-21,697.5,697.5,675.0,677.5,677.5,1061200
2021-01-22,702.5,702.5,665.0,670.0,670.0,1108000
2021-01-25,685.0,685.0,657.5,657.5,657.5,1012600
2021-01-26,682.5,682.5,647.5,660.0,660.0,1425200
2021-01-27,660.0,662.5,652.5,662.5,662.5,1299800
2021-01-28,687.5,687.5,652.5,655.0,655.0,1597800
2021-01-29,657.5,662.5,652.5,662.5,662.5,1702600
2021-02-01,662.5,672.5,655.0,672.5,672.5,3206600
