Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,110.0,110.0,90.0,110.0,110.0,261111700
2022-04-26,121.0,121.0,109.0,112.0,112.0,230769300
2022-04-27,113.0,116.0,112.0,115.0,115.0,40655300
2022-04-28,117.0,122.0,117.0,118.0,118.0,23414700
2022-05-09,118.0,120.0,118.0,118.0,118.0,10084900
2022-05-10,118.0,119.0,118.0,118.0,118.0,13456700
2022-05-11,118.0,119.0,118.0,118.0,118.0,4437100
2022-05-12,119.0,120.0,119.0,120.0,120.0,6407300
2022-05-13,120.0,120.0,119.0,119.0,119.0,3454300
2022-05-17,120.0,120.0,119.0,119.0,119.0,3195000
2022-05-18,120.0,120.0,119.0,119.0,119.0,3221800
2022-05-19,120.0,120.0,119.0,120.0,120.0,2494300
2022-05-20,120.0,121.0,120.0,121.0,121.0,4589400
2022-05-23,121.0,121.0,120.0,120.0,120.0,1769600
2022-05-24,120.0,121.0,120.0,121.0,121.0,2720400
2022-05-25,121.0,121.0,120.0,121.0,121.0,897000
2022-05-27,121.0,121.0,120.0,120.0,120.0,3764100
2022-05-30,120.0,120.0,119.0,120.0,120.0,3880000
2022-05-31,120.0,120.0,108.0,117.0,117.0,4926700
2022-06-02,120.0,120.0,117.0,117.0,117.0,1478500
2022-06-03,119.0,120.0,117.0,117.0,117.0,957600
2022-06-06,118.0,120.0,117.0,119.0,119.0,1438300
2022-06-07,119.0,119.0,117.0,118.0,118.0,471400
2022-06-08,118.0,120.0,117.0,117.0,117.0,1221200
2022-06-09,119.0,119.0,116.0,118.0,118.0,480600
2022-06-10,118.0,119.0,116.0,116.0,116.0,404100
2022-06-13,118.0,118.0,110.0,115.0,115.0,1061100
2022-06-14,115.0,117.0,113.0,114.0,114.0,284300
2022-06-15,115.0,115.0,105.0,108.0,108.0,1556400
2022-06-16,105.0,118.0,103.0,109.0,109.0,682000
2022-06-17,109.0,111.0,108.0,108.0,108.0,119100
2022-06-20,108.0,109.0,104.0,107.0,107.0,908200
2022-06-21,106.0,107.0,104.0,105.0,105.0,316100
2022-06-22,105.0,108.0,104.0,104.0,104.0,697900
2022-06-23,104.0,114.0,104.0,108.0,108.0,788800
2022-06-24,107.0,108.0,104.0,104.0,104.0,352400
2022-06-27,104.0,108.0,104.0,104.0,104.0,433100
2022-06-28,104.0,114.0,102.0,114.0,114.0,7131000
2022-06-29,114.0,118.0,110.0,114.0,114.0,13447000
2022-06-30,114.0,118.0,113.0,115.0,115.0,6925800
2022-07-01,116.0,117.0,113.0,117.0,117.0,13107400
2022-07-04,117.0,128.0,117.0,127.0,127.0,16969800
2022-07-05,128.0,129.0,115.0,124.0,124.0,20602200
2022-07-06,124.0,126.0,113.0,116.0,116.0,21982900
2022-07-07,116.0,116.0,105.0,108.0,108.0,17952900
2022-07-08,109.0,113.0,104.0,110.0,110.0,17954400
2022-07-11,111.0,112.0,108.0,110.0,110.0,13170800
2022-07-12,110.0,115.0,109.0,110.0,110.0,15962700
2022-07-13,110.0,114.0,107.0,110.0,110.0,16360600
2022-07-14,111.0,111.0,106.0,108.0,108.0,11023100
2022-07-15,106.0,110.0,106.0,108.0,108.0,21112800
2022-07-18,107.0,109.0,104.0,107.0,107.0,9482600
2022-07-19,105.0,108.0,104.0,105.0,105.0,18335100
2022-07-20,105.0,106.0,103.0,103.0,103.0,13924200
2022-07-21,103.0,105.0,101.0,102.0,102.0,9923500
2022-07-22,102.0,104.0,100.0,102.0,102.0,21391400
2022-07-25,102.0,103.0,101.0,102.0,102.0,22854500
2022-07-26,102.0,103.0,99.0,102.0,102.0,14691300
2022-07-27,102.0,104.0,100.0,103.0,103.0,14000300
2022-07-28,104.0,108.0,102.0,105.0,105.0,14769400
2022-07-29,105.0,108.0,102.0,102.0,102.0,12538800
2022-08-01,102.0,107.0,101.0,102.0,102.0,13785400
2022-08-02,102.0,107.0,102.0,104.0,104.0,10371500
2022-08-03,104.0,105.0,100.0,101.0,101.0,14924000
2022-08-04,101.0,102.0,99.0,100.0,100.0,13958600
2022-08-05,99.0,103.0,99.0,101.0,101.0,10370100
2022-08-08,100.0,102.0,100.0,100.0,100.0,12838500
2022-08-09,100.0,102.0,100.0,101.0,101.0,12099700
2022-08-10,100.0,102.0,100.0,101.0,101.0,13217800
2022-08-11,101.0,102.0,99.0,102.0,102.0,9514500
2022-08-12,102.0,102.0,100.0,101.0,101.0,6310200
2022-08-15,100.0,103.0,99.0,101.0,101.0,11251600
2022-08-16,100.0,102.0,99.0,100.0,100.0,9289700
2022-08-18,100.0,101.0,98.0,99.0,99.0,15470600
2022-08-19,100.0,102.0,98.0,101.0,101.0,18265100
2022-08-22,100.0,103.0,98.0,102.0,102.0,14408400
2022-08-23,102.0,103.0,99.0,99.0,99.0,17198500
2022-08-24,100.0,103.0,99.0,101.0,101.0,14198300
2022-08-25,101.0,102.0,100.0,100.0,100.0,8837100
2022-08-26,100.0,103.0,100.0,100.0,100.0,20488700
2022-08-29,100.0,101.0,98.0,98.0,98.0,15169300
2022-08-30,98.0,101.0,98.0,100.0,100.0,15353800
2022-08-31,100.0,101.0,98.0,100.0,100.0,14862800
2022-09-01,100.0,101.0,98.0,101.0,101.0,15642300
2022-09-02,101.0,101.0,99.0,100.0,100.0,11972700
2022-09-05,100.0,101.0,98.0,100.0,100.0,8855800
2022-09-06,99.0,100.0,98.0,100.0,100.0,21336100
2022-09-07,100.0,100.0,97.0,100.0,100.0,22191700
2022-09-08,100.0,100.0,96.0,98.0,98.0,11292500
2022-09-09,97.0,98.0,96.0,96.0,96.0,6399000
2022-09-12,96.0,97.0,94.0,94.0,94.0,11638100
2022-09-13,95.0,98.0,91.0,97.0,97.0,15088500
2022-09-14,97.0,98.0,93.0,98.0,98.0,23481100
2022-09-15,95.0,99.0,94.0,97.0,97.0,22715200
2022-09-16,97.0,98.0,94.0,95.0,95.0,24070700
2022-09-19,95.0,95.0,90.0,93.0,93.0,1841500
2022-09-20,94.0,96.0,90.0,96.0,96.0,1205500
2022-09-21,96.0,100.0,94.0,99.0,99.0,2493500
2022-09-22,100.0,103.0,97.0,102.0,102.0,3307100
2022-09-23,102.0,103.0,99.0,101.0,101.0,1305200
2022-09-26,100.0,101.0,98.0,101.0,101.0,1198000
2022-09-27,101.0,104.0,96.0,104.0,104.0,3062700
2022-09-28,104.0,104.0,98.0,101.0,101.0,1724400
2022-09-29,101.0,101.0,98.0,98.0,98.0,333600
2022-09-30,97.0,104.0,96.0,103.0,103.0,1880000
2022-10-03,103.0,111.0,101.0,110.0,110.0,7416800
