Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2021-09-09,154.0,154.0,154.0,154.0,152.36170959472656,14255400,0.9893617506151076,,152.36170959472656,152.36170959472656,152.36170959472656,,,,,,,,,,,,,,,,,,,,,,,,,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656,,152.36170959472656
2021-09-10,169.0,169.0,154.0,169.0,167.20213317871094,72305100,0.9893617347852718,,167.20213317871094,167.20213317871094,152.36170715693186,9.740257984410295,9.294609650939597,,,,,9.740257984410295,9.294609650939597,,,,,9.740257984410295,9.294609650939597,,,,,-1.6000048286279878e-06,-1.600004841428065e-06,,,,,,162.2553253173828,,161.2659637451172,,160.523942565918,,160.27660217285157,,162.2553253173828,,161.2659637451172,,160.523942565918,,160.27660217285157,,162.2553253173828,,161.2659637451172,,160.523942565918,,160.27660217285157,,162.2553253173828,,161.2659637451172,,160.523942565918,,160.27660217285157
2021-09-13,185.0,185.0,153.0,153.0,151.37234497070312,44112300,0.9893617318346608,,183.03192038941225,183.03192038941225,151.3723449707031,-9.467455891300403,-9.94607965129758,,,,,9.467455294832838,9.045710717291348,,,,,9.467455294832838,9.045710717291348,,,,,-0.6493509456478641,-0.6514684003531678,,,,,156.97872924804688,156.03647940499442,,156.57951274671052,,156.84506114059906,,156.90457577677168,156.97872924804688,156.03647940499442,,156.57951274671052,,156.84506114059906,,156.90457577677168,156.97872924804688,156.03647940499442,,156.57951274671052,,156.84506114059906,,156.90457577677168,156.97872924804688,156.03647940499442,,156.57951274671052,,156.84506114059906,,156.90457577677168
2021-09-14,143.0,143.0,138.0,138.0,136.53192138671875,5501400,0.9893617491791212,,141.47873013261434,141.47873013261434,136.53192138671872,-9.803919987403653,-10.318421870427144,,,,,-22.70270134760691,-25.75111772874581,,,,,-22.70270134760691,-25.75111772874581,,,,,-9.803919987403653,-10.318421870427144,,,,,151.70213317871094,145.63404846191406,,148.2520517202524,,150.1527866325756,,150.75071203181173,151.70213317871094,145.63404846191406,,148.2520517202524,,150.1527866325756,,150.75071203181173,151.70213317871094,145.63404846191406,,148.2520517202524,,150.1527866325756,,150.75071203181173,151.70213317871094,145.63404846191406,,148.2520517202524,,150.1527866325756,,150.75071203181173
2021-09-15,139.0,139.0,125.0,125.0,123.6702117919922,35184900,0.9893616943359376,,137.52127551269533,137.52127551269533,123.6702117919922,-9.420294876167825,-9.894000328779788,,,,,-2.797208185435029,-2.837075256210981,,,,,-2.797208185435029,-2.837075256210981,,,,,-9.420294876167802,-9.89400032877976,,,,,137.19149271647134,134.2978746967931,146.2276641845703,138.8154212264653,,142.55035965583042,,143.80116444818285,137.19149271647134,134.2978746967931,146.2276641845703,138.8154212264653,,142.55035965583042,,143.80116444818285,137.19149271647134,134.2978746967931,146.2276641845703,138.8154212264653,,142.55035965583042,,143.80116444818285,137.19149271647134,134.2978746967931,146.2276641845703,138.8154212264653,,142.55035965583042,,143.80116444818285
2021-09-16,125.0,125.0,116.0,118.0,116.74468231201172,10283800,0.989361714508574,,123.67021431357176,123.67021431357176,114.76595888299458,-5.599998075226809,-5.762909244709006,-23.3766261729762,-26.626801444273923,,,-10.071940612450836,-10.616017543884414,-18.831171793406977,-20.863890160610264,,,-10.071940612450836,-10.616017543884414,-18.831171793406977,-20.863890160610264,,,-7.199998107850081,-7.472352580639015,-24.67532742428168,-28.33624478020392,,,125.64893849690755,125.38196745372954,139.10425872802733,130.7504745253943,,135.84773387461675,,137.66540330324318,125.64893849690755,125.38196745372954,139.10425872802733,130.7504745253943,,135.84773387461675,,137.66540330324318,125.64893849690755,125.38196745372954,139.10425872802733,130.7504745253943,,135.84773387461675,,137.66540330324318,125.64893849690755,125.38196745372954,139.10425872802733,130.7504745253943,,135.84773387461675,,137.66540330324318
2021-09-17,117.0,129.0,115.0,129.0,127.6276626586914,14189200,0.9893617260363676,,115.755321946255,127.62766265869142,113.77659849418228,9.322035172097909,8.91277915477556,-23.668639728251005,-27.00863194043797,,,-6.399998909396388,-6.613979085279707,-30.76923138143696,-36.77247889682956,,,3.2000012024604008,3.149867871111899,-23.668639728250994,-27.008631940437954,,,-0.8620678103870238,-0.8658051091366368,-25.32467598502759,-29.20204828933573,,,122.68085225423177,126.51365637591505,131.18936462402343,129.64482622484726,,133.8670269197809,,135.59935832120757,122.68085225423177,126.51365637591505,131.18936462402343,129.64482622484726,,133.8670269197809,,135.59935832120757,122.68085225423177,126.51365637591505,131.18936462402343,129.64482622484726,,133.8670269197809,,135.59935832120757,122.68085225423177,126.51365637591505,131.18936462402343,129.64482622484726,,133.8670269197809,,135.59935832120757
2021-09-20,141.0,141.0,129.0,141.0,139.5,19343500,0.9893617021276596,,139.5,139.5,127.62765957446808,9.302322940018271,8.894746185070558,-7.843140022043604,-8.167806104069824,,,20.512817600532983,18.658593141462173,-23.78378607228469,-27.15959647265874,,,9.302322940018271,8.894746185070558,-23.78378607228469,-27.15959647265874,,,12.173910332706985,11.48802518326313,-15.68627704144413,-17.062554705719418,,,127.9574483235677,133.03229160682827,128.8148956298828,133.06326635906757,,135.1485554423636,,136.34217799318353,127.9574483235677,133.03229160682827,128.8148956298828,133.06326635906757,,135.1485554423636,,136.34217799318353,127.9574483235677,133.03229160682827,128.8148956298828,133.06326635906757,,135.1485554423636,,136.34217799318353,127.9574483235677,133.03229160682827,128.8148956298828,133.06326635906757,,135.1485554423636,,136.34217799318353
2021-09-21,146.0,155.0,145.0,155.0,153.35105895996094,10858200,0.9893616707094254,,144.4468039235761,153.35105895996094,143.45744225286668,9.9290745232695,9.46651947850133,12.318831671315134,11.617135244858645,,,3.5460960025635258,3.484669957410308,2.097894000165024,2.076191213497385,,,9.9290745232695,9.46651947850133,8.391599794695725,8.058040734588385,,,12.403097205713664,11.692130630283714,5.0724554344561135,4.947997794991441,,,140.15957387288412,143.21155666045246,132.17872314453126,140.00647262136278,,139.10878322452314,,139.38233505061672,140.15957387288412,143.21155666045246,132.17872314453126,140.00647262136278,,139.10878322452314,,139.38233505061672,140.15957387288412,143.21155666045246,132.17872314453126,140.00647262136278,,139.10878322452314,,139.38233505061672,140.15957387288412,143.21155666045246,132.17872314453126,140.00647262136278,,139.10878322452314,,139.38233505061672
2021-09-22,170.0,170.0,170.0,170.0,168.1914825439453,3312800,0.9893616620232076,,168.19148254394528,168.19148254394528,168.19148254394528,9.677418391912852,9.237331135139698,35.99999555821567,30.74846670877812,,,16.438355142099237,15.219180656230696,22.30215427897091,20.13244712593904,,,9.677418391912829,9.237331135139677,22.30215427897091,20.13244712593904,,,17.241378281010267,15.9064685850069,35.999995558215645,30.748466708778103,,,153.68084716796875,155.71372875463462,141.08297729492188,149.5672748670533,143.6553207397461,145.21778351114114,,144.26905520832267,153.68084716796875,155.71372875463462,141.08297729492188,149.5672748670533,143.6553207397461,145.21778351114114,,144.26905520832267,153.68084716796875,155.71372875463462,141.08297729492188,149.5672748670533,143.6553207397461,145.21778351114114,,144.26905520832267,153.68084716796875,155.71372875463462,141.08297729492188,149.5672748670533,143.6553207397461,145.21778351114114,,144.26905520832267
