Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2023-07-24,101.0,136.0,86.0,136.0,136.0,492711600,1.0,,101.0,136.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0,,136.0
2023-07-25,155.0,183.0,155.0,173.0,173.0,527278900,1.0,,155.0,183.0,155.0,27.205882352941167,24.063670876172687,,,,,53.46534653465347,42.83046000779872,,,,,34.558823529411775,29.6831267105369,,,,,80.23255813953489,58.9077820665739,,,,,,160.66666666666666,,158.20000000000002,,156.35,,155.73333333333332,,160.66666666666666,,158.20000000000002,,156.35,,155.73333333333332,,160.66666666666666,,158.20000000000002,,156.35,,155.73333333333332,,160.66666666666666,,158.20000000000002,,156.35,,155.73333333333332
2023-07-26,176.0,214.0,148.0,196.0,196.0,538693000,1.0,,176.0,214.0,148.0,13.294797687861282,12.482306473273836,,,,,13.548387096774196,12.705887811890518,,,,,16.93989071038251,15.648986218043053,,,,,-4.516129032258065,-4.621284315513156,,,,,168.33333333333334,180.85714285714286,,176.1052631578947,,172.2890365448505,,170.98224852071007,168.33333333333334,180.85714285714286,,176.1052631578947,,172.2890365448505,,170.98224852071007,168.33333333333334,180.85714285714286,,176.1052631578947,,172.2890365448505,,170.98224852071007,168.33333333333334,180.85714285714286,,176.1052631578947,,172.2890365448505,,170.98224852071007
2023-07-27,196.0,208.0,185.0,186.0,186.0,238365800,1.0,,196.0,208.0,185.0,-5.102040816326525,-5.236798551731592,,,,,11.363636363636353,10.763066419236536,,,,,-2.8037383177570097,-2.8437935320533514,,,,,25.0,22.314355131420974,,,,,185.0,183.6,,180.2153846153846,,176.8061881188119,,175.51858407079646,185.0,183.6,,180.2153846153846,,176.8061881188119,,175.51858407079646,185.0,183.6,,180.2153846153846,,176.8061881188119,,175.51858407079646,185.0,183.6,,180.2153846153846,,176.8061881188119,,175.51858407079646
2023-07-28,188.0,230.0,186.0,202.0,202.0,368693000,1.0,,188.0,230.0,186.0,8.602150537634401,8.252102368800344,,,,,-4.081632653061229,-4.167269640056808,,,,,10.576923076923084,10.054122922187746,,,,,0.540540540540535,0.5390848634876373,,,,,194.66666666666666,193.09677419354838,178.6,188.5781990521327,,184.03864630105292,,182.3143913288641,194.66666666666666,193.09677419354838,178.6,188.5781990521327,,184.03864630105292,,182.3143913288641,194.66666666666666,193.09677419354838,178.6,188.5781990521327,,184.03864630105292,,182.3143913288641,194.66666666666666,193.09677419354838,178.6,188.5781990521327,,184.03864630105292,,182.3143913288641
2023-07-31,212.0,224.0,200.0,206.0,206.0,436788800,1.0,,212.0,224.0,200.0,1.980198019801982,1.9608471388376336,51.47058823529412,41.5221283053529,,,12.765957446808509,12.01443118420632,109.9009900990099,74.1465757830753,,,-2.608695652173909,-2.643325706815548,64.70588235294117,49.89911661189878,,,7.526881720430101,7.2570692834835375,132.55813953488374,84.3970070294529,,,198.0,199.65079365079364,192.6,194.94436090225565,,189.7427684417637,,187.68571922903908,198.0,199.65079365079364,192.6,194.94436090225565,,189.7427684417637,,187.68571922903908,198.0,199.65079365079364,192.6,194.94436090225565,,189.7427684417637,,187.68571922903908,198.0,199.65079365079364,192.6,194.94436090225565,,189.7427684417637,,187.68571922903908
2023-08-01,208.0,210.0,181.0,206.0,206.0,321650800,1.0,,208.0,210.0,181.0,0.0,0.0,19.075144508670515,17.45845742918021,,,-1.8867924528301885,-1.9048194970694476,34.19354838709678,29.411296278207143,,,-6.25,-6.453852113757118,14.754098360655732,13.76213778760477,,,-9.499999999999996,-9.982033528221091,16.774193548387096,15.50719143465791,,,204.66666666666666,202.8503937007874,199.2,198.85866925692088,,193.66010817860095,,191.45530535666754,204.66666666666666,202.8503937007874,199.2,198.85866925692088,,193.66010817860095,,191.45530535666754,204.66666666666666,202.8503937007874,199.2,198.85866925692088,,193.66010817860095,,191.45530535666754,204.66666666666666,202.8503937007874,199.2,198.85866925692088,,193.66010817860095,,191.45530535666754
2023-08-02,214.0,214.0,196.0,196.0,196.0,155854100,1.0,,214.0,214.0,196.0,-4.854368932038833,-4.976150955906382,0.0,0.0,,,2.8846153846153744,2.843793532053341,21.590909090909083,19.549201998369963,,,1.904761904761898,1.886848430438273,0.0,0.0,,,8.287292817679548,7.961762796469139,32.432432432432435,28.09023854664022,,,202.66666666666666,199.41176470588235,199.2,197.86708961141952,,194.1924448445458,,192.32077541574668,202.66666666666666,199.41176470588235,199.2,197.86708961141952,,194.1924448445458,,192.32077541574668,202.66666666666666,199.41176470588235,199.2,197.86708961141952,,194.1924448445458,,192.32077541574668,202.66666666666666,199.41176470588235,199.2,197.86708961141952,,194.1924448445458,,192.32077541574668
2023-08-03,196.0,204.0,195.0,197.0,197.0,227432900,1.0,,196.0,204.0,195.0,0.5102040816326481,0.5089069507471228,5.913978494623651,5.745705502478721,,,-8.41121495327103,-8.786135579133427,0.0,0.0,,,-4.672897196261683,-4.78560211776351,-1.9230769230769276,-1.9418085857101628,,,-0.5102040816326481,-0.5115100666770377,5.405405405405395,5.264373348542188,,,199.66666666666666,198.20352250489236,201.4,197.57034061864275,,194.80327059803767,,193.15713717704767,199.66666666666666,198.20352250489236,201.4,197.57034061864275,,194.80327059803767,,193.15713717704767,199.66666666666666,198.20352250489236,201.4,197.57034061864275,,194.80327059803767,,193.15713717704767,199.66666666666666,198.20352250489236,201.4,197.57034061864275,,194.80327059803767,,193.15713717704767
2023-08-04,197.0,208.0,192.0,192.0,192.0,248348900,1.0,,197.0,208.0,192.0,-2.538071065989844,-2.570835671020692,-4.950495049504955,-5.077232537342326,,,0.5102040816326481,0.5089069507471228,4.78723404255319,4.676176590803928,,,1.9607843137254832,1.941808585710152,-9.565217391304348,-10.05412292218774,,,-1.538461538461533,-1.55041865359652,3.2258064516129004,3.174869831458027,,,195.0,195.09872922776148,199.4,195.6807927617406,189.0,194.21442632678242,,192.96085904803954,195.0,195.09872922776148,199.4,195.6807927617406,189.0,194.21442632678242,,192.96085904803954,195.0,195.09872922776148,199.4,195.6807927617406,189.0,194.21442632678242,,192.96085904803954,195.0,195.09872922776148,199.4,195.6807927617406,189.0,194.21442632678242,,192.96085904803954
