Date,Open,High,Low,Close,Adj Close,Volume
2019-07-10,374.0,374.0,374.0,374.0,356.3403015136719,21000
2019-07-11,466.0,466.0,378.0,452.0,430.6572570800781,19877200
2019-07-12,464.0,474.0,340.0,376.0,358.2458801269531,9188000
2019-07-15,376.0,400.0,340.0,376.0,358.2458801269531,2435700
2019-07-16,378.0,394.0,376.0,386.0,367.773681640625,6093600
2019-07-17,392.0,426.0,348.0,422.0,402.0738220214844,69014500
2019-07-18,422.0,458.0,418.0,442.0,421.12945556640625,77113200
2019-07-19,442.0,448.0,414.0,416.0,396.35711669921875,21521800
2019-07-22,416.0,426.0,410.0,414.0,394.4515686035156,5428800
2019-07-23,414.0,424.0,392.0,392.0,373.4903869628906,7878200
2019-07-24,392.0,412.0,392.0,398.0,379.2070617675781,12039400
2019-07-25,398.0,402.0,392.0,392.0,373.4903869628906,6199400
2019-07-26,392.0,398.0,378.0,380.0,362.0570068359375,883100
2019-07-29,382.0,394.0,378.0,394.0,375.39593505859375,9428300
2019-07-30,400.0,406.0,390.0,392.0,373.4903869628906,2168200
2019-07-31,394.0,400.0,390.0,392.0,373.4903869628906,889500
2019-08-01,392.0,398.0,390.0,392.0,373.4903869628906,1521100
2019-08-02,392.0,392.0,382.0,384.0,365.8681335449219,1353500
2019-08-05,384.0,384.0,376.0,378.0,360.15142822265625,502400
2019-08-06,376.0,382.0,374.0,374.0,356.3403015136719,1289500
2019-08-07,374.0,378.0,370.0,376.0,358.2458801269531,303600
2019-08-08,376.0,382.0,370.0,376.0,358.2458801269531,336800
2019-08-09,372.0,376.0,368.0,376.0,358.2458801269531,434800
2019-08-12,372.0,376.0,364.0,368.0,350.6236267089844,435300
2019-08-13,368.0,380.0,364.0,378.0,360.15142822265625,290900
2019-08-14,380.0,410.0,372.0,410.0,390.64044189453125,20213100
2019-08-15,404.0,416.0,386.0,386.0,367.773681640625,4878400
2019-08-16,390.0,400.0,388.0,388.0,369.67926025390625,4141200
2019-08-19,390.0,392.0,388.0,388.0,369.67926025390625,3275000
2019-08-20,390.0,390.0,382.0,384.0,365.8681335449219,3256000
2019-08-21,384.0,392.0,374.0,376.0,358.2458801269531,5029700
2019-08-22,376.0,380.0,374.0,378.0,360.15142822265625,4273800
2019-08-23,376.0,380.0,374.0,378.0,360.15142822265625,4091300
2019-08-26,376.0,386.0,376.0,378.0,360.15142822265625,3720900
2019-08-27,378.0,410.0,376.0,410.0,390.64044189453125,15379200
2019-08-28,410.0,422.0,388.0,414.0,394.4515686035156,18361000
2019-08-29,414.0,420.0,412.0,418.0,398.2626953125,3471200
2019-08-30,418.0,440.0,410.0,436.0,415.4127502441406,7408700
2019-09-02,436.0,440.0,422.0,422.0,402.0738220214844,4443700
2019-09-03,422.0,468.0,420.0,468.0,445.9017639160156,28208500
2019-09-04,470.0,480.0,420.0,450.0,428.751708984375,16899500
2019-09-05,450.0,462.0,444.0,452.0,430.6572570800781,12247700
2019-09-06,450.0,450.0,436.0,436.0,415.4127502441406,3540500
2019-09-09,434.0,444.0,426.0,434.0,413.5072021484375,6786300
2019-09-10,432.0,432.0,400.0,418.0,398.2626953125,9079100
2019-09-11,418.0,424.0,410.0,414.0,394.4515686035156,824600
2019-09-12,414.0,416.0,410.0,410.0,390.64044189453125,475900
2019-09-13,410.0,432.0,408.0,422.0,402.0738220214844,7035800
2019-09-16,422.0,436.0,410.0,420.0,400.1682434082031,9761100
2019-09-17,420.0,440.0,414.0,434.0,413.5072021484375,15055900
2019-09-18,434.0,454.0,396.0,400.0,381.1126403808594,43399600
2019-09-19,400.0,412.0,396.0,396.0,377.301513671875,6871700
2019-09-20,396.0,396.0,390.0,392.0,373.4903869628906,3469100
2019-09-23,392.0,400.0,390.0,394.0,375.39593505859375,4448500
2019-09-24,394.0,400.0,368.0,382.0,363.9625549316406,5605400
2019-09-25,382.0,382.0,374.0,382.0,363.9625549316406,2556800
2019-09-26,382.0,392.0,382.0,390.0,371.5848083496094,4186800
2019-09-27,388.0,412.0,388.0,410.0,390.64044189453125,7239600
2019-09-30,410.0,410.0,390.0,394.0,375.39593505859375,3201400
2019-10-01,394.0,394.0,384.0,384.0,365.8681335449219,2075600
2019-10-02,382.0,390.0,376.0,380.0,362.0570068359375,2769400
2019-10-03,380.0,386.0,358.0,384.0,365.8681335449219,3465700
2019-10-04,384.0,392.0,382.0,384.0,365.8681335449219,3035700
2019-10-07,384.0,392.0,384.0,390.0,371.5848083496094,3804200
2019-10-08,388.0,392.0,380.0,380.0,362.0570068359375,4311400
2019-10-09,378.0,382.0,374.0,376.0,358.2458801269531,4542800
2019-10-10,376.0,380.0,372.0,376.0,358.2458801269531,4665000
2019-10-11,376.0,382.0,372.0,380.0,362.0570068359375,3927700
2019-10-14,380.0,384.0,378.0,384.0,365.8681335449219,5485600
2019-10-15,384.0,394.0,384.0,388.0,369.67926025390625,6189700
2019-10-16,390.0,396.0,388.0,394.0,375.39593505859375,4895300
2019-10-17,396.0,414.0,392.0,398.0,379.2070617675781,9180300
2019-10-18,398.0,402.0,396.0,396.0,377.301513671875,3434100
2019-10-21,396.0,400.0,390.0,390.0,371.5848083496094,4726700
2019-10-22,390.0,406.0,388.0,406.0,386.8293151855469,4627800
2019-10-23,406.0,410.0,402.0,402.0,383.0181884765625,4879900
2019-10-24,402.0,402.0,378.0,384.0,365.8681335449219,4959700
2019-10-25,384.0,388.0,378.0,388.0,369.67926025390625,14178500
2019-10-28,390.0,392.0,382.0,384.0,365.8681335449219,450000
2019-10-29,384.0,384.0,378.0,382.0,363.9625549316406,1813100
2019-10-30,382.0,386.0,374.0,374.0,356.3403015136719,2135300
2019-10-31,380.0,386.0,376.0,384.0,365.8681335449219,2790900
2019-11-01,384.0,384.0,370.0,374.0,356.3403015136719,1861600
2019-11-04,374.0,390.0,374.0,384.0,365.8681335449219,6059000
2019-11-05,384.0,408.0,382.0,400.0,381.1126403808594,9026300
2019-11-06,400.0,456.0,398.0,450.0,428.751708984375,25890600
2019-11-07,452.0,460.0,424.0,430.0,409.6960754394531,18813700
2019-11-08,430.0,432.0,416.0,420.0,400.1682434082031,3861300
2019-11-11,420.0,426.0,404.0,426.0,405.88494873046875,4475300
2019-11-12,428.0,436.0,414.0,426.0,405.88494873046875,8199800
2019-11-13,420.0,422.0,418.0,420.0,400.1682434082031,3902500
2019-11-14,420.0,422.0,414.0,418.0,398.2626953125,5114300
2019-11-15,416.0,422.0,412.0,412.0,392.5459899902344,5060100
2019-11-18,412.0,414.0,406.0,408.0,388.7348937988281,3647000
2019-11-19,406.0,408.0,402.0,408.0,388.7348937988281,2384600
2019-11-20,406.0,412.0,402.0,410.0,390.64044189453125,4084900
