Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2021-06-30,132.0,132.0,132.0,132.0,132.0,700,1.0,,132.0,132.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0,,132.0
2021-07-01,145.0,145.0,145.0,145.0,145.0,6000,1.0,,145.0,145.0,145.0,9.84848484848484,9.393181983420346,,,,,9.84848484848484,9.393181983420346,,,,,9.84848484848484,9.393181983420346,,,,,9.84848484848484,9.393181983420346,,,,,,140.66666666666666,,139.79999999999998,,139.15,,138.93333333333334,,140.66666666666666,,139.79999999999998,,139.15,,138.93333333333334,,140.66666666666666,,139.79999999999998,,139.15,,138.93333333333334,,140.66666666666666,,139.79999999999998,,139.15,,138.93333333333334
2021-07-02,159.0,159.0,159.0,159.0,159.0,6300,1.0,,159.0,159.0,159.0,9.6551724137931,9.217045979965713,,,,,9.6551724137931,9.217045979965713,,,,,9.6551724137931,9.217045979965713,,,,,9.6551724137931,9.217045979965713,,,,,145.33333333333334,151.14285714285714,,148.89473684210526,,147.1295681063123,,146.53254437869822,145.33333333333334,151.14285714285714,,148.89473684210526,,147.1295681063123,,146.53254437869822,145.33333333333334,151.14285714285714,,148.89473684210526,,147.1295681063123,,146.53254437869822,145.33333333333334,151.14285714285714,,148.89473684210526,,147.1295681063123,,146.53254437869822
2021-07-05,174.0,174.0,174.0,174.0,174.0,11600,1.0,,174.0,174.0,174.0,9.433962264150942,9.015109699429749,,,,,9.433962264150942,9.015109699429749,,,,,9.433962264150942,9.015109699429749,,,,,9.433962264150942,9.015109699429749,,,,,159.33333333333334,163.33333333333334,,159.32307692307694,,155.98217821782177,,154.82949852507375,159.33333333333334,163.33333333333334,,159.32307692307694,,155.98217821782177,,154.82949852507375,159.33333333333334,163.33333333333334,,159.32307692307694,,155.98217821782177,,154.82949852507375,159.33333333333334,163.33333333333334,,159.32307692307694,,155.98217821782177,,154.82949852507375
2021-07-06,191.0,191.0,191.0,191.0,191.0,143300,1.0,,191.0,191.0,191.0,9.770114942528728,9.32181288321008,,,,,9.770114942528728,9.32181288321008,,,,,9.770114942528728,9.32181288321008,,,,,9.770114942528728,9.32181288321008,,,,,174.66666666666666,177.61290322580646,160.2,171.4834123222749,,166.0348424540695,,164.1117724453355,174.66666666666666,177.61290322580646,160.2,171.4834123222749,,166.0348424540695,,164.1117724453355,174.66666666666666,177.61290322580646,160.2,171.4834123222749,,166.0348424540695,,164.1117724453355,174.66666666666666,177.61290322580646,160.2,171.4834123222749,,166.0348424540695,,164.1117724453355
2021-07-07,210.0,210.0,210.0,210.0,210.0,10000,1.0,,210.0,210.0,210.0,9.947643979057585,9.483410267083874,59.09090909090908,46.43056081310978,,,9.947643979057585,9.483410267083874,59.09090909090908,46.43056081310978,,,9.947643979057585,9.483410267083874,59.09090909090908,46.43056081310978,,,9.947643979057585,9.483410267083874,59.09090909090908,46.43056081310978,,,191.66666666666666,194.06349206349208,175.8,185.55789473684214,,177.4541125052414,,174.51812173431605,191.66666666666666,194.06349206349208,175.8,185.55789473684214,,177.4541125052414,,174.51812173431605,191.66666666666666,194.06349206349208,175.8,185.55789473684214,,177.4541125052414,,174.51812173431605,191.66666666666666,194.06349206349208,175.8,185.55789473684214,,177.4541125052414,,174.51812173431605
2021-07-08,230.0,230.0,210.0,230.0,230.0,1537200,1.0,,230.0,230.0,210.0,9.523809523809534,9.09717782057268,58.62068965517242,46.1345566502621,,,9.523809523809534,9.09717782057268,58.62068965517242,46.1345566502621,,,9.523809523809534,9.09717782057268,58.62068965517242,46.1345566502621,,,0.0,0.0,44.82758620689656,37.03737882968943,,,210.33333333333334,212.17322834645668,192.8,201.2928606119476,,190.11556057241324,,185.93782864285663,210.33333333333334,212.17322834645668,192.8,201.2928606119476,,190.11556057241324,,185.93782864285663,210.33333333333334,212.17322834645668,192.8,201.2928606119476,,190.11556057241324,,185.93782864285663,210.33333333333334,212.17322834645668,192.8,201.2928606119476,,190.11556057241324,,185.93782864285663
2021-07-09,230.0,252.0,208.0,224.0,224.0,1522800,1.0,,230.0,252.0,208.0,-2.608695652173909,-2.643325706815548,40.88050314465408,34.27418496348083,,,0.0,0.0,44.654088050314456,36.91751067029638,,,9.565217391304335,9.134977858822785,58.49056603773586,46.05248852911919,,,-0.952380952380949,-0.9569451016150672,30.817610062893078,26.863387748108643,,,221.33333333333334,218.10980392156864,205.8,209.1692307692308,,197.82443384054,,193.18620774825504,221.33333333333334,218.10980392156864,205.8,209.1692307692308,,197.82443384054,,193.18620774825504,221.33333333333334,218.10980392156864,205.8,209.1692307692308,,197.82443384054,,193.18620774825504,221.33333333333334,218.10980392156864,205.8,209.1692307692308,,197.82443384054,,193.18620774825504
2021-07-12,224.0,224.0,202.0,202.0,202.0,221600,1.0,,224.0,224.0,202.0,-9.82142857142857,-10.337835445383508,16.09195402298851,14.921239818667576,,,-2.608695652173909,-2.643325706815548,28.735632183908045,25.25907526405108,,,-11.111111111111116,-11.778303565638351,28.735632183908045,25.25907526405108,,,-2.884615384615385,-2.9270382300113225,16.09195402298851,14.921239818667576,,,218.66666666666666,210.03913894324853,211.4,206.71566428459656,,198.7328909159611,,194.7615796242315,218.66666666666666,210.03913894324853,211.4,206.71566428459656,,198.7328909159611,,194.7615796242315,218.66666666666666,210.03913894324853,211.4,206.71566428459656,,198.7328909159611,,194.7615796242315,218.66666666666666,210.03913894324853,211.4,206.71566428459656,,198.7328909159611,,194.7615796242315
2021-07-13,182.0,182.0,182.0,182.0,182.0,91000,1.0,,182.0,182.0,182.0,-9.9009900990099,-10.42610103244094,-4.712041884816753,-4.826674096983451,,,-18.75,-20.763936477824448,-4.712041884816753,-4.826674096983451,,,-18.75,-20.763936477824448,-4.712041884816753,-4.826674096983451,,,-9.9009900990099,-10.42610103244094,-4.712041884816753,-4.826674096983451,,,202.66666666666666,196.0058651026393,209.6,198.3317190866006,184.9,195.21804402094511,,192.59691062774894,202.66666666666666,196.0058651026393,209.6,198.3317190866006,184.9,195.21804402094511,,192.59691062774894,202.66666666666666,196.0058651026393,209.6,198.3317190866006,184.9,195.21804402094511,,192.59691062774894,202.66666666666666,196.0058651026393,209.6,198.3317190866006,184.9,195.21804402094511,,192.59691062774894
