Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2023-05-08,120.0,135.0,115.0,135.0,135.0,20545700,1.0,,120.0,135.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0,,135.0
2023-05-09,182.0,182.0,146.0,182.0,182.0,355126800,1.0,,182.0,182.0,146.0,34.81481481481481,29.873190863836584,,,,,51.66666666666666,41.65149442947494,,,,,34.81481481481481,29.873190863836584,,,,,26.956521739130437,23.867449334508635,,,,,,166.33333333333334,,163.2,,160.85,,160.06666666666666,,166.33333333333334,,163.2,,160.85,,160.06666666666666,,166.33333333333334,,163.2,,160.85,,160.06666666666666,,166.33333333333334,,163.2,,160.85,,160.06666666666666
2023-05-10,202.0,244.0,195.0,230.0,230.0,893541500,1.0,,202.0,244.0,195.0,26.37362637362637,23.40726218464,,,,,10.989010989010994,10.426101032440943,,,,,34.06593406593406,29.316153821640643,,,,,33.56164383561644,28.939293685541035,,,,,182.33333333333334,202.71428571428572,,194.84210526315786,,188.64784053156146,,186.55029585798817,182.33333333333334,202.71428571428572,,194.84210526315786,,188.64784053156146,,186.55029585798817,182.33333333333334,202.71428571428572,,194.84210526315786,,188.64784053156146,,186.55029585798817,182.33333333333334,202.71428571428572,,194.84210526315786,,188.64784053156146,,186.55029585798817
2023-05-11,230.0,236.0,214.0,214.0,214.0,286666300,1.0,,230.0,236.0,214.0,-6.956521739130439,-7.210329390134394,,,,,13.861386138613852,12.981161152199054,,,,,-3.278688524590168,-3.3336420267591835,,,,,9.743589743589752,9.297645645810478,,,,,208.66666666666666,208.73333333333332,,202.79999999999998,,197.00024752475247,,194.84188790560472,208.66666666666666,208.73333333333332,,202.79999999999998,,197.00024752475247,,194.84188790560472,208.66666666666666,208.73333333333332,,202.79999999999998,,197.00024752475247,,194.84188790560472,208.66666666666666,208.73333333333332,,202.79999999999998,,197.00024752475247,,194.84188790560472
2023-05-12,200.0,220.0,200.0,214.0,214.0,165599300,1.0,,200.0,220.0,200.0,0.0,0.0,,,,,-13.043478260869568,-13.976194237515871,,,,,-6.779661016949157,-7.020425867324858,,,,,-6.542056074766355,-6.765864847381481,,,,,219.33333333333334,211.4516129032258,195.0,207.09952606635068,,201.88041410952727,,199.75834847440638,219.33333333333334,211.4516129032258,195.0,207.09952606635068,,201.88041410952727,,199.75834847440638,219.33333333333334,211.4516129032258,195.0,207.09952606635068,,201.88041410952727,,199.75834847440638,219.33333333333334,211.4516129032258,195.0,207.09952606635068,,201.88041410952727,,199.75834847440638
2023-05-15,216.0,220.0,202.0,208.0,208.0,168840900,1.0,,216.0,220.0,202.0,-2.8037383177570097,-2.8437935320533514,54.07407407407408,43.22633012628885,,,8.000000000000007,7.696104113612839,80.0,58.778666490211904,,,0.0,0.0,62.96296296296296,48.8352767913932,,,1.0000000000000009,0.9950330853168092,75.65217391304348,56.33355690379548,,,212.0,209.6984126984127,209.6,207.42857142857142,,203.46988194690837,,201.62735734800512,212.0,209.6984126984127,209.6,207.42857142857142,,203.46988194690837,,201.62735734800512,212.0,209.6984126984127,209.6,207.42857142857142,,203.46988194690837,,201.62735734800512,212.0,209.6984126984127,209.6,207.42857142857142,,203.46988194690837,,201.62735734800512
2023-05-16,206.0,214.0,194.0,194.0,194.0,151891200,1.0,,206.0,214.0,194.0,-6.730769230769229,-6.967992063798982,6.593406593406592,6.385147198653277,,,-4.629629629629628,-4.740223889458391,13.186813186813184,12.38694817127857,,,-2.727272727272722,-2.7651531330510006,17.582417582417587,16.196932794505617,,,-3.960396039603964,-4.0409538337876665,32.87671232876712,28.42515373549917,,,205.33333333333334,201.78740157480314,212.0,202.67411364740164,,201.18802081201008,,200.05743599487755,205.33333333333334,201.78740157480314,212.0,202.67411364740164,,201.18802081201008,,200.05743599487755,205.33333333333334,201.78740157480314,212.0,202.67411364740164,,201.18802081201008,,200.05743599487755,205.33333333333334,201.78740157480314,212.0,202.67411364740164,,201.18802081201008,,200.05743599487755
2023-05-17,193.0,194.0,181.0,181.0,181.0,69304700,1.0,,193.0,194.0,181.0,-6.70103092783505,-6.936112779750236,-21.30434782608696,-23.95822776573696,,,-6.310679611650483,-6.51859798846955,-4.455445544554459,-4.557750849631925,,,-9.345794392523366,-9.811785595852337,-20.49180327868853,-22.931006622987372,,,-6.70103092783505,-6.936112779750236,-7.179487179487176,-7.450252729792102,,,194.33333333333334,191.35294117647058,202.2,195.15606661379857,,196.5951487857021,,196.42822841311374,194.33333333333334,191.35294117647058,202.2,195.15606661379857,,196.5951487857021,,196.42822841311374,194.33333333333334,191.35294117647058,202.2,195.15606661379857,,196.5951487857021,,196.42822841311374,194.33333333333334,191.35294117647058,202.2,195.15606661379857,,196.5951487857021,,196.42822841311374
2023-05-19,173.0,175.0,169.0,169.0,169.0,3530700,1.0,,173.0,175.0,169.0,-6.629834254143652,-6.859831634275233,-21.02803738317757,-23.6077300098778,,,-10.362694300518138,-10.939859440710665,-24.782608695652176,-28.47877144254165,,,-9.79381443298969,-10.307218513981406,-25.847457627118644,-29.9045831102096,,,-6.629834254143652,-6.859831634275233,-21.02803738317757,-23.6077300098778,,,181.33333333333334,180.1545988258317,193.2,186.20452767200462,,190.59141008194013,,191.5257235190004,181.33333333333334,180.1545988258317,193.2,186.20452767200462,,190.59141008194013,,191.5257235190004,181.33333333333334,180.1545988258317,193.2,186.20452767200462,,190.59141008194013,,191.5257235190004,181.33333333333334,180.1545988258317,193.2,186.20452767200462,,190.59141008194013,,191.5257235190004
2023-05-22,158.0,179.0,158.0,168.0,168.0,140279600,1.0,,158.0,179.0,158.0,-0.591715976331364,-0.5934735519814578,-21.495327102803746,-24.20120356185926,,,-8.670520231213874,-9.069656147081217,-21.0,-23.572233352106984,,,2.285714285714291,2.2599831917241,-18.63636363636364,-20.624174051160654,,,-6.508875739644971,-6.730368189610666,-21.0,-23.572233352106984,,,172.66666666666666,174.0713587487781,184.0,180.02926324859973,189.5,185.84594511839356,,187.5351983786248,172.66666666666666,174.0713587487781,184.0,180.02926324859973,189.5,185.84594511839356,,187.5351983786248,172.66666666666666,174.0713587487781,184.0,180.02926324859973,189.5,185.84594511839356,,187.5351983786248,172.66666666666666,174.0713587487781,184.0,180.02926324859973,189.5,185.84594511839356,,187.5351983786248
