Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2018-03-29,375.0,375.0,375.0,375.0,375.0,528000,1.0,,375.0,375.0,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0
2018-03-30,375.0,375.0,375.0,375.0,375.0,0,1.0,,375.0,375.0,375.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0,,375.0
2018-04-02,430.0,467.5,430.0,467.5,467.5,659000,1.0,,430.0,467.5,430.0,24.666666666666657,22.04733227583308,,,,,14.666666666666671,13.685918271719736,,,,,24.666666666666657,22.04733227583308,,,,,14.666666666666671,13.685918271719736,,,,,405.8333333333333,427.85714285714283,,418.81578947368416,,412.18438538205976,,410.0295857988166,405.8333333333333,427.85714285714283,,418.81578947368416,,412.18438538205976,,410.0295857988166,405.8333333333333,427.85714285714283,,418.81578947368416,,412.18438538205976,,410.0295857988166,405.8333333333333,427.85714285714283,,418.81578947368416,,412.18438538205976,,410.0295857988166
2018-04-03,500.0,582.5,415.0,432.5,432.5,64025000,1.0,,500.0,582.5,415.0,-7.486631016042777,-7.781702235680764,,,,,16.279069767441868,15.082288973458368,,,,,24.598930481283432,21.992983671111404,,,,,-3.488372093023251,-3.5506688456909763,,,,,425.0,430.3333333333333,,424.49999999999994,,418.8774752475247,,416.81710914454277,425.0,430.3333333333333,,424.49999999999994,,418.8774752475247,,416.81710914454277,425.0,430.3333333333333,,424.49999999999994,,418.8774752475247,,416.81710914454277,425.0,430.3333333333333,,424.49999999999994,,418.8774752475247,,416.81710914454277
2018-04-04,435.0,447.5,410.0,412.5,412.5,20955400,1.0,,435.0,447.5,410.0,-4.6242774566473965,-4.734612059719831,,,,,-13.0,-13.926206733350766,,,,,-23.175965665236053,-26.36526477249456,,,,,-1.2048192771084376,-1.212136053234485,,,,,437.5,421.1290322580645,412.5,419.89336492891,,417.0466755553813,,415.70922874506607,437.5,421.1290322580645,412.5,419.89336492891,,417.0466755553813,,415.70922874506607,437.5,421.1290322580645,412.5,419.89336492891,,417.0466755553813,,415.70922874506607,437.5,421.1290322580645,412.5,419.89336492891,,417.0466755553813,,415.70922874506607
2018-04-05,412.5,425.0,400.0,417.5,417.5,21521400,1.0,,412.5,425.0,400.0,1.21212121212122,1.2048338516174577,11.333333333333329,10.735851832049931,,,-5.172413793103448,-5.310982531394841,10.000000000000009,9.531017980432493,,,-5.027932960893855,-5.158736879049323,13.33333333333333,12.5163142954006,,,-2.4390243902439046,-2.469261259037152,6.666666666666665,6.453852113757116,,,420.8333333333333,419.2857142857143,421.0,419.0187969924812,,417.16441957229944,,416.11533271047443,420.8333333333333,419.2857142857143,421.0,419.0187969924812,,417.16441957229944,,416.11533271047443,420.8333333333333,419.2857142857143,421.0,419.0187969924812,,417.16441957229944,,416.11533271047443,420.8333333333333,419.2857142857143,421.0,419.0187969924812,,417.16441957229944,,416.11533271047443
2018-04-06,417.5,420.0,410.0,412.5,412.5,19534800,1.0,,417.5,420.0,410.0,-1.19760479041916,-1.204833851617448,10.000000000000009,9.531017980432493,,,1.21212121212122,1.2048338516174577,11.333333333333329,10.735851832049931,,,-1.17647058823529,-1.1834457647002796,12.00000000000001,11.332868530700328,,,2.499999999999991,2.469261259037141,9.333333333333329,8.923113372794262,,,414.1666666666667,415.86614173228344,428.5,416.71078193297717,,416.04048182961577,,415.37119712564845,414.1666666666667,415.86614173228344,428.5,416.71078193297717,,416.04048182961577,,415.37119712564845,414.1666666666667,415.86614173228344,428.5,416.71078193297717,,416.04048182961577,,415.37119712564845,414.1666666666667,415.86614173228344,428.5,416.71078193297717,,416.04048182961577,,415.37119712564845
2018-04-09,410.0,442.5,405.0,425.0,425.0,28845000,1.0,,410.0,442.5,405.0,3.030303030303028,2.985296314968113,-9.090909090909092,-9.53101798043249,,,-1.7964071856287456,-1.8127384592556717,-4.651162790697672,-4.7628048989254586,,,5.35714285714286,5.218575317057025,-5.3475935828877,-5.495888428075747,,,-1.2195121951219523,-1.227009259181436,-5.813953488372093,-5.989814158106896,,,418.3333333333333,420.45098039215685,420.0,419.58604282315616,,418.07881539173866,,417.20486060505345,418.3333333333333,420.45098039215685,420.0,419.58604282315616,,418.07881539173866,,417.20486060505345,418.3333333333333,420.45098039215685,420.0,419.58604282315616,,418.07881539173866,,417.20486060505345,418.3333333333333,420.45098039215685,420.0,419.58604282315616,,418.07881539173866,,417.20486060505345
2018-04-10,425.0,442.5,417.5,440.0,440.0,21770400,1.0,,425.0,442.5,417.5,3.529411764705892,3.4685557987890108,1.734104046242768,1.719240054037277,,,3.658536585365857,3.593200922606337,-15.000000000000002,-16.251892949777496,,,0.0,0.0,-24.034334763948493,-27.48887209918714,,,3.0864197530864117,3.039747718437095,0.6024096385542244,0.6006024060211949,,,425.8333333333333,430.24461839530335,421.5,426.5724271034375,,422.8480980467074,,421.2792499809379,425.8333333333333,430.24461839530335,421.5,426.5724271034375,,422.8480980467074,,421.2792499809379,425.8333333333333,430.24461839530335,421.5,426.5724271034375,,422.8480980467074,,421.2792499809379,425.8333333333333,430.24461839530335,421.5,426.5724271034375,,422.8480980467074,,421.2792499809379
2018-04-11,440.0,460.0,437.5,452.5,452.5,23036600,1.0,,440.0,460.0,437.5,2.840909090909083,2.8013036227673886,9.696969696969692,9.255155736524513,,,3.529411764705892,3.4685557987890108,1.1494252873563315,1.142869582362285,,,3.9548022598870025,3.878602503515645,2.793296089385477,2.7549951768230647,,,4.79041916167664,4.679216150675888,6.707317073170738,6.491954609931569,,,439.1666666666667,441.38318670576734,429.5,435.3674709177079,421.0,429.0766628556988,,426.57503558140314,439.1666666666667,441.38318670576734,429.5,435.3674709177079,421.0,429.0766628556988,,426.57503558140314,439.1666666666667,441.38318670576734,429.5,435.3674709177079,421.0,429.0766628556988,,426.57503558140314,439.1666666666667,441.38318670576734,429.5,435.3674709177079,421.0,429.0766628556988,,426.57503558140314
2018-04-12,452.5,455.0,442.5,445.0,445.0,19362800,1.0,,452.5,455.0,442.5,-1.6574585635359074,-1.6713480973740555,6.586826347305386,6.378973787533,,,2.840909090909083,2.8013036227673886,9.696969696969692,9.255155736524513,,,-1.0869565217391353,-1.0929070532190317,7.058823529411762,6.820825002653357,,,1.1428571428571344,1.1363758650315003,10.624999999999996,10.097591734000218,,,445.8333333333333,443.1924767953102,435.0,438.61586873711445,428.0,432.32960156164603,,429.56684385942634,445.8333333333333,443.1924767953102,435.0,438.61586873711445,428.0,432.32960156164603,,429.56684385942634,445.8333333333333,443.1924767953102,435.0,438.61586873711445,428.0,432.32960156164603,,429.56684385942634,445.8333333333333,443.1924767953102,435.0,438.61586873711445,428.0,432.32960156164603,,429.56684385942634
2018-04-13,445.0,462.5,445.0,450.0,450.0,21634400,1.0,,445.0,462.5,445.0,1.1235955056179805,1.1173300598125255,9.090909090909085,8.701137698962969,,,-1.6574585635359074,-1.6713480973740555,6.586826347305386,6.378973787533,,,1.6483516483516425,1.634913800152941,10.119047619047628,9.639184567506597,,,0.5649717514124353,0.5633817718256064,8.536585365853666,8.19171224678868,,,449.1666666666667,446.5970695970696,442.5,442.4400534754289,435.5,435.86011482921106,,432.7651905294401,449.1666666666667,446.5970695970696,442.5,442.4400534754289,435.5,435.86011482921106,,432.7651905294401,449.1666666666667,446.5970695970696,442.5,442.4400534754289,435.5,435.86011482921106,,432.7651905294401,449.1666666666667,446.5970695970696,442.5,442.4400534754289,435.5,435.86011482921106,,432.7651905294401
2018-04-16,450.0,450.0,450.0,450.0,450.0,0,1.0,,450.0,450.0,450.0,0.0,0.0,5.882352941176472,5.715841383994862,,,1.1235955056179805,1.1173300598125255,9.756097560975618,9.309042306601205,,,-2.7027027027026973,-2.739897418811439,1.6949152542372836,1.680711831638119,,,1.1235955056179805,1.1173300598125255,11.111111111111116,10.536051565782635,,,448.3333333333333,448.2987425222806,447.5,444.9730507757556,433.75,438.6353395012317,,435.38045638544406,448.3333333333333,448.2987425222806,447.5,444.9730507757556,433.75,438.6353395012317,,435.38045638544406,448.3333333333333,448.2987425222806,447.5,444.9730507757556,433.75,438.6353395012317,,435.38045638544406,448.3333333333333,448.2987425222806,447.5,444.9730507757556,433.75,438.6353395012317,,435.38045638544406
2018-04-17,450.0,450.0,450.0,450.0,450.0,0,1.0,,450.0,450.0,450.0,0.0,0.0,2.2727272727272707,2.2472855852058577,,,0.0,0.0,5.882352941176472,5.715841383994862,,,0.0,0.0,1.6949152542372836,1.680711831638119,,,0.0,0.0,7.784431137724557,7.496303847345533,,,450.0,449.1494231825673,449.5,446.65446016382805,435.5,440.83409848718406,,437.54109095100875,450.0,449.1494231825673,449.5,446.65446016382805,435.5,440.83409848718406,,437.54109095100875,450.0,449.1494231825673,449.5,446.65446016382805,435.5,440.83409848718406,,437.54109095100875,450.0,449.1494231825673,449.5,446.65446016382805,435.5,440.83409848718406,,437.54109095100875
2018-04-18,457.5,467.5,457.5,460.0,460.0,18115000,1.0,,457.5,467.5,457.5,2.2222222222222143,2.197890671877517,1.6574585635359185,1.643872634315994,,,1.6666666666666607,1.6529301951210509,3.977272727272729,3.9002157803269175,,,3.888888888888897,3.8151765964376327,1.6304347826086918,1.6172859245600968,,,1.6666666666666607,1.6529301951210509,4.571428571428582,4.4700178917906985,,,453.3333333333333,454.57487716299937,451.0,451.1131555791684,440.25,444.4994692113809,431.0,440.7863497250877,453.3333333333333,454.57487716299937,451.0,451.1131555791684,440.25,444.4994692113809,431.0,440.7863497250877,453.3333333333333,454.57487716299937,451.0,451.1131555791684,440.25,444.4994692113809,431.0,440.7863497250877,453.3333333333333,454.57487716299937,451.0,451.1131555791684,440.25,444.4994692113809,431.0,440.7863497250877
2018-04-19,460.0,460.0,460.0,460.0,460.0,0,1.0,,460.0,460.0,460.0,0.0,0.0,3.370786516853941,3.3152207316900557,,,0.5464480874316946,0.5449604767564685,1.6574585635359185,1.643872634315994,,,-1.6042780748663057,-1.6172859245600957,1.098901098901095,1.092907053219023,,,0.5464480874316946,0.5449604767564685,3.9548022598870025,3.878602503515645,,,456.6666666666667,457.2874799725338,454.0,454.0799538216548,444.5,447.43617647772146,436.6666666666667,443.5095798586046,456.6666666666667,457.2874799725338,454.0,454.0799538216548,444.5,447.43617647772146,436.6666666666667,443.5095798586046,456.6666666666667,457.2874799725338,454.0,454.0799538216548,444.5,447.43617647772146,436.6666666666667,443.5095798586046,456.6666666666667,457.2874799725338,454.0,454.0799538216548,444.5,447.43617647772146,436.6666666666667,443.5095798586046
2018-04-20,460.0,460.0,460.0,460.0,460.0,0,1.0,,460.0,460.0,460.0,0.0,0.0,2.2222222222222143,2.197890671877517,,,0.0,0.0,3.370786516853941,3.3152207316900557,,,0.0,0.0,-0.540540540540535,-0.5420067469339145,,,0.0,0.0,3.370786516853941,3.3152207316900557,,,460.0,458.64375033378855,456.0,456.0553074511625,449.25,449.79845107662464,442.3333333333333,445.8083671004383,460.0,458.64375033378855,456.0,456.0553074511625,449.25,449.79845107662464,442.3333333333333,445.8083671004383,460.0,458.64375033378855,456.0,456.0553074511625,449.25,449.79845107662464,442.3333333333333,445.8083671004383,460.0,458.64375033378855,456.0,456.0553074511625,449.25,449.79845107662464,442.3333333333333,445.8083671004383
2018-04-23,460.0,460.0,455.0,457.5,457.5,14097600,1.0,,460.0,460.0,455.0,-0.5434782608695676,-0.5449604767564703,1.6666666666666607,1.6529301951210509,,,0.0,0.0,2.2222222222222143,2.197890671877517,,,0.0,0.0,2.2222222222222143,2.197890671877517,,,-1.0869565217391353,-1.0929070532190317,1.1111111111111072,1.1049836186584936,,,459.1666666666667,458.0718729853553,457.5,456.53719770007797,452.5,451.2375832810321,441.6666666666667,447.41505824088466,459.1666666666667,458.0718729853553,457.5,456.53719770007797,452.5,451.2375832810321,441.6666666666667,447.41505824088466,459.1666666666667,458.0718729853553,457.5,456.53719770007797,452.5,451.2375832810321,441.6666666666667,447.41505824088466,459.1666666666667,458.0718729853553,457.5,456.53719770007797,452.5,451.2375832810321,441.6666666666667,447.41505824088466
2018-04-24,460.0,460.0,455.0,455.0,455.0,13340400,1.0,,460.0,460.0,455.0,-0.5464480874316946,-0.5479465764625596,1.1111111111111072,1.1049836186584936,,,0.0,0.0,2.2222222222222143,2.197890671877517,,,0.0,0.0,2.2222222222222143,2.197890671877517,,,0.0,0.0,1.1111111111111072,1.1049836186584936,,,457.5,456.5359335631057,458.5,456.0245672227039,454.0,451.93710984460597,443.1666666666667,448.44460902582614,457.5,456.5359335631057,458.5,456.0245672227039,454.0,451.93710984460597,443.1666666666667,448.44460902582614,457.5,456.5359335631057,458.5,456.0245672227039,454.0,451.93710984460597,443.1666666666667,448.44460902582614,457.5,456.5359335631057,458.5,456.0245672227039,454.0,451.93710984460597,443.1666666666667,448.44460902582614
2018-04-25,455.0,455.0,455.0,455.0,455.0,0,1.0,,455.0,455.0,455.0,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,-1.0869565217391353,-1.0929070532190317,-0.5464480874316946,-0.5479465764625596,,,-1.0869565217391353,-1.0929070532190317,-2.67379679144385,-2.7101929777791267,,,0.0,0.0,-0.5464480874316946,-0.5479465764625596,,,455.8333333333333,455.76796604916194,457.5,455.68294207866427,454.25,452.5042480558431,446.0,449.3249609624133,455.8333333333333,455.76796604916194,457.5,455.68294207866427,454.25,452.5042480558431,446.0,449.3249609624133,455.8333333333333,455.76796604916194,457.5,455.68294207866427,454.25,452.5042480558431,446.0,449.3249609624133,455.8333333333333,455.76796604916194,457.5,455.68294207866427,454.25,452.5042480558431,446.0,449.3249609624133
2018-04-26,455.0,455.0,455.0,455.0,455.0,0,1.0,,455.0,455.0,455.0,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,455.0,455.38398284148354,456.5,455.4552490699007,455.25,452.96483125085024,448.5,450.08006838354976,455.0,455.38398284148354,456.5,455.4552490699007,455.25,452.96483125085024,448.5,450.08006838354976,455.0,455.38398284148354,456.5,455.4552490699007,455.25,452.96483125085024,448.5,450.08006838354976,455.0,455.38398284148354,456.5,455.4552490699007,455.25,452.96483125085024,448.5,450.08006838354976
2018-04-27,455.0,455.0,455.0,455.0,455.0,0,1.0,,455.0,455.0,455.0,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,0.0,0.0,-1.0869565217391353,-1.0929070532190317,,,455.0,455.1919913749674,455.5,455.3034790947866,455.75,453.33939320095755,451.3333333333333,450.72947031662056,455.0,455.1919913749674,455.5,455.3034790947866,455.75,453.33939320095755,451.3333333333333,450.72947031662056,455.0,455.1919913749674,455.5,455.3034790947866,455.75,453.33939320095755,451.3333333333333,450.72947031662056,455.0,455.1919913749674,455.5,455.3034790947866,455.75,453.33939320095755,451.3333333333333,450.72947031662056
2018-04-30,442.5,445.0,432.5,440.0,440.0,5595200,1.0,,442.5,445.0,432.5,-3.296703296703296,-3.352269203864356,-3.825136612021862,-3.90021578032692,,,-2.7472527472527486,-2.7856954502966222,-3.804347826086951,-3.878602503515642,,,-2.197802197802201,-2.222313678471024,-3.2608695652173947,-3.315220731690051,,,-4.94505494505495,-5.071509257901645,-4.94505494505495,-5.071509257901645,,,450.0,447.5959947819704,452.0,450.2018648182654,454.75,450.8898030222536,452.3333333333333,449.3230799973076,450.0,447.5959947819704,452.0,450.2018648182654,454.75,450.8898030222536,452.3333333333333,449.3230799973076,450.0,447.5959947819704,452.0,450.2018648182654,454.75,450.8898030222536,452.3333333333333,449.3230799973076,450.0,447.5959947819704,452.0,450.2018648182654,454.75,450.8898030222536,452.3333333333333,449.3230799973076
2018-05-01,440.0,440.0,440.0,440.0,440.0,0,1.0,,440.0,440.0,440.0,0.0,0.0,-3.296703296703296,-3.352269203864356,,,-0.5649717514124242,-0.5665737535677308,-4.347826086956519,-4.445176257083381,,,-1.1235955056179805,-1.1299555253933395,-4.347826086956519,-4.445176257083381,,,1.734104046242768,1.719240054037277,-3.296703296703296,-3.352269203864356,,,445.0,443.7979971646069,449.0,446.80104119239786,453.75,448.893673509226,452.3333333333333,448.10841747048823,445.0,443.7979971646069,449.0,446.80104119239786,453.75,448.893673509226,452.3333333333333,448.10841747048823,445.0,443.7979971646069,449.0,446.80104119239786,453.75,448.893673509226,452.3333333333333,448.10841747048823,445.0,443.7979971646069,449.0,446.80104119239786,453.75,448.893673509226,452.3333333333333,448.10841747048823
2018-05-02,435.0,437.5,432.5,432.5,432.5,535600,1.0,,435.0,437.5,432.5,-1.7045454545454586,-1.7192400540372874,-4.94505494505495,-5.071509257901645,,,-1.1363636363636354,-1.1428695823622743,-4.395604395604391,-4.495138786226628,,,-0.5681818181818232,-0.5698021114637779,-3.846153846153844,-3.922071315328127,,,-1.7045454545454586,-1.7192400540372874,-4.94505494505495,-5.071509257901645,,,437.5,438.14899841395015,444.5,442.0338386702339,451.0,445.89312422554383,451.0,446.08555825338425,437.5,438.14899841395015,444.5,442.0338386702339,451.0,445.89312422554383,451.0,446.08555825338425,437.5,438.14899841395015,444.5,442.0338386702339,451.0,445.89312422554383,451.0,446.08555825338425,437.5,438.14899841395015,444.5,442.0338386702339,451.0,445.89312422554383,451.0,446.08555825338425
2018-05-03,427.5,427.5,400.0,420.0,420.0,1124800,1.0,,427.5,427.5,400.0,-2.8901734104046284,-2.9327615094520065,-7.692307692307687,-8.004270767353637,,,-1.7241379310344862,-1.7391742711869222,-6.043956043956045,-6.234313057413552,,,-2.285714285714291,-2.312241742085426,-6.043956043956045,-6.234313057413552,,,-7.514450867052025,-7.811777926395204,-12.08791208791209,-12.883287184296844,,,430.8333333333333,429.0744990717545,437.5,434.6890318668363,447.0,441.1596221959627,449.3333333333333,442.72033781706733,430.8333333333333,429.0744990717545,437.5,434.6890318668363,447.0,441.1596221959627,449.3333333333333,442.72033781706733,430.8333333333333,429.0744990717545,437.5,434.6890318668363,447.0,441.1596221959627,449.3333333333333,442.72033781706733,430.8333333333333,429.0744990717545,437.5,434.6890318668363,447.0,441.1596221959627,449.3333333333333,442.72033781706733
2018-05-04,412.5,422.5,400.0,400.0,400.0,489400,1.0,,412.5,422.5,400.0,-4.761904761904767,-4.879016416943205,-12.08791208791209,-12.883287184296844,,,-3.508771929824561,-3.571808260207923,-9.34065934065934,-9.806121317621477,,,-1.1695906432748535,-1.176484157958637,-7.14285714285714,-7.410797215372185,,,0.0,0.0,-12.08791208791209,-12.883287184296844,,,417.5,414.5372494275663,426.5,423.12581772105216,441.0,433.64271306840067,446.0,437.23110936048005,417.5,414.5372494275663,426.5,423.12581772105216,441.0,433.64271306840067,446.0,437.23110936048005,417.5,414.5372494275663,426.5,423.12581772105216,441.0,433.64271306840067,446.0,437.23110936048005,417.5,414.5372494275663,426.5,423.12581772105216,441.0,433.64271306840067,446.0,437.23110936048005
2018-05-07,427.5,427.5,400.0,425.0,425.0,2354200,1.0,,427.5,427.5,400.0,6.25,6.062462181643484,-3.409090909090906,-3.4685557987889983,,,3.6363636363636376,3.5718082602079244,-3.3898305084745783,-3.448617607116932,,,1.183431952662728,1.1764841579586431,-3.93258426966292,-4.011999378942529,,,0.0,0.0,-7.514450867052025,-7.811777926395204,,,415.0,419.76862473327157,423.5,423.75055247798315,437.75,432.0655871956341,444.3333333333333,435.6649768910754,415.0,419.76862473327157,423.5,423.75055247798315,437.75,432.0655871956341,444.3333333333333,435.6649768910754,415.0,419.76862473327157,423.5,423.75055247798315,437.75,432.0655871956341,444.3333333333333,435.6649768910754,415.0,419.76862473327157,423.5,423.75055247798315,437.75,432.0655871956341,444.3333333333333,435.6649768910754
