Date,Open,High,Low,Close,Adj Close,Volume
2002-04-16,17.25,18.25,16.75,18.25,8.527185440063477,1770010000
2002-04-17,18.25,18.75,18.25,18.25,8.527185440063477,580260000
2002-04-18,18.5,19.0,18.25,18.75,8.760807991027832,239760000
2002-04-19,19.0,19.0,18.5,19.0,8.877616882324219,166780000
2002-04-22,18.75,19.75,18.75,19.25,8.994428634643555,179290000
2002-04-23,19.5,19.5,19.5,19.5,9.111236572265625,107000000
2002-04-24,19.5,20.0,19.5,19.75,9.228049278259277,245530000
2002-04-25,19.75,19.75,19.0,19.25,8.994428634643555,242920000
2002-04-26,19.25,19.25,18.75,18.75,8.760807991027832,124010000
2002-04-29,19.0,19.0,18.25,18.25,8.527185440063477,146790000
2002-04-30,18.5,19.75,18.25,19.5,9.111236572265625,217410000
2002-05-01,19.5,20.0,19.5,19.75,9.228049278259277,109430000
2002-05-02,19.75,21.5,19.75,21.25,9.928915023803711,344170000
2002-05-03,21.25,21.25,20.25,20.25,9.461669921875,156200000
2002-05-06,20.25,20.75,20.25,20.25,9.461669921875,121590000
2002-05-07,20.5,21.25,20.5,20.5,9.57848072052002,247400000
2002-05-08,20.75,22.0,20.25,21.25,9.928915023803711,636010000
2002-05-09,21.25,21.25,21.25,21.25,9.928915023803711,0
2002-05-10,21.25,22.75,21.25,21.5,10.045723915100098,752110000
2002-05-13,21.5,21.75,20.0,20.0,9.344861030578613,570570000
2002-05-14,20.25,20.75,18.75,19.5,9.111236572265625,533190000
2002-05-15,19.75,20.75,19.5,20.0,9.344861030578613,252870000
2002-05-16,20.25,20.25,18.75,19.25,8.994428634643555,358630000
2002-05-17,19.5,19.75,17.25,18.25,8.527185440063477,412170000
2002-05-20,18.25,18.75,15.25,15.5,7.24226713180542,442430000
2002-05-21,15.75,16.5,15.75,16.25,7.5926971435546875,227230000
2002-05-22,16.5,16.75,16.0,16.0,7.475890636444092,190130000
2002-05-23,16.25,16.25,15.0,15.75,7.359076976776123,306230000
2002-05-24,16.0,17.5,16.0,17.25,8.059942245483398,91790000
2002-05-27,17.5,17.75,17.5,17.5,8.176752090454102,27800000
2002-05-28,17.5,17.75,17.25,17.75,8.293564796447754,21950000
2002-05-29,17.5,17.75,17.5,17.5,8.176752090454102,1850000
2002-05-30,17.75,18.0,17.75,17.75,8.293564796447754,39870000
2002-05-31,18.0,18.25,18.0,18.0,8.410374641418457,186500000
2002-06-03,18.25,18.25,17.75,17.75,8.293564796447754,81180000
2002-06-04,18.0,18.0,17.75,17.75,8.293564796447754,30770000
2002-06-05,18.0,18.0,17.75,17.75,8.293564796447754,13430000
2002-06-06,17.75,17.75,17.75,17.75,8.293564796447754,6870000
2002-06-07,17.75,17.75,17.75,17.75,8.293564796447754,1800000
2002-06-10,17.75,17.75,17.75,17.75,8.293564796447754,1850000
2002-06-11,18.0,19.0,15.5,16.0,7.475890636444092,1101890000
2002-06-12,16.0,16.75,16.0,16.5,7.709510803222656,151180000
2002-06-13,16.75,17.0,16.5,16.75,7.826321125030518,99320000
2002-06-14,16.75,17.0,16.75,16.75,7.826321125030518,5710000
2002-06-17,16.75,16.75,16.75,16.75,7.826321125030518,1140000
2002-06-18,16.75,16.75,16.75,16.75,7.826321125030518,2150000
2002-06-19,16.75,16.75,16.75,16.75,7.826321125030518,450000
2002-06-20,16.75,16.75,16.75,16.75,7.826321125030518,3090000
2002-06-21,16.75,16.75,16.75,16.75,7.826321125030518,700000
2002-06-24,16.75,17.0,16.75,16.75,7.826321125030518,1440000
