Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2007-12-03,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,,,,,,,,,,,,,,,,,,,,,,,,,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-04,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-05,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-06,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-07,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-10,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-11,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-12,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-13,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,,170.4059295654297
2007-12-14,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297
2007-12-17,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297
2007-12-18,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297
2007-12-19,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297
2007-12-26,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,,170.4059295654297
2007-12-27,175.0,175.0,175.0,175.0,170.4059295654297,0,0.9737481689453124,,170.40592956542966,170.40592956542966,170.40592956542966,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297,170.4059295654297
