Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,312.0,312.0,312.0,312.0,309.1484375,970700
2018-01-17,390.0,390.0,390.0,390.0,386.4355773925781,1434900
2018-01-18,486.0,486.0,486.0,486.0,481.5581359863281,449700
2018-01-19,605.0,605.0,605.0,605.0,599.4705200195312,2577000
2018-01-22,750.0,755.0,750.0,755.0,748.0996704101562,2801200
2018-01-23,900.0,940.0,795.0,800.0,792.6882934570312,9587900
2018-01-24,810.0,835.0,600.0,600.0,594.5161743164062,8740200
2018-01-25,610.0,610.0,480.0,500.0,495.4302062988281,9609800
2018-01-26,500.0,610.0,500.0,535.0,530.1103515625,7446000
2018-01-29,550.0,560.0,510.0,520.0,515.2474365234375,1466400
2018-01-30,520.0,520.0,498.0,500.0,495.4302062988281,1562000
2018-01-31,500.0,500.0,470.0,490.0,485.5216064453125,1245400
2018-02-01,480.0,494.0,472.0,474.0,469.6678466796875,1358400
2018-02-02,470.0,482.0,470.0,476.0,471.6495666503906,471600
2018-02-05,470.0,480.0,468.0,470.0,465.70440673828125,521900
2018-02-06,470.0,478.0,448.0,478.0,473.63128662109375,1627700
2018-02-07,478.0,494.0,456.0,460.0,455.7958068847656,3394900
2018-02-08,460.0,488.0,450.0,486.0,481.5581359863281,1628900
2018-02-09,480.0,480.0,460.0,474.0,469.6678466796875,421600
2018-02-12,474.0,490.0,464.0,476.0,471.6495666503906,649300
2018-02-13,478.0,484.0,464.0,470.0,465.70440673828125,399400
2018-02-14,470.0,472.0,460.0,460.0,455.7958068847656,215000
2018-02-15,460.0,466.0,450.0,460.0,455.7958068847656,183200
2018-02-16,460.0,460.0,460.0,460.0,455.7958068847656,0
2018-02-19,460.0,480.0,450.0,464.0,459.7592468261719,1076400
2018-02-20,464.0,470.0,456.0,456.0,451.8323669433594,223200
2018-02-21,456.0,460.0,448.0,450.0,445.8871765136719,707300
2018-02-22,450.0,478.0,448.0,448.0,443.90545654296875,1716000
2018-02-23,456.0,460.0,446.0,446.0,441.9237365722656,343600
2018-02-26,446.0,452.0,426.0,440.0,435.97857666015625,498300
2018-02-27,440.0,464.0,434.0,446.0,441.9237365722656,1275100
2018-02-28,450.0,470.0,432.0,444.0,439.9420166015625,1278100
2018-03-01,444.0,450.0,440.0,444.0,439.9420166015625,121300
2018-03-02,442.0,450.0,434.0,434.0,430.03338623046875,162300
2018-03-05,434.0,444.0,420.0,420.0,416.1613464355469,270100
2018-03-06,420.0,426.0,410.0,410.0,406.2527770996094,622300
2018-03-07,410.0,410.0,386.0,408.0,404.27105712890625,410200
2018-03-08,406.0,406.0,384.0,384.0,380.49041748046875,464000
2018-03-09,384.0,386.0,360.0,366.0,362.6549072265625,375600
2018-03-12,366.0,366.0,340.0,340.0,336.8925476074219,1492600
2018-03-13,340.0,340.0,318.0,324.0,321.03875732421875,1069100
2018-03-14,324.0,334.0,318.0,332.0,328.9656677246094,594200
2018-03-15,332.0,364.0,332.0,358.0,354.7279968261719,1104500
2018-03-16,364.0,388.0,348.0,360.0,356.7097473144531,1750800
2018-03-19,360.0,360.0,330.0,360.0,356.7097473144531,607200
2018-03-20,342.0,358.0,342.0,358.0,354.7279968261719,289500
2018-03-21,358.0,358.0,344.0,356.0,352.7463073730469,386600
2018-03-22,356.0,360.0,346.0,358.0,354.7279968261719,276900
2018-03-23,356.0,360.0,346.0,360.0,356.7097473144531,742300
2018-03-26,360.0,360.0,354.0,358.0,354.7279968261719,68200
2018-03-27,358.0,358.0,350.0,356.0,352.7463073730469,126100
2018-03-28,350.0,356.0,348.0,352.0,348.7828369140625,402100
2018-03-29,352.0,358.0,352.0,358.0,354.7279968261719,330500
2018-03-30,358.0,358.0,358.0,358.0,354.7279968261719,0
2018-04-02,360.0,378.0,360.0,374.0,370.581787109375,615000
2018-04-03,384.0,398.0,384.0,386.0,382.47210693359375,687500
2018-04-04,390.0,482.0,390.0,426.0,422.1065368652344,14484500
2018-04-05,432.0,450.0,392.0,392.0,388.4172668457031,2391900
2018-04-06,392.0,404.0,374.0,386.0,382.47210693359375,762600
2018-04-09,390.0,390.0,376.0,390.0,386.4355773925781,328500
2018-04-10,390.0,406.0,384.0,394.0,390.3990173339844,241600
2018-04-11,394.0,394.0,380.0,380.0,376.5269775390625,314200
2018-04-12,380.0,392.0,376.0,388.0,384.4538269042969,442400
2018-04-13,388.0,388.0,380.0,386.0,382.47210693359375,265900
2018-04-16,386.0,386.0,386.0,386.0,382.47210693359375,0
2018-04-17,386.0,386.0,386.0,386.0,382.47210693359375,0
2018-04-18,392.0,404.0,390.0,390.0,386.4355773925781,244200
2018-04-19,390.0,390.0,390.0,390.0,386.4355773925781,0
2018-04-20,390.0,390.0,390.0,390.0,386.4355773925781,0
2018-04-23,394.0,394.0,386.0,394.0,390.3990173339844,308000
2018-04-24,398.0,398.0,392.0,396.0,392.3807067871094,308100
2018-04-25,396.0,396.0,396.0,396.0,392.3807067871094,0
2018-04-26,396.0,396.0,396.0,396.0,392.3807067871094,0
2018-04-27,396.0,396.0,396.0,396.0,392.3807067871094,0
2018-04-30,386.0,392.0,372.0,386.0,382.47210693359375,29500
2018-05-01,386.0,386.0,386.0,386.0,382.47210693359375,0
2018-05-02,386.0,394.0,386.0,388.0,384.4538269042969,182500
2018-05-03,388.0,388.0,380.0,382.0,378.5086669921875,397000
