Date,Open,High,Low,Close,Adj Close,Volume
2002-04-22,77.5,77.5,77.5,77.5,56.33404541015625,30000
2002-04-23,77.5,77.5,77.5,77.5,56.33404541015625,0
2002-04-24,77.5,77.5,77.5,77.5,56.33404541015625,0
2002-04-25,90.0,90.0,90.0,90.0,65.42017364501953,5000
2002-04-26,90.0,90.0,90.0,90.0,65.42017364501953,0
2002-04-29,90.0,90.0,90.0,90.0,65.42017364501953,0
2002-04-30,90.0,90.0,90.0,90.0,65.42017364501953,0
2002-05-01,80.0,80.0,80.0,80.0,58.15126037597656,35000
2002-05-02,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-03,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-06,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-07,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-08,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-09,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-10,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-13,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-14,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-15,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-16,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-17,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-20,80.0,80.0,80.0,80.0,58.15126037597656,30000
2002-05-21,80.0,80.0,80.0,80.0,58.15126037597656,175000
2002-05-22,80.0,80.0,80.0,80.0,58.15126037597656,70000
2002-05-23,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-24,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-05-27,85.0,85.0,85.0,85.0,61.78572463989258,35000
2002-05-28,85.0,85.0,85.0,85.0,61.78572463989258,25000
2002-05-29,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-05-30,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-05-31,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-03,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-04,85.0,85.0,85.0,85.0,61.78572463989258,10000
2002-06-05,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-06,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-07,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-10,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-11,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-12,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-13,87.5,92.5,87.5,90.0,65.42017364501953,130000
2002-06-14,95.0,95.0,92.5,92.5,67.23739624023438,200000
2002-06-17,92.5,92.5,92.5,92.5,67.23739624023438,100000
2002-06-18,90.0,90.0,90.0,90.0,65.42017364501953,250000
2002-06-19,90.0,90.0,90.0,90.0,65.42017364501953,0
2002-06-20,87.5,87.5,87.5,87.5,63.60294723510742,250000
2002-06-21,87.5,87.5,87.5,87.5,63.60294723510742,0
2002-06-24,87.5,87.5,87.5,87.5,63.60294723510742,0
2002-06-25,87.5,87.5,87.5,87.5,63.60294723510742,0
2002-06-26,85.0,85.0,85.0,85.0,61.78572463989258,15000
2002-06-27,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-06-28,85.0,85.0,85.0,85.0,61.78572463989258,0
2002-07-01,82.5,87.5,82.5,87.5,63.60294723510742,150000
2002-07-02,87.5,87.5,87.5,87.5,63.60294723510742,0
2002-07-03,87.5,87.5,87.5,87.5,63.60294723510742,0
2002-07-04,80.0,80.0,75.0,75.0,54.51681137084961,35000
2002-07-05,75.0,82.5,75.0,82.5,59.96849060058594,205000
2002-07-08,85.0,85.0,85.0,85.0,61.78572463989258,25000
2002-07-09,82.5,82.5,82.5,82.5,59.96849060058594,45000
2002-07-10,82.5,82.5,82.5,82.5,59.96849060058594,0
2002-07-11,82.5,82.5,82.5,82.5,59.96849060058594,0
2002-07-12,82.5,82.5,82.5,82.5,59.96849060058594,100000
2002-07-15,82.5,82.5,82.5,82.5,59.96849060058594,0
2002-07-16,82.5,82.5,82.5,82.5,59.96849060058594,0
2002-07-17,80.0,80.0,80.0,80.0,58.15126037597656,40000
2002-07-18,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-07-19,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-07-22,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-07-23,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-07-24,80.0,80.0,80.0,80.0,58.15126037597656,0
2002-07-25,80.0,80.0,80.0,80.0,58.15126037597656,0
