Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2024-01-11,110.0,110.0,90.0,90.0,90.0,45662500,1.0,,110.0,110.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
2024-01-12,81.0,88.0,81.0,81.0,81.0,32120700,1.0,,81.0,88.0,81.0,-9.999999999999998,-10.536051565782628,,,,,-26.363636363636367,-30.60312111199775,,,,,-20.0,-22.31435513142097,,,,,-9.999999999999998,-10.536051565782628,,,,,,84.0,,84.6,,85.05,,85.2,,84.0,,84.6,,85.05,,85.2,,84.0,,84.6,,85.05,,85.2,,84.0,,84.6,,85.05,,85.2
2024-01-15,81.0,81.0,81.0,81.0,81.0,0,1.0,,81.0,81.0,81.0,0.0,0.0,,,,,0.0,0.0,,,,,-7.954545454545459,-8.288765980576775,,,,,0.0,0.0,,,,,84.0,82.28571428571429,,82.89473684210525,,83.421926910299,,83.6094674556213,84.0,82.28571428571429,,82.89473684210525,,83.421926910299,,83.6094674556213,84.0,82.28571428571429,,82.89473684210525,,83.421926910299,,83.6094674556213,84.0,82.28571428571429,,82.89473684210525,,83.421926910299,,83.6094674556213
2024-01-16,66.0,71.0,66.0,66.0,66.0,66328800,1.0,,66.0,71.0,66.0,-18.518518518518523,-20.479441264601327,,,,,-18.518518518518523,-20.479441264601327,,,,,-12.34567901234568,-13.176927763112332,,,,,-18.518518518518523,-20.479441264601327,,,,,76.0,73.6,,75.87692307692306,,77.68217821782179,,78.29026548672566,76.0,73.6,,75.87692307692306,,77.68217821782179,,78.29026548672566,76.0,73.6,,75.87692307692306,,77.68217821782179,,78.29026548672566,76.0,73.6,,75.87692307692306,,77.68217821782179,,78.29026548672566
2024-01-17,63.0,72.0,60.0,72.0,72.0,49269100,1.0,,63.0,72.0,60.0,9.090909090909085,8.701137698962969,,,,,-4.545454545454541,-4.652001563489281,,,,,1.4084507042253502,1.398624197473987,,,,,-9.090909090909092,-9.53101798043249,,,,,73.0,72.7741935483871,78.0,74.38862559241704,,76.05097939256093,,76.67602280558862,73.0,72.7741935483871,78.0,74.38862559241704,,76.05097939256093,,76.67602280558862,73.0,72.7741935483871,78.0,74.38862559241704,,76.05097939256093,,76.67602280558862,73.0,72.7741935483871,78.0,74.38862559241704,,76.05097939256093,,76.67602280558862
2024-01-18,79.0,79.0,74.0,79.0,79.0,30098300,1.0,,79.0,79.0,74.0,9.722222222222232,9.278173345096628,-12.222222222222223,-13.036181786324358,,,25.396825396825395,22.63131260754888,-28.181818181818187,-33.10325133253948,,,9.722222222222232,9.278173345096628,-28.181818181818187,-33.10325133253948,,,23.33333333333334,20.97205309820691,-17.777777777777782,-19.574457712609536,,,72.33333333333333,75.93650793650794,75.8,76.07368421052631,,76.81694190884753,,77.20304508806534,72.33333333333333,75.93650793650794,75.8,76.07368421052631,,76.81694190884753,,77.20304508806534,72.33333333333333,75.93650793650794,75.8,76.07368421052631,,76.81694190884753,,77.20304508806534,72.33333333333333,75.93650793650794,75.8,76.07368421052631,,76.81694190884753,,77.20304508806534
2024-01-19,80.0,83.0,72.0,75.0,75.0,18932400,1.0,,80.0,83.0,72.0,-5.063291139240511,-5.195973893071111,-7.4074074074074066,-7.696104113612832,,,1.265822784810133,1.2578782206860186,-1.2345679012345734,-1.2422519998557209,,,5.063291139240511,4.939275532957647,-5.681818181818176,-5.849620668160849,,,-2.7027027027026973,-2.739897418811439,-11.111111111111116,-11.778303565638351,,,75.33333333333333,75.46456692913385,74.6,75.69354055366684,,76.3791318971271,,76.74959740391282,75.33333333333333,75.46456692913385,74.6,75.69354055366684,,76.3791318971271,,76.74959740391282,75.33333333333333,75.46456692913385,74.6,75.69354055366684,,76.3791318971271,,76.74959740391282,75.33333333333333,75.46456692913385,74.6,75.69354055366684,,76.3791318971271,,76.74959740391282
2024-01-22,70.0,82.0,70.0,82.0,82.0,19065900,1.0,,70.0,82.0,70.0,9.333333333333329,8.923113372794262,1.2345679012345734,1.22700925918144,,,-12.5,-13.353139262452263,-13.580246913580252,-14.595391262307984,,,-1.2048192771084376,-1.212136053234485,1.2345679012345734,1.22700925918144,,,-2.777777777777779,-2.817087696669633,-13.580246913580252,-14.595391262307984,,,78.66666666666667,78.74509803921569,74.8,77.88104678826329,,77.65790647902637,,77.74945913316924,78.66666666666667,78.74509803921569,74.8,77.88104678826329,,77.65790647902637,,77.74945913316924,78.66666666666667,78.74509803921569,74.8,77.88104678826329,,77.65790647902637,,77.74945913316924,78.66666666666667,78.74509803921569,74.8,77.88104678826329,,77.65790647902637,,77.74945913316924
2024-01-23,83.0,90.0,83.0,90.0,90.0,14071000,1.0,,83.0,90.0,83.0,9.756097560975618,9.309042306601205,36.36363636363635,31.015492830383945,,,18.571428571428573,17.034536574723894,25.75757575757576,22.91858657701724,,,9.756097560975618,9.309042306601205,26.7605633802817,23.71297932889497,,,18.571428571428573,17.034536574723894,25.75757575757576,22.91858657701724,,,82.33333333333333,84.38356164383562,79.6,82.02858484168797,,80.3431141266732,,79.93911337005967,82.33333333333333,84.38356164383562,79.6,82.02858484168797,,80.3431141266732,,79.93911337005967,82.33333333333333,84.38356164383562,79.6,82.02858484168797,,80.3431141266732,,79.93911337005967,82.33333333333333,84.38356164383562,79.6,82.02858484168797,,80.3431141266732,,79.93911337005967
2024-01-24,94.0,98.0,88.0,92.0,92.0,13160300,1.0,,94.0,98.0,88.0,2.2222222222222143,2.197890671877517,27.777777777777768,24.51224580329849,,,13.25301204819278,12.445417447340605,49.20634920634921,40.016005587847125,,,8.888888888888879,8.515780834030677,36.11111111111112,30.830135965451667,,,6.024096385542177,5.849620668160863,46.66666666666666,38.29922522561057,,,88.0,88.19550342130988,83.6,85.41104696251617,80.8,82.7917148689595,,81.98492808318106,88.0,88.19550342130988,83.6,85.41104696251617,80.8,82.7917148689595,,81.98492808318106,88.0,88.19550342130988,83.6,85.41104696251617,80.8,82.7917148689595,,81.98492808318106,88.0,88.19550342130988,83.6,85.41104696251617,80.8,82.7917148689595,,81.98492808318106
