Date,Open,High,Low,Close,Adj Close,Volume
2007-06-22,1050.0,1220.0,940.0,940.0,722.07763671875,481960000
2007-06-25,930.0,960.0,910.0,930.0,714.3958740234375,99892500
2007-06-26,930.0,930.0,920.0,930.0,714.3958740234375,46712500
2007-06-27,930.0,930.0,910.0,930.0,714.3958740234375,99075000
2007-06-28,930.0,940.0,910.0,930.0,714.3958740234375,46042500
2007-06-29,930.0,970.0,920.0,970.0,745.1226196289062,137849500
2007-07-02,960.0,970.0,950.0,960.0,737.4409790039062,69734000
2007-07-03,940.0,960.0,930.0,940.0,722.07763671875,33367500
2007-07-04,950.0,950.0,930.0,950.0,729.7593383789062,11703500
2007-07-05,950.0,950.0,940.0,950.0,729.7593383789062,18195500
2007-07-06,940.0,950.0,930.0,940.0,722.07763671875,16457500
2007-07-09,950.0,960.0,940.0,950.0,729.7593383789062,45493500
2007-07-10,950.0,970.0,950.0,950.0,729.7593383789062,51677000
2007-07-11,960.0,970.0,950.0,960.0,737.4409790039062,47029000
2007-07-12,960.0,970.0,950.0,960.0,737.4409790039062,28479000
2007-07-13,960.0,960.0,950.0,960.0,737.4409790039062,15942000
2007-07-16,960.0,960.0,950.0,960.0,737.4409790039062,7299500
2007-07-17,960.0,960.0,950.0,960.0,737.4409790039062,23421500
2007-07-18,960.0,960.0,950.0,960.0,737.4409790039062,4778500
2007-07-19,970.0,970.0,950.0,970.0,745.1226196289062,154140500
2007-07-20,970.0,970.0,960.0,970.0,745.1226196289062,7566000
2007-07-23,970.0,1010.0,970.0,1000.0,768.1675415039062,131169000
2007-07-24,1000.0,1020.0,990.0,1010.0,775.849365234375,51905500
2007-07-25,1010.0,1030.0,1000.0,1030.0,791.2127685546875,43282500
2007-07-26,1030.0,1060.0,1030.0,1060.0,814.2576904296875,83016000
2007-07-27,1010.0,1050.0,1000.0,1030.0,791.2127685546875,69615500
2007-07-30,1030.0,1030.0,1000.0,1020.0,783.5310668945312,12706500
2007-07-31,1030.0,1030.0,1020.0,1030.0,791.2127685546875,24225000
2007-08-01,980.0,1010.0,960.0,980.0,752.8043212890625,20852500
2007-08-02,990.0,1000.0,960.0,990.0,760.4859619140625,36070500
2007-08-03,970.0,1000.0,960.0,970.0,745.1226196289062,9229500
2007-08-06,940.0,940.0,890.0,930.0,714.3958740234375,50197500
2007-08-07,920.0,940.0,900.0,920.0,706.7142944335938,6402500
2007-08-08,950.0,950.0,920.0,950.0,729.7593383789062,9655500
2007-08-09,940.0,970.0,930.0,940.0,722.07763671875,13243500
2007-08-10,920.0,920.0,900.0,920.0,706.7142944335938,13034000
2007-08-13,920.0,920.0,920.0,920.0,706.7142944335938,0
2007-08-14,910.0,920.0,900.0,910.0,699.0325927734375,10926000
2007-08-15,890.0,900.0,820.0,850.0,652.9425659179688,26843500
2007-08-16,810.0,810.0,740.0,750.0,576.125732421875,27745500
2007-08-20,830.0,830.0,800.0,830.0,637.5791015625,32739500
2007-08-21,810.0,830.0,790.0,810.0,622.2158203125,12129500
2007-08-22,820.0,820.0,800.0,820.0,629.8974609375,17264500
2007-08-23,830.0,860.0,830.0,830.0,637.5791015625,18398000
2007-08-24,830.0,830.0,820.0,830.0,637.5791015625,795500
2007-08-27,840.0,850.0,830.0,840.0,645.2608032226562,2862500
2007-08-28,830.0,840.0,820.0,830.0,637.5791015625,8679500
2007-08-29,810.0,810.0,800.0,810.0,622.2158203125,1673000
2007-08-30,830.0,830.0,810.0,830.0,637.5791015625,3261000
2007-08-31,860.0,870.0,830.0,860.0,660.624267578125,6741000
2007-09-03,900.0,920.0,860.0,900.0,691.3509521484375,21670500
2007-09-04,890.0,910.0,870.0,890.0,683.669189453125,14723000
2007-09-05,880.0,900.0,870.0,880.0,675.987548828125,8546000
2007-09-06,880.0,880.0,870.0,880.0,675.987548828125,668000
2007-09-07,880.0,880.0,870.0,880.0,675.987548828125,492000
2007-09-10,860.0,880.0,860.0,870.0,668.3057861328125,584000
2007-09-11,880.0,880.0,860.0,880.0,675.987548828125,708000
2007-09-12,880.0,900.0,870.0,880.0,675.987548828125,387000
2007-09-13,870.0,880.0,860.0,870.0,668.3057861328125,2314500
