Date,Open,High,Low,Close,Adj Close,Volume
2024-02-07,278.0,334.0,278.0,334.0,334.0,65972900
2024-02-12,384.0,416.0,252.0,252.0,252.0,907187500
2024-02-13,306.0,306.0,189.0,189.0,189.0,171220000
2024-02-15,170.0,170.0,125.0,135.0,135.0,135906200
2024-02-16,135.0,149.0,127.0,142.0,142.0,88925000
2024-02-19,144.0,153.0,136.0,136.0,136.0,101804600
2024-02-20,136.0,142.0,133.0,135.0,135.0,39738000
2024-02-21,120.0,134.0,120.0,130.0,130.0,14364200
2024-02-22,131.0,163.0,131.0,163.0,163.0,350059400
2024-02-23,179.0,179.0,153.0,153.0,153.0,519749400
2024-02-26,154.0,162.0,129.0,131.0,131.0,292335700
2024-02-27,131.0,137.0,119.0,126.0,126.0,187021100
2024-02-28,126.0,126.0,126.0,126.0,126.0,0
2024-02-29,121.0,142.0,115.0,123.0,123.0,367948700
2024-03-01,120.0,127.0,120.0,125.0,125.0,54712100
2024-03-04,123.0,129.0,120.0,121.0,121.0,18363200
2024-03-05,121.0,148.0,118.0,147.0,147.0,158804700
2024-03-06,148.0,177.0,135.0,175.0,175.0,397551300
2024-03-07,178.0,191.0,130.0,133.0,133.0,604212200
2024-03-08,125.0,142.0,95.0,97.0,97.0,777992900
2024-03-13,97.0,97.0,97.0,97.0,97.0,0
2024-03-14,97.0,97.0,97.0,97.0,97.0,0
2024-03-15,97.0,97.0,97.0,97.0,97.0,0
