Date,Open,High,Low,Close,Adj Close,Volume
2024-01-10,360.0,372.0,282.0,346.0,346.0,658989300
2024-01-11,348.0,432.0,322.0,428.0,428.0,424914200
2024-01-12,434.0,510.0,382.0,382.0,382.0,386842200
2024-01-15,382.0,382.0,382.0,382.0,382.0,0
2024-01-16,370.0,388.0,350.0,376.0,376.0,81099500
2024-01-17,376.0,398.0,368.0,386.0,386.0,55249100
2024-01-18,388.0,402.0,370.0,386.0,386.0,53739300
2024-01-19,386.0,388.0,362.0,362.0,362.0,28508200
2024-01-22,344.0,372.0,344.0,356.0,356.0,27679500
2024-01-23,356.0,356.0,324.0,326.0,326.0,32314500
2024-01-24,328.0,340.0,322.0,340.0,340.0,24615500
2024-01-25,344.0,356.0,334.0,334.0,334.0,20943600
2024-01-26,330.0,334.0,320.0,322.0,322.0,21396800
2024-01-29,306.0,332.0,306.0,316.0,316.0,18024700
2024-01-30,316.0,328.0,316.0,320.0,320.0,18907600
2024-01-31,322.0,326.0,316.0,318.0,318.0,13551800
2024-02-01,318.0,330.0,316.0,330.0,330.0,12950600
2024-02-02,330.0,378.0,330.0,356.0,356.0,150825600
2024-02-05,358.0,372.0,346.0,352.0,352.0,42854700
2024-02-06,352.0,360.0,338.0,352.0,352.0,22337300
2024-02-07,354.0,354.0,338.0,338.0,338.0,17775200
2024-02-12,342.0,342.0,316.0,318.0,318.0,20534400
2024-02-13,318.0,336.0,310.0,324.0,324.0,25715000
2024-02-15,324.0,330.0,316.0,320.0,320.0,14931900
2024-02-16,320.0,328.0,316.0,322.0,322.0,14240200
2024-02-19,324.0,326.0,318.0,324.0,324.0,13517100
2024-02-20,326.0,358.0,324.0,358.0,358.0,50862300
2024-02-21,360.0,384.0,330.0,334.0,334.0,82559000
2024-02-22,328.0,346.0,322.0,334.0,334.0,21637000
2024-02-23,336.0,344.0,328.0,344.0,344.0,14396600
2024-02-26,348.0,348.0,332.0,334.0,334.0,12821300
2024-02-27,340.0,340.0,320.0,324.0,324.0,14710400
2024-02-28,308.0,330.0,308.0,322.0,322.0,14283600
2024-02-29,324.0,326.0,314.0,314.0,314.0,12797700
2024-03-01,314.0,326.0,312.0,312.0,312.0,15069200
2024-03-04,312.0,318.0,312.0,316.0,316.0,8428200
2024-03-05,316.0,320.0,310.0,312.0,312.0,11388900
2024-03-06,308.0,314.0,288.0,306.0,306.0,23003900
2024-03-07,252.0,320.0,252.0,318.0,318.0,16718500
2024-03-08,318.0,328.0,314.0,320.0,320.0,10867700
2024-03-13,276.0,320.0,276.0,312.0,312.0,12384400
2024-03-14,296.0,324.0,296.0,312.0,312.0,14164500
2024-03-15,316.0,316.0,306.0,306.0,306.0,11896300
