Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,145.0,145.0,145.0,145.0,145.0,29380200
2023-08-10,165.0,187.0,138.0,146.0,146.0,986580300
2023-08-11,139.0,148.0,127.0,130.0,130.0,137791700
2023-08-14,118.0,133.0,118.0,125.0,125.0,45367000
2023-08-15,125.0,137.0,125.0,133.0,133.0,60979000
2023-08-16,133.0,136.0,127.0,127.0,127.0,41608000
2023-08-18,119.0,131.0,119.0,127.0,127.0,30626500
2023-08-21,127.0,161.0,127.0,161.0,161.0,381905600
2023-08-22,171.0,180.0,138.0,139.0,139.0,502300700
2023-08-23,131.0,154.0,131.0,153.0,153.0,215409600
2023-08-24,157.0,168.0,150.0,166.0,166.0,203785200
2023-08-25,170.0,178.0,160.0,164.0,164.0,192307300
2023-08-28,165.0,175.0,165.0,175.0,175.0,72010000
2023-08-29,176.0,177.0,162.0,166.0,166.0,101767300
2023-08-30,168.0,177.0,165.0,169.0,169.0,129423800
2023-08-31,169.0,204.0,167.0,195.0,195.0,669133900
2023-09-01,197.0,208.0,187.0,189.0,189.0,547390500
2023-09-04,188.0,198.0,179.0,190.0,190.0,408586700
2023-09-05,190.0,191.0,175.0,181.0,181.0,245651400
2023-09-06,178.0,188.0,176.0,181.0,181.0,119049000
2023-09-07,181.0,186.0,176.0,176.0,176.0,143934900
2023-09-08,176.0,185.0,175.0,183.0,183.0,175458400
2023-09-11,183.0,187.0,181.0,183.0,183.0,148320300
2023-09-12,183.0,187.0,177.0,177.0,177.0,143254300
2023-09-13,177.0,180.0,170.0,172.0,172.0,151344600
2023-09-14,172.0,174.0,166.0,173.0,173.0,79715100
2023-09-15,173.0,174.0,168.0,170.0,170.0,40801400
2023-09-18,170.0,170.0,159.0,167.0,167.0,106455000
2023-09-19,168.0,177.0,166.0,172.0,172.0,166455600
2023-09-20,173.0,183.0,172.0,181.0,181.0,156543200
2023-09-21,183.0,197.0,178.0,196.0,196.0,213305600
2023-09-22,200.0,214.0,186.0,191.0,191.0,310006500
2023-09-25,193.0,202.0,187.0,192.0,192.0,139894200
2023-09-26,196.0,198.0,166.0,169.0,169.0,236228800
2023-09-27,170.0,178.0,165.0,174.0,174.0,80600800
2023-09-29,174.0,176.0,167.0,168.0,168.0,47201300
2023-10-02,170.0,170.0,161.0,161.0,161.0,32759500
2023-10-03,156.0,166.0,151.0,151.0,151.0,63625900
2023-10-04,137.0,163.0,137.0,151.0,151.0,159758100
2023-10-05,151.0,157.0,151.0,153.0,153.0,48326300
2023-10-06,154.0,155.0,144.0,150.0,150.0,61615800
2023-10-09,134.0,150.0,134.0,147.0,147.0,11407600
2023-10-10,148.0,148.0,144.0,146.0,146.0,14841000
2023-10-11,148.0,148.0,144.0,144.0,144.0,9210900
2023-10-12,143.0,149.0,112.0,117.0,117.0,231169600
2023-10-13,101.0,122.0,101.0,112.0,112.0,60475300
2023-10-16,96.0,118.0,96.0,112.0,112.0,70608600
2023-10-17,117.0,122.0,112.0,119.0,119.0,59257300
2023-10-18,120.0,123.0,112.0,114.0,114.0,28445400
2023-10-19,106.0,115.0,106.0,113.0,113.0,13947900
2023-10-20,113.0,114.0,108.0,110.0,110.0,20316800
2023-10-23,102.0,114.0,102.0,110.0,110.0,15656400
2023-10-24,110.0,116.0,109.0,111.0,111.0,23144000
2023-10-25,114.0,122.0,111.0,120.0,120.0,121190900
2023-10-26,121.0,122.0,111.0,111.0,111.0,63976600
2023-10-27,111.0,117.0,111.0,112.0,112.0,27875000
2023-10-30,114.0,115.0,108.0,111.0,111.0,25282200
2023-10-31,103.0,114.0,103.0,113.0,113.0,14169600
2023-11-01,114.0,114.0,106.0,108.0,108.0,18911500
2023-11-02,109.0,112.0,108.0,111.0,111.0,12031500
2023-11-03,111.0,112.0,109.0,110.0,110.0,9716100
2023-11-06,110.0,111.0,109.0,110.0,110.0,13991500
2023-11-07,102.0,111.0,100.0,109.0,109.0,7489100
2023-11-08,101.0,109.0,101.0,107.0,107.0,7163600
2023-11-09,107.0,117.0,107.0,114.0,114.0,44132800
2023-11-10,114.0,115.0,110.0,111.0,111.0,18123700
2023-11-13,112.0,113.0,107.0,108.0,108.0,15995200
2023-11-14,109.0,109.0,107.0,108.0,108.0,8255600
2023-11-15,107.0,108.0,104.0,107.0,107.0,7279800
2023-11-16,107.0,108.0,104.0,105.0,105.0,10787300
2023-11-17,105.0,105.0,99.0,102.0,102.0,16952500
2023-11-20,100.0,106.0,100.0,104.0,104.0,6431000
2023-11-21,100.0,107.0,100.0,104.0,104.0,6953900
2023-11-22,104.0,106.0,103.0,104.0,104.0,6163200
2023-11-23,103.0,105.0,100.0,104.0,104.0,30882600
2023-11-24,102.0,104.0,101.0,102.0,102.0,9935400
2023-11-27,102.0,104.0,101.0,102.0,102.0,10913800
2023-11-28,102.0,104.0,101.0,103.0,103.0,4806000
2023-11-29,103.0,104.0,101.0,102.0,102.0,7272400
2023-11-30,102.0,103.0,100.0,102.0,102.0,6991500
2023-12-01,101.0,103.0,97.0,101.0,101.0,12262600
2023-12-04,66.0,99.0,66.0,95.0,95.0,19819900
2023-12-05,87.0,96.0,87.0,91.0,91.0,16241000
