Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,156.0,208.0,150.0,208.0,208.0,105451400
2021-12-14,228.0,260.0,228.0,244.0,244.0,228710700
2021-12-15,248.0,248.0,228.0,228.0,228.0,41196100
2021-12-16,220.0,230.0,214.0,214.0,214.0,14599000
2021-12-17,214.0,236.0,210.0,216.0,216.0,10447900
2021-12-20,218.0,226.0,214.0,220.0,220.0,6586000
2021-12-21,220.0,224.0,216.0,220.0,220.0,5300100
2021-12-22,222.0,226.0,220.0,222.0,222.0,2058400
2021-12-23,222.0,224.0,210.0,220.0,220.0,3220700
2021-12-24,222.0,224.0,218.0,220.0,220.0,1034000
2021-12-27,220.0,224.0,216.0,220.0,220.0,1507600
2021-12-28,220.0,256.0,218.0,230.0,230.0,11784400
2021-12-29,230.0,234.0,220.0,224.0,224.0,2325900
2021-12-30,224.0,228.0,222.0,224.0,224.0,1068800
2022-01-03,226.0,250.0,226.0,236.0,236.0,10962300
2022-01-04,236.0,256.0,230.0,256.0,256.0,5592300
2022-01-05,260.0,316.0,252.0,298.0,298.0,17316800
2022-01-06,300.0,334.0,280.0,312.0,312.0,16471400
2022-01-07,316.0,390.0,314.0,356.0,356.0,75484800
2022-01-10,356.0,414.0,356.0,400.0,400.0,77773000
2022-01-11,400.0,400.0,372.0,372.0,372.0,4831200
2022-01-12,346.0,402.0,346.0,394.0,394.0,78051300
2022-01-13,394.0,410.0,378.0,390.0,390.0,22261900
2022-01-14,390.0,400.0,374.0,378.0,378.0,11926200
2022-01-17,378.0,398.0,378.0,384.0,384.0,12552300
2022-01-18,388.0,390.0,360.0,380.0,380.0,7985800
2022-01-19,380.0,390.0,372.0,386.0,386.0,6489500
2022-01-20,388.0,434.0,378.0,428.0,428.0,59739700
2022-01-21,430.0,440.0,404.0,410.0,410.0,26828400
2022-01-24,410.0,422.0,400.0,408.0,408.0,10770500
2022-01-25,408.0,432.0,406.0,430.0,430.0,28009300
2022-01-26,430.0,462.0,420.0,458.0,458.0,43291100
2022-01-27,460.0,462.0,426.0,426.0,426.0,27068400
2022-01-28,426.0,448.0,398.0,442.0,442.0,22302300
2022-01-31,442.0,470.0,434.0,448.0,448.0,20965800
2022-02-02,448.0,550.0,448.0,530.0,530.0,50211000
2022-02-03,530.0,555.0,494.0,500.0,500.0,23240900
2022-02-04,500.0,515.0,486.0,515.0,515.0,11225200
2022-02-07,520.0,575.0,515.0,540.0,540.0,25019400
2022-02-08,530.0,540.0,505.0,505.0,505.0,16059600
2022-02-09,505.0,515.0,476.0,510.0,510.0,10901500
2022-02-10,515.0,520.0,476.0,476.0,476.0,9693800
2022-02-11,458.0,494.0,444.0,484.0,484.0,27393300
2022-02-14,486.0,550.0,482.0,500.0,500.0,54411000
2022-02-15,500.0,510.0,474.0,486.0,486.0,14402400
2022-02-16,486.0,530.0,452.0,452.0,452.0,67549000
2022-02-17,450.0,450.0,422.0,422.0,422.0,3849100
2022-02-18,520.0,520.0,394.0,394.0,394.0,37195600
2022-02-21,394.0,402.0,368.0,396.0,396.0,26911500
2022-02-22,396.0,412.0,372.0,410.0,410.0,23586600
2022-02-23,412.0,426.0,382.0,382.0,382.0,46706700
2022-02-24,412.0,412.0,356.0,356.0,356.0,34139500
2022-02-25,396.0,396.0,332.0,332.0,332.0,3337800
2022-03-01,332.0,332.0,310.0,312.0,312.0,10541400
2022-03-02,314.0,326.0,294.0,310.0,310.0,7278000
2022-03-04,310.0,382.0,310.0,382.0,382.0,105870600
2022-03-07,382.0,442.0,356.0,416.0,416.0,115155100
2022-03-08,416.0,432.0,388.0,400.0,400.0,76303100
2022-03-09,400.0,412.0,372.0,376.0,376.0,50807100
2022-03-10,370.0,376.0,350.0,350.0,350.0,59274600
2022-03-11,350.0,350.0,326.0,326.0,326.0,6251100
2022-03-14,326.0,338.0,304.0,318.0,318.0,4520000
2022-03-15,320.0,332.0,310.0,316.0,316.0,3184100
2022-03-16,318.0,342.0,318.0,326.0,326.0,10415200
2022-03-17,328.0,336.0,318.0,320.0,320.0,3919300
2022-03-18,322.0,328.0,306.0,316.0,316.0,2238400
2022-03-21,318.0,328.0,316.0,322.0,322.0,2243600
2022-03-22,324.0,334.0,322.0,322.0,322.0,2555200
2022-03-23,324.0,330.0,322.0,328.0,328.0,1301700
2022-03-24,330.0,334.0,326.0,330.0,330.0,2025400
2022-03-25,332.0,354.0,328.0,342.0,342.0,7741600
2022-03-28,346.0,410.0,346.0,400.0,400.0,49393100
2022-03-29,408.0,424.0,378.0,404.0,404.0,50606600
2022-03-30,410.0,424.0,390.0,394.0,394.0,35803600
2022-03-31,396.0,412.0,368.0,368.0,368.0,47551200
2022-04-01,360.0,384.0,344.0,368.0,368.0,24608400
2022-04-04,372.0,386.0,368.0,384.0,384.0,31897900
2022-04-05,386.0,402.0,358.0,358.0,358.0,94609000
2022-04-06,356.0,356.0,334.0,334.0,334.0,54006400
2022-04-07,312.0,326.0,312.0,320.0,320.0,15217600
2022-04-08,320.0,332.0,316.0,324.0,324.0,23828900
2022-04-11,328.0,338.0,316.0,338.0,338.0,22621000
2022-04-12,342.0,350.0,326.0,330.0,330.0,28465500
2022-04-13,332.0,364.0,330.0,360.0,360.0,52521900
2022-04-14,362.0,364.0,336.0,336.0,336.0,91253500
2022-04-18,326.0,330.0,314.0,320.0,320.0,16730200
2022-04-19,318.0,324.0,314.0,320.0,320.0,8314900
2022-04-20,320.0,322.0,298.0,298.0,298.0,30057200
2022-04-21,298.0,312.0,278.0,306.0,306.0,25498000
2022-04-22,310.0,316.0,300.0,314.0,314.0,27244600
2022-04-25,316.0,326.0,308.0,322.0,322.0,32905600
2022-04-26,328.0,328.0,300.0,300.0,300.0,49219300
2022-04-27,300.0,300.0,280.0,280.0,280.0,11575100
2022-04-28,280.0,280.0,262.0,262.0,262.0,1258000
2022-05-09,250.0,256.0,244.0,244.0,244.0,1172600
2022-05-10,228.0,274.0,228.0,260.0,260.0,50105200
2022-05-11,262.0,282.0,252.0,270.0,270.0,18301300
2022-05-12,270.0,272.0,252.0,252.0,252.0,4752200
2022-05-13,244.0,254.0,236.0,252.0,252.0,7476700
2022-05-17,252.0,264.0,246.0,262.0,262.0,15706100
2022-05-18,262.0,288.0,260.0,286.0,286.0,53103700
2022-05-19,286.0,288.0,266.0,282.0,282.0,25156600
2022-05-20,284.0,300.0,282.0,298.0,298.0,55931900
2022-05-23,300.0,304.0,288.0,296.0,296.0,49629300
2022-05-24,296.0,310.0,294.0,308.0,308.0,67175700
2022-05-25,308.0,316.0,306.0,314.0,314.0,58299200
2022-05-27,316.0,326.0,312.0,312.0,312.0,63552900
2022-05-30,320.0,330.0,300.0,328.0,328.0,88835000
2022-05-31,332.0,336.0,310.0,332.0,332.0,48554800
2022-06-02,332.0,334.0,312.0,322.0,322.0,21442700
2022-06-03,322.0,330.0,306.0,314.0,314.0,34659400
2022-06-06,314.0,326.0,314.0,322.0,322.0,34613500
2022-06-07,326.0,340.0,322.0,340.0,340.0,52374400
2022-06-08,344.0,354.0,340.0,352.0,352.0,57337100
2022-06-09,352.0,358.0,328.0,328.0,328.0,41673000
2022-06-10,318.0,354.0,306.0,352.0,352.0,64809700
2022-06-13,354.0,360.0,328.0,328.0,328.0,31354100
2022-06-14,328.0,328.0,306.0,306.0,306.0,5539500
