Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,90.0,99.0,90.0,90.0,89.23076629638672,150065700
2023-02-07,81.0,89.0,81.0,81.0,80.30769348144531,40532500
2023-02-08,81.0,81.0,73.0,73.0,72.37606811523438,24613800
2023-02-09,66.0,78.0,66.0,75.0,74.35897064208984,13056900
2023-02-10,68.0,79.0,68.0,72.0,71.38461303710938,4873400
2023-02-13,67.0,79.0,67.0,76.0,75.35042572021484,6647700
2023-02-14,76.0,81.0,73.0,81.0,80.30769348144531,13522100
2023-02-15,82.0,86.0,79.0,85.0,84.27350616455078,12214000
2023-02-16,84.0,90.0,83.0,87.0,86.25640869140625,12556800
2023-02-17,88.0,95.0,87.0,91.0,90.22222137451172,29439800
2023-02-20,91.0,95.0,82.0,87.0,86.25640869140625,22759800
2023-02-21,88.0,95.0,85.0,95.0,94.18803405761719,20820200
2023-02-22,95.0,100.0,89.0,97.0,96.17093658447266,46363800
2023-02-23,97.0,100.0,89.0,96.0,95.17948913574219,22751500
2023-02-24,97.0,97.0,92.0,94.0,93.19657897949219,9635900
2023-02-27,95.0,96.0,93.0,94.0,93.19657897949219,6118800
2023-02-28,94.0,95.0,92.0,93.0,92.20513153076172,4969800
2023-03-01,93.0,98.0,91.0,94.0,93.19657897949219,9001700
2023-03-02,95.0,97.0,92.0,96.0,95.17948913574219,2587400
2023-03-03,96.0,97.0,94.0,97.0,96.17093658447266,4771500
2023-03-06,96.0,97.0,95.0,95.0,94.18803405761719,2207500
2023-03-07,95.0,96.0,93.0,96.0,95.17948913574219,6514600
2023-03-08,96.0,96.0,90.0,95.0,94.18803405761719,3637300
2023-03-09,93.0,95.0,93.0,95.0,94.18803405761719,2140700
2023-03-10,95.0,95.0,92.0,94.0,93.19657897949219,1883200
2023-03-13,94.0,94.0,88.0,93.0,92.20513153076172,3247500
2023-03-14,91.0,92.0,84.0,84.0,83.28205108642578,6181400
2023-03-15,83.0,83.0,76.0,76.0,75.35042572021484,3893300
2023-03-16,69.0,76.0,69.0,72.0,71.38461303710938,9596300
2023-03-17,67.0,76.0,67.0,75.0,74.35897064208984,2386100
2023-03-20,70.0,77.0,70.0,75.0,74.35897064208984,12636500
2023-03-21,75.0,82.0,74.0,82.0,81.29914855957031,18382800
2023-03-24,82.0,89.0,80.0,88.0,87.24786376953125,26958900
2023-03-27,88.0,89.0,85.0,86.0,85.26495361328125,23213900
2023-03-28,86.0,92.0,85.0,92.0,91.21367645263672,36761700
2023-03-29,92.0,97.0,89.0,97.0,96.17093658447266,52212300
2023-03-30,97.0,106.0,94.0,106.0,105.0940170288086,64851300
2023-03-31,108.0,110.0,96.0,96.0,95.17948913574219,38746100
2023-04-03,89.0,102.0,87.0,100.0,99.14530181884766,58547200
2023-04-04,100.0,106.0,99.0,105.0,104.1025619506836,56704400
2023-04-05,105.0,113.0,102.0,113.0,112.03418731689453,82117600
2023-04-06,114.0,115.0,110.0,110.0,109.05982971191406,39951400
2023-04-10,111.0,112.0,109.0,109.0,108.06837463378906,26244800
2023-04-11,109.0,115.0,109.0,115.0,114.01709747314453,50831400
2023-04-12,116.0,126.0,115.0,126.0,124.92308044433594,70311900
2023-04-13,127.0,130.0,121.0,125.0,123.93162536621094,37352200
2023-04-14,125.0,128.0,121.0,124.0,122.94017028808594,40342700
2023-04-17,125.0,127.0,122.0,123.0,121.94871520996094,22973500
2023-04-18,123.0,126.0,122.0,123.0,121.94871520996094,22493900
2023-04-26,123.0,135.0,123.0,134.0,132.85470581054688,48905600
2023-04-27,136.0,140.0,131.0,138.0,136.8205108642578,45168900
2023-04-28,139.0,148.0,138.0,146.0,144.75213623046875,69774700
2023-05-02,147.0,148.0,142.0,143.0,141.77777099609375,27533400
2023-05-03,143.0,145.0,140.0,142.0,140.7863311767578,37011700
2023-05-04,141.0,156.0,141.0,156.0,154.6666717529297,72737400
2023-05-05,157.0,163.0,154.0,163.0,161.60684204101562,47642400
2023-05-08,164.0,166.0,157.0,159.0,157.64102172851562,37801400
2023-05-09,159.0,173.0,159.0,172.0,170.5299072265625,57869300
2023-05-10,172.0,181.0,171.0,173.0,171.5213623046875,50591800
2023-05-11,173.0,173.0,164.0,169.0,167.55555725097656,42745900
2023-05-12,171.0,175.0,168.0,173.0,171.5213623046875,52174200
2023-05-15,173.0,175.0,163.0,167.0,165.57264709472656,36371900
2023-05-16,166.0,169.0,151.0,151.0,149.7093963623047,31584400
2023-05-17,136.0,136.0,136.0,136.0,134.8376007080078,18903000
2023-05-19,123.0,123.0,123.0,123.0,121.94871520996094,13552900
2023-05-22,111.0,111.0,111.0,111.0,110.05128479003906,2870900
2023-05-23,100.0,100.0,100.0,100.0,99.14530181884766,23080300
2023-05-24,90.0,110.0,90.0,110.0,109.05982971191406,76590600
2023-05-25,112.0,116.0,107.0,112.0,111.04273223876953,62343000
2023-05-26,112.0,115.0,108.0,111.0,110.05128479003906,45547700
2023-05-29,111.0,121.0,110.0,120.0,118.97435760498047,76548800
2023-05-30,121.0,122.0,116.0,117.0,116.0,33051900
2023-05-31,117.0,121.0,116.0,117.0,117.0,48771800
2023-06-05,116.0,120.0,115.0,120.0,120.0,29505400
2023-06-06,119.0,130.0,118.0,129.0,129.0,104884500
2023-06-07,129.0,136.0,129.0,135.0,135.0,66815600
2023-06-08,135.0,147.0,134.0,142.0,142.0,152620000
2023-06-09,142.0,144.0,128.0,128.0,128.0,97104700
2023-06-12,127.0,127.0,116.0,116.0,116.0,1474900
2023-06-13,105.0,105.0,105.0,105.0,105.0,42877000
2023-06-14,95.0,95.0,95.0,95.0,95.0,40952300
2023-06-15,86.0,86.0,86.0,86.0,86.0,31752200
2023-06-16,78.0,84.0,78.0,80.0,80.0,38766800
2023-06-19,72.0,87.0,72.0,84.0,84.0,98678000
2023-06-20,85.0,89.0,84.0,86.0,86.0,49832300
2023-06-21,86.0,89.0,84.0,86.0,86.0,49217000
2023-06-22,86.0,89.0,84.0,87.0,87.0,56380000
