Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2009-12-14,300.0,390.0,300.0,300.0,286.8997802734375,208354496,0.9563326009114584,,286.8997802734376,372.9697143554688,286.8997802734376,,,,,,,,,,,,,,,,,,,,,,,,,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375,,286.8997802734375
2009-12-15,285.0,315.0,275.0,285.0,272.55474853515625,38787000,0.9563324510005482,,272.55474853515625,301.2447220651727,262.9914240251508,-5.000014891823668,-5.129345114360143,,,,,-5.000014891823701,-5.129345114360177,,,,,-19.23078189183389,-21.357425705411,,,,,-8.333347702636884,-8.701153374568078,,,,,,277.33642578125,,278.2927612304687,,279.01001281738286,,279.2490966796875,,277.33642578125,,278.2927612304687,,279.01001281738286,,279.2490966796875,,277.33642578125,,278.2927612304687,,279.01001281738286,,279.2490966796875,,277.33642578125,,278.2927612304687,,279.01001281738286,,279.2490966796875
2009-12-16,270.0,285.0,255.0,270.0,258.20977783203125,33963000,0.9563325104890046,,258.20977783203125,272.55476548936633,243.86479017469617,-5.263152001651761,-5.406715906549073,,,,,-5.263152001651761,-5.406715906549073,,,,,-9.523803895757366,-10.008339635219746,,,,,-7.27272150464705,-7.550749030336037,,,,,272.5547688802083,266.4069126674107,,268.7797690943667,,270.648456560813,,271.2815439799834,272.5547688802083,266.4069126674107,,268.7797690943667,,270.648456560813,,271.2815439799834,272.5547688802083,266.4069126674107,,268.7797690943667,,270.648456560813,,271.2815439799834,272.5547688802083,266.4069126674107,,268.7797690943667,,270.648456560813,,271.2815439799834
2009-12-17,290.0,315.0,260.0,290.0,277.33642578125,137556496,0.9563325026939656,,277.33642578125006,301.2447383485992,248.64645070043107,7.407406531932681,7.1458955831173325,,,,,7.407406531932703,7.145895583117354,,,,,10.526314888576849,10.008345040601114,,,,,1.960783482646056,1.9418077706130172,,,,,269.3669840494792,272.235986328125,,272.33407264122593,,272.8518444401203,,273.11051122614765,269.3669840494792,272.235986328125,,272.33407264122593,,272.8518444401203,,273.11051122614765,269.3669840494792,272.235986328125,,272.33407264122593,,272.8518444401203,,273.11051122614765,269.3669840494792,272.235986328125,,272.33407264122593,,272.8518444401203,,273.11051122614765
2009-12-21,285.0,300.0,270.0,285.0,272.55474853515625,42569500,0.9563324510005482,,272.55474853515625,286.8997353001645,258.209761770148,-1.724143243219456,-1.7391796765682654,,,,,-1.724143243219467,-1.7391796765682763,,,,,-4.761909909886864,-4.879021822324553,,,,,3.846148232873348,3.774027392903336,,,,,269.3669840494792,272.4005087575605,273.51109619140624,272.41878708391954,,272.7665562860728,,272.96788833395414,269.3669840494792,272.4005087575605,273.51109619140624,272.41878708391954,,272.7665562860728,,272.96788833395414,269.3669840494792,272.4005087575605,273.51109619140624,272.41878708391954,,272.7665562860728,,272.96788833395414,269.3669840494792,272.4005087575605,273.51109619140624,272.41878708391954,,272.7665562860728,,272.96788833395414
2009-12-22,275.0,290.0,270.0,275.0,262.991455078125,20374000,0.9563325639204544,,262.99145507812494,277.33644353693177,258.20979225852267,-3.508760536526734,-3.5717964526090538,-8.333336879005637,-8.7011415669692,,,-3.508760536526756,-3.5717964526090764,-8.333336879005692,-8.701141566969262,,,-3.333321919320442,-3.3901433599692896,-25.64102851723537,-29.6265854823235,,,1.1807599542557057e-05,1.1807598845460076e-05,-10.000003481205589,-10.536055433788912,,,270.96087646484375,267.62130688864085,268.72943115234375,268.9739123810503,,270.2276248525967,,270.70547257612856,270.96087646484375,267.62130688864085,268.72943115234375,268.9739123810503,,270.2276248525967,,270.70547257612856,270.96087646484375,267.62130688864085,268.72943115234375,268.9739123810503,,270.2276248525967,,270.70547257612856,270.96087646484375,267.62130688864085,268.72943115234375,268.9739123810503,,270.2276248525967,,270.70547257612856
2009-12-23,270.0,275.0,265.0,270.0,258.20977783203125,6269000,0.9563325104890046,,258.20977783203125,262.9914403844763,253.42811527958625,-1.8181873037180216,-1.8349194539400169,-5.263152001651761,-5.406715906549073,,,-1.818187303718,-1.8349194539399944,-5.263152001651761,-5.406715906549073,,,-5.172419091234659,-5.310988118515184,-12.698407267836064,-13.58014789542768,,,-1.8518573355068344,-1.869218888335582,-3.636357642084176,-3.704120947556416,,,264.5853271484375,262.8784890963337,265.8604370117188,265.16281277627377,,267.3318064891657,,268.1335125766337,264.5853271484375,262.8784890963337,265.8604370117188,265.16281277627377,,267.3318064891657,,268.1335125766337,264.5853271484375,262.8784890963337,265.8604370117188,265.16281277627377,,267.3318064891657,,268.1335125766337,264.5853271484375,262.8784890963337,265.8604370117188,265.16281277627377,,267.3318064891657,,268.1335125766337
2009-12-28,270.0,270.0,270.0,270.0,258.20977783203125,0,0.9563325104890046,,258.20977783203125,258.20977783203125,258.20977783203125,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-1.8181818181818188,-1.834913866819654,-5.263157894736848,-5.406722127027583,,,1.8867924528301885,1.8692133012152543,5.882352941176472,5.715841383994862,,,259.8036702473958,260.5349791283701,265.8604370117188,262.75103047285455,,265.25650100812476,,266.2436836728817,259.8036702473958,260.5349791283701,265.8604370117188,262.75103047285455,,265.25650100812476,,266.2436836728817,259.8036702473958,260.5349791283701,265.8604370117188,262.75103047285455,,265.25650100812476,,266.2436836728817,259.8036702473958,260.5349791283701,265.8604370117188,262.75103047285455,,265.25650100812476,,266.2436836728817
2009-12-29,270.0,275.0,260.0,270.0,258.20977783203125,20045000,0.9563325104890046,,258.20977783203125,262.9914403844763,248.6464527271412,0.0,0.0,-6.896550965254367,-7.145895583117337,,,0.0,0.0,-6.896550965254377,-7.1458955831173485,,,1.85185185185186,1.8349138668196616,-12.698411986819949,-13.580153300809028,,,-3.703703703703709,-3.7740327982847086,8.150971453346756e-07,8.150971420127588e-07,,,258.20977783203125,259.3701033321612,262.035107421875,261.1968518396877,,263.7233806399197,,264.8077082204976,258.20977783203125,259.3701033321612,262.035107421875,261.1968518396877,,263.7233806399197,,264.8077082204976,258.20977783203125,259.3701033321612,262.035107421875,261.1968518396877,,263.7233806399197,,264.8077082204976,258.20977783203125,259.3701033321612,262.035107421875,261.1968518396877,,263.7233806399197,,264.8077082204976
2009-12-30,265.0,270.0,260.0,265.0,253.42811584472656,5842500,0.9563325126216096,,253.42811584472653,258.20977840783456,248.64645328161848,-1.8518516329831705,-1.869213078216976,-7.017537868345958,-7.27592898476605,,,-1.8518516329831811,-1.8692130782169871,-7.017537868345968,-7.275928984766063,,,-1.8181815992380777,-1.8349136438214,-9.999994200870733,-10.536045122305874,,,2.2299826429872385e-07,2.229982640500827e-07,-3.7036974988740257,-3.774026354807937,,,256.6158905029297,256.3962053912359,258.20978088378905,258.5615734150635,265.86043853759764,261.56079679947675,,262.8774573006453,256.6158905029297,256.3962053912359,258.20978088378905,258.5615734150635,265.86043853759764,261.56079679947675,,262.8774573006453,256.6158905029297,256.3962053912359,258.20978088378905,258.5615734150635,265.86043853759764,261.56079679947675,,262.8774573006453,256.6158905029297,256.3962053912359,258.20978088378905,258.5615734150635,265.86043853759764,261.56079679947675,,262.8774573006453
