Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2022-12-05,82.0,82.0,68.0,69.0,69.0,326737800,1.0,,82.0,82.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0,,69.0
2022-12-06,64.0,69.0,63.0,63.0,63.0,80919200,1.0,,64.0,69.0,63.0,-8.695652173913048,-9.097177820572677,,,,,-21.95121951219512,-24.78361639045812,,,,,-15.85365853658537,-17.261274266699377,,,,,-7.352941176470584,-7.637297878457397,,,,,,65.0,,65.39999999999999,,65.7,,65.8,,65.0,,65.39999999999999,,65.7,,65.8,,65.0,,65.39999999999999,,65.7,,65.8,,65.0,,65.39999999999999,,65.7,,65.8
2022-12-07,57.0,58.0,57.0,57.0,57.0,8888100,1.0,,57.0,58.0,57.0,-9.523809523809524,-10.008345855698252,,,,,-10.9375,-11.58318155251217,,,,,-15.94202898550725,-17.36634940508401,,,,,-9.523809523809524,-10.008345855698252,,,,,63.0,60.42857142857143,,61.421052631578945,,62.202657807308974,,62.467455621301774,63.0,60.42857142857143,,61.421052631578945,,62.202657807308974,,62.467455621301774,63.0,60.42857142857143,,61.421052631578945,,62.202657807308974,,62.467455621301774,63.0,60.42857142857143,,61.421052631578945,,62.202657807308974,,62.467455621301774
2022-12-08,52.0,54.0,52.0,52.0,52.0,19258500,1.0,,52.0,54.0,52.0,-8.771929824561408,-9.180754925312286,,,,,-8.771929824561408,-9.180754925312286,,,,,-6.896551724137934,-7.145896398214497,,,,,-8.771929824561408,-9.180754925312286,,,,,57.333333333333336,55.93333333333333,,57.5076923076923,,58.84133663366336,,59.30560471976401,57.333333333333336,55.93333333333333,,57.5076923076923,,58.84133663366336,,59.30560471976401,57.333333333333336,55.93333333333333,,57.5076923076923,,58.84133663366336,,59.30560471976401,57.333333333333336,55.93333333333333,,57.5076923076923,,58.84133663366336,,59.30560471976401
2022-12-09,47.0,47.0,47.0,47.0,47.0,7634900,1.0,,47.0,47.0,47.0,-9.615384615384617,-10.109611687136876,,,,,-9.615384615384617,-10.109611687136876,,,,,-12.962962962962964,-13.88364448542158,,,,,-9.615384615384617,-10.109611687136876,,,,,52.0,51.32258064516129,57.6,53.473933649289094,,55.442010940961936,,56.147672451600776,52.0,51.32258064516129,57.6,53.473933649289094,,55.442010940961936,,56.147672451600776,52.0,51.32258064516129,57.6,53.473933649289094,,55.442010940961936,,56.147672451600776,52.0,51.32258064516129,57.6,53.473933649289094,,55.442010940961936,,56.147672451600776
2022-12-12,43.0,49.0,43.0,43.0,43.0,87880700,1.0,,43.0,49.0,43.0,-8.510638297872342,-8.894748601649617,-37.68115942028986,-47.2906388903697,,,-8.510638297872342,-8.894748601649617,-47.5609756097561,-64.55191315706907,,,4.255319148936176,4.167269640056808,-40.2439024390244,-51.489894915362655,,,-8.510638297872342,-8.894748601649617,-36.76470588235294,-45.83075894825443,,,47.333333333333336,47.095238095238095,52.4,49.64661654135338,,52.210390929910005,,53.16609571265442,47.333333333333336,47.095238095238095,52.4,49.64661654135338,,52.210390929910005,,53.16609571265442,47.333333333333336,47.095238095238095,52.4,49.64661654135338,,52.210390929910005,,53.16609571265442,47.333333333333336,47.095238095238095,52.4,49.64661654135338,,52.210390929910005,,53.16609571265442
2022-12-13,40.0,43.0,39.0,39.0,39.0,61223700,1.0,,40.0,43.0,39.0,-9.302325581395356,-9.763846956391603,-38.095238095238095,-47.95730802618862,,,-6.976744186046513,-7.232066157962613,-37.5,-47.00036292457356,,,-12.244897959183676,-13.062018241706422,-37.68115942028986,-47.2906388903697,,,-9.302325581395356,-9.763846956391603,-38.095238095238095,-47.95730802618862,,,43.0,43.01574803149607,47.6,45.87712481787276,,49.027217389967845,,50.25032093837277,43.0,43.01574803149607,47.6,45.87712481787276,,49.027217389967845,,50.25032093837277,43.0,43.01574803149607,47.6,45.87712481787276,,49.027217389967845,,50.25032093837277,43.0,43.01574803149607,47.6,45.87712481787276,,49.027217389967845,,50.25032093837277
2022-12-14,36.0,40.0,36.0,39.0,39.0,57251700,1.0,,36.0,40.0,36.0,0.0,0.0,-31.57894736842105,-37.94896217049037,,,-9.999999999999998,-10.536051565782628,-36.8421052631579,-45.95323293784402,,,-6.976744186046513,-7.232066157962613,-31.034482758620683,-37.1563556432483,,,-7.692307692307687,-8.004270767353637,-36.8421052631579,-45.95323293784402,,,40.333333333333336,41.0,44.0,43.491673275178435,,46.745977109856064,,48.107863261600656,40.333333333333336,41.0,44.0,43.491673275178435,,46.745977109856064,,48.107863261600656,40.333333333333336,41.0,44.0,43.491673275178435,,46.745977109856064,,48.107863261600656,40.333333333333336,41.0,44.0,43.491673275178435,,46.745977109856064,,48.107863261600656
2022-12-15,39.0,42.0,38.0,42.0,42.0,32519100,1.0,,39.0,42.0,38.0,7.692307692307687,7.410797215372184,-19.23076923076923,-21.357410029805905,,,8.333333333333325,8.004270767353635,-25.0,-28.76820724517809,,,5.000000000000004,4.879016416943204,-22.22222222222222,-25.13144282809061,,,5.555555555555558,5.406722127027579,-26.923076923076927,-31.365755885504164,,,40.0,41.50097847358121,42.0,42.98116947472746,,45.713418572741936,,47.016147490477216,40.0,41.50097847358121,42.0,42.98116947472746,,45.713418572741936,,47.016147490477216,40.0,41.50097847358121,42.0,42.98116947472746,,45.713418572741936,,47.016147490477216,40.0,41.50097847358121,42.0,42.98116947472746,,45.713418572741936,,47.016147490477216
2022-12-16,43.0,46.0,42.0,46.0,46.0,37002800,1.0,,43.0,46.0,42.0,9.523809523809534,9.09717782057268,-2.127659574468088,-2.150620522096362,,,10.256410256410264,9.763846956391609,-8.510638297872342,-8.894748601649617,,,9.523809523809534,9.09717782057268,-2.127659574468088,-2.150620522096362,,,10.526315789473696,10.008345855698265,-10.63829787234043,-11.247798342669032,,,42.333333333333336,43.75268817204301,41.8,44.00520465316674,49.7,45.773616768309346,,46.843784582964346,42.333333333333336,43.75268817204301,41.8,44.00520465316674,49.7,45.773616768309346,,46.843784582964346,42.333333333333336,43.75268817204301,41.8,44.00520465316674,49.7,45.773616768309346,,46.843784582964346,42.333333333333336,43.75268817204301,41.8,44.00520465316674,49.7,45.773616768309346,,46.843784582964346
