Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2018-05-17,880.0,915.0,860.0,860.0,860.0,21800900,1.0,,880.0,915.0,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0,,860.0
2018-05-18,860.0,870.0,810.0,815.0,815.0,28726100,1.0,,860.0,870.0,810.0,-5.232558139534882,-5.374427600669069,,,,,-2.2727272727272707,-2.298951822469872,,,,,-4.918032786885251,-5.0430853626891965,,,,,-5.813953488372093,-5.989814158106896,,,,,,830.0,,833.0,,835.25,,836.0,,830.0,,833.0,,835.25,,836.0,,830.0,,833.0,,835.25,,836.0,,830.0,,833.0,,835.25,,836.0
2018-05-21,800.0,815.0,770.0,780.0,780.0,18043600,1.0,,800.0,815.0,770.0,-4.294478527607359,-4.389419355722526,,,,,-6.976744186046513,-7.232066157962613,,,,,-6.321839080459768,-6.530509840776667,,,,,-4.938271604938271,-5.064373281875492,,,,,818.3333333333334,801.4285714285714,,807.8947368421051,,813.0398671096345,,814.792899408284,818.3333333333334,801.4285714285714,,807.8947368421051,,813.0398671096345,,814.792899408284,818.3333333333334,801.4285714285714,,807.8947368421051,,813.0398671096345,,814.792899408284,818.3333333333334,801.4285714285714,,807.8947368421051,,813.0398671096345,,814.792899408284
2018-05-22,785.0,785.0,765.0,780.0,780.0,4437000,1.0,,785.0,785.0,765.0,0.0,0.0,,,,,-1.8750000000000044,-1.892800988551891,,,,,-3.6809815950920255,-3.750439545845429,,,,,-0.649350649350644,-0.6514681021193642,,,,,791.6666666666666,790.0,,796.3076923076923,,802.1547029702971,,804.2831858407079,791.6666666666666,790.0,,796.3076923076923,,802.1547029702971,,804.2831858407079,791.6666666666666,790.0,,796.3076923076923,,802.1547029702971,,804.2831858407079,791.6666666666666,790.0,,796.3076923076923,,802.1547029702971,,804.2831858407079
2018-05-23,780.0,780.0,765.0,770.0,770.0,3363900,1.0,,780.0,780.0,765.0,-1.2820512820512775,-1.290340483590784,,,,,-0.6369426751592355,-0.638979809877101,,,,,-0.6369426751592355,-0.638979809877101,,,,,0.0,0.0,,,,,776.6666666666666,779.6774193548387,801.0,786.2085308056871,,792.9239622752496,,795.4852452853831,776.6666666666666,779.6774193548387,801.0,786.2085308056871,,792.9239622752496,,795.4852452853831,776.6666666666666,779.6774193548387,801.0,786.2085308056871,,792.9239622752496,,795.4852452853831,776.6666666666666,779.6774193548387,801.0,786.2085308056871,,792.9239622752496,,795.4852452853831
2018-05-24,770.0,800.0,750.0,795.0,795.0,7816400,1.0,,770.0,800.0,750.0,3.2467532467532534,3.195159980660242,-7.558139534883724,-7.859027459322155,,,-1.2820512820512775,-1.290340483590784,-12.5,-13.353139262452263,,,2.564102564102555,2.5317807984289784,-12.568306010928964,-13.431233760759406,,,-1.9607843137254943,-1.9802627296179756,-12.790697674418606,-13.68591827171973,,,781.6666666666666,787.4603174603175,788.0,789.421052631579,,793.4631809824856,,795.3752032942316,781.6666666666666,787.4603174603175,788.0,789.421052631579,,793.4631809824856,,795.3752032942316,781.6666666666666,787.4603174603175,788.0,789.421052631579,,793.4631809824856,,795.3752032942316,781.6666666666666,787.4603174603175,788.0,789.421052631579,,793.4631809824856,,795.3752032942316
2018-05-25,790.0,830.0,780.0,810.0,810.0,3671300,1.0,,790.0,830.0,780.0,1.8867924528301885,1.8692133012152543,-0.6134969325153339,-0.6153865574378223,,,2.5974025974025983,2.564243061333765,-8.139534883720934,-8.489944378648627,,,3.750000000000009,3.68139731227164,-4.597701149425292,-4.706751085798586,,,4.000000000000004,3.922071315328133,-3.703703703703709,-3.7740327982847086,,,791.6666666666666,798.8188976377953,787.0,796.7071393880526,,797.4478900657106,,798.385391434891,791.6666666666666,798.8188976377953,787.0,796.7071393880526,,797.4478900657106,,798.385391434891,791.6666666666666,798.8188976377953,787.0,796.7071393880526,,797.4478900657106,,798.385391434891,791.6666666666666,798.8188976377953,787.0,796.7071393880526,,797.4478900657106,,798.385391434891
2018-05-28,810.0,935.0,810.0,890.0,890.0,11134300,1.0,,810.0,935.0,810.0,9.876543209876544,9.418721505970106,14.102564102564097,13.192754304254803,,,2.5316455696202445,2.500130220541718,1.2499999999999956,1.242251999855711,,,12.650602409638555,11.91208284980434,14.723926380368102,13.735841604782433,,,3.846153846153855,3.7740327982847113,5.1948051948051965,5.064373281875493,,,831.6666666666666,844.5882352941177,809.0,829.0674068199843,,818.5039411096095,,815.8320422904512,831.6666666666666,844.5882352941177,809.0,829.0674068199843,,818.5039411096095,,815.8320422904512,831.6666666666666,844.5882352941177,809.0,829.0674068199843,,818.5039411096095,,815.8320422904512,831.6666666666666,844.5882352941177,809.0,829.0674068199843,,818.5039411096095,,815.8320422904512
2018-05-29,890.0,890.0,890.0,890.0,890.0,0,1.0,,890.0,890.0,890.0,0.0,0.0,14.102564102564097,13.192754304254803,,,9.876543209876544,9.418721505970106,13.375796178343949,12.553774494377706,,,-4.812834224598928,-4.932506656250145,13.375796178343949,12.553774494377706,,,9.876543209876544,9.418721505970106,16.33986928104576,15.134562889964975,,,863.3333333333334,867.3385518590998,831.0,849.9207135777999,,834.0589815719783,,829.088778022009,863.3333333333334,867.3385518590998,831.0,849.9207135777999,,834.0589815719783,,829.088778022009,863.3333333333334,867.3385518590998,831.0,849.9207135777999,,834.0589815719783,,829.088778022009,863.3333333333334,867.3385518590998,831.0,849.9207135777999,,834.0589815719783,,829.088778022009
2018-05-30,890.0,945.0,875.0,935.0,935.0,5824800,1.0,,890.0,945.0,875.0,5.0561797752809,4.932506656250149,21.42857142857142,19.41560144409574,,,0.0,0.0,14.102564102564097,13.192754304254803,,,6.17977528089888,5.996346476755727,21.153846153846143,19.189100781010527,,,-1.6853932584269704,-1.6997576368571137,14.379084967320257,13.434805253107854,,,905.0,901.2023460410558,864.0,878.7809564842742,832.5,855.2622647932328,,847.0538532984285,905.0,901.2023460410558,864.0,878.7809564842742,832.5,855.2622647932328,,847.0538532984285,905.0,901.2023460410558,864.0,878.7809564842742,832.5,855.2622647932328,,847.0538532984285,905.0,901.2023460410558,864.0,878.7809564842742,832.5,855.2622647932328,,847.0538532984285
