Date,Open,High,Low,Close,Adj Close,Volume
2017-12-05,210.0,228.0,140.0,150.0,112.6393051147461,132381200
2017-12-06,151.0,156.0,132.0,132.0,99.12257385253906,18257000
2017-12-07,132.0,154.0,132.0,144.0,108.13371276855469,17334500
2017-12-08,144.0,148.0,134.0,135.0,101.37537384033203,6723400
2017-12-11,142.0,142.0,116.0,117.0,87.85865020751953,12887200
2017-12-12,117.0,124.0,112.0,113.0,84.85492706298828,7577800
2017-12-13,116.0,118.0,111.0,114.0,85.60586547851562,4480700
2017-12-14,116.0,120.0,112.0,113.0,84.85492706298828,11335200
2017-12-15,113.0,115.0,111.0,111.0,83.35308074951172,3892600
2017-12-18,111.0,113.0,105.0,105.0,78.84751892089844,5425200
2017-12-19,108.0,111.0,102.0,102.0,76.59471893310547,10391600
2017-12-20,102.0,116.0,100.0,112.0,84.10400390625,9068100
2017-12-21,112.0,116.0,108.0,110.0,82.60214233398438,6330000
2017-12-22,113.0,115.0,108.0,108.0,81.10028839111328,2284900
2017-12-25,108.0,108.0,108.0,108.0,81.10028839111328,0
2017-12-26,108.0,108.0,108.0,108.0,81.10028839111328,0
2017-12-27,108.0,118.0,108.0,108.0,81.10028839111328,2180600
2017-12-28,110.0,114.0,108.0,109.0,81.85122680664062,2640200
2017-12-29,104.0,112.0,104.0,110.0,82.60214233398438,2539800
2018-01-01,110.0,110.0,110.0,110.0,82.60214233398438,0
2018-01-02,103.0,148.0,103.0,148.0,111.13744354248047,29223800
2018-01-03,165.0,199.0,160.0,199.0,149.434814453125,77353800
2018-01-04,218.0,268.0,204.0,234.0,175.71730041503906,104721800
2018-01-05,222.0,242.0,197.0,200.0,150.1857452392578,30182600
2018-01-08,200.0,244.0,180.0,224.0,168.2080078125,63388300
2018-01-09,224.0,226.0,204.0,206.0,154.69131469726562,9595100
2018-01-10,196.0,216.0,196.0,206.0,154.69131469726562,7799200
2018-01-11,208.0,208.0,196.0,197.0,147.9329376220703,4971200
2018-01-12,200.0,208.0,195.0,197.0,147.9329376220703,2948900
2018-01-15,198.0,198.0,185.0,186.0,139.6727294921875,3645600
2018-01-16,186.0,199.0,177.0,191.0,143.42738342285156,7389000
2018-01-17,192.0,196.0,187.0,192.0,144.1782989501953,5726200
2018-01-18,193.0,193.0,176.0,179.0,134.4162139892578,8548900
2018-01-19,181.0,182.0,162.0,173.0,129.91065979003906,8287400
2018-01-22,172.0,182.0,172.0,176.0,132.16343688964844,5254100
2018-01-23,177.0,180.0,170.0,171.0,128.40878295898438,2642300
2018-01-24,171.0,177.0,170.0,172.0,129.15972900390625,1677500
2018-01-25,172.0,173.0,170.0,171.0,128.40878295898438,1144400
2018-01-26,173.0,204.0,168.0,191.0,143.42738342285156,10265500
2018-01-29,195.0,200.0,179.0,189.0,141.92552185058594,5251700
2018-01-30,188.0,189.0,174.0,180.0,135.1671600341797,1771600
2018-01-31,180.0,185.0,173.0,173.0,129.91065979003906,1320700
2018-02-01,176.0,185.0,174.0,179.0,134.4162139892578,3143100
2018-02-02,185.0,200.0,184.0,188.0,141.17459106445312,6142200
2018-02-05,188.0,208.0,184.0,200.0,150.1857452392578,17755600
2018-02-06,192.0,194.0,182.0,187.0,140.42364501953125,6073000
2018-02-07,186.0,195.0,186.0,188.0,141.17459106445312,2160200
2018-02-08,188.0,190.0,180.0,183.0,137.419921875,1671700
2018-02-09,180.0,183.0,145.0,177.0,132.91436767578125,4124300
2018-02-12,179.0,182.0,177.0,178.0,133.66529846191406,2030400
2018-02-13,178.0,184.0,168.0,176.0,132.16343688964844,6215200
2018-02-14,176.0,179.0,172.0,173.0,129.91065979003906,1491600
2018-02-15,173.0,177.0,173.0,176.0,132.16343688964844,730100
2018-02-16,176.0,176.0,176.0,176.0,132.16343688964844,0
2018-02-19,176.0,185.0,160.0,175.0,131.41250610351562,6859500
2018-02-20,176.0,176.0,170.0,170.0,127.65789031982422,3351100
2018-02-21,171.0,176.0,168.0,169.0,126.90694427490234,2921900
2018-02-22,169.0,170.0,167.0,168.0,126.156005859375,801700
2018-02-23,168.0,173.0,166.0,169.0,126.90694427490234,1114200
2018-02-26,169.0,169.0,162.0,164.0,123.15229797363281,3625300
2018-02-27,164.0,167.0,163.0,163.0,122.40135955810547,1207100
2018-02-28,154.0,164.0,154.0,158.0,118.646728515625,1476100
2018-03-01,158.0,159.0,153.0,153.0,114.89208984375,2492900
2018-03-02,153.0,158.0,151.0,156.0,117.1448745727539,1132800
2018-03-05,156.0,158.0,152.0,152.0,114.14115142822266,943700
2018-03-06,152.0,156.0,149.0,151.0,113.3902359008789,667400
2018-03-07,154.0,154.0,141.0,145.0,108.88465881347656,1590100
2018-03-08,145.0,150.0,137.0,143.0,107.38280487060547,622000
2018-03-09,140.0,146.0,139.0,140.0,105.13002014160156,1021200
2018-03-12,140.0,157.0,140.0,145.0,108.88465881347656,2831100
2018-03-13,145.0,169.0,145.0,163.0,122.40135955810547,10922200
2018-03-14,157.0,200.0,157.0,184.0,138.17086791992188,28198900
2018-03-15,186.0,188.0,173.0,173.0,129.91065979003906,5656200
2018-03-16,174.0,177.0,158.0,165.0,123.90324401855469,4087100
2018-03-19,170.0,222.0,170.0,222.0,166.70616149902344,69849200
2018-03-20,230.0,266.0,204.0,212.0,159.19688415527344,97946800
2018-03-21,214.0,232.0,206.0,208.0,156.19314575195312,21223300
2018-03-22,210.0,214.0,193.0,194.0,145.68017578125,17779200
2018-03-23,190.0,190.0,170.0,177.0,132.91436767578125,5112200
2018-03-26,177.0,189.0,173.0,180.0,135.1671600341797,8497200
2018-03-27,190.0,218.0,188.0,199.0,149.434814453125,42802100
2018-03-28,202.0,206.0,179.0,186.0,139.6727294921875,8489300
2018-03-29,186.0,194.0,173.0,190.0,142.67645263671875,2413200
2018-03-30,190.0,190.0,190.0,190.0,142.67645263671875,0
2018-04-02,192.0,195.0,186.0,186.0,139.6727294921875,3064900
2018-04-03,186.0,212.0,180.0,191.0,143.42738342285156,29066800
2018-04-04,196.0,200.0,185.0,185.0,138.9217987060547,6066900
2018-04-05,191.0,210.0,187.0,190.0,142.67645263671875,16037200
2018-04-06,194.0,194.0,184.0,188.0,141.17459106445312,4210800
2018-04-09,192.0,194.0,184.0,185.0,138.9217987060547,4023000
2018-04-10,185.0,188.0,179.0,187.0,140.42364501953125,3952900
2018-04-11,190.0,190.0,178.0,181.0,135.91810607910156,5136900
2018-04-12,181.0,193.0,179.0,181.0,135.91810607910156,6200800
2018-04-13,183.0,184.0,180.0,180.0,135.1671600341797,1866300
2018-04-16,180.0,180.0,180.0,180.0,135.1671600341797,0
2018-04-17,180.0,180.0,180.0,180.0,135.1671600341797,0
2018-04-18,180.0,181.0,172.0,174.0,130.66159057617188,1492200
2018-04-19,174.0,174.0,174.0,174.0,130.66159057617188,0
