Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,200.0,256.0,129.0,129.0,128.08941650390625,483657000
2023-10-10,109.0,129.0,98.0,104.0,103.26588439941406,178337600
2023-10-11,80.0,119.0,80.0,117.0,116.17411804199219,143025700
2023-10-12,118.0,122.0,109.0,111.0,110.21647644042969,55461100
2023-10-13,110.0,118.0,105.0,105.0,104.25882720947266,33224900
2023-10-16,106.0,114.0,102.0,112.0,111.20941162109375,34154700
2023-10-17,112.0,115.0,108.0,109.0,108.2305908203125,15211900
2023-10-18,109.0,112.0,107.0,110.0,109.2235336303711,21276800
2023-10-19,111.0,112.0,108.0,112.0,111.20941162109375,12342100
2023-10-20,112.0,125.0,112.0,117.0,116.17411804199219,78063300
2023-10-23,117.0,119.0,114.0,116.0,115.18118286132812,14066700
2023-10-24,117.0,123.0,116.0,120.0,119.15294647216797,18960400
2023-10-25,121.0,123.0,114.0,114.0,113.19529724121094,19910900
2023-10-26,114.0,115.0,103.0,111.0,110.21647644042969,15861800
2023-10-27,112.0,115.0,110.0,111.0,110.21647644042969,5373100
2023-10-30,112.0,112.0,105.0,110.0,109.2235336303711,18662500
2023-10-31,110.0,119.0,108.0,113.0,112.20235443115234,18127500
2023-11-01,113.0,118.0,113.0,115.0,114.18824005126953,7972600
2023-11-02,115.0,118.0,115.0,115.0,114.18824005126953,4322800
2023-11-03,116.0,118.0,112.0,116.0,115.18118286132812,4911300
2023-11-06,116.0,122.0,114.0,117.0,116.17411804199219,17059800
2023-11-07,118.0,146.0,118.0,131.0,130.07530212402344,224290500
2023-11-08,131.0,144.0,130.0,138.0,137.02587890625,77362000
2023-11-09,139.0,154.0,138.0,146.0,144.96942138671875,116808700
2023-11-10,147.0,154.0,142.0,144.0,142.98353576660156,34510000
2023-11-13,146.0,152.0,143.0,151.0,149.9341278076172,30699600
2023-11-14,152.0,158.0,151.0,158.0,156.88470458984375,38118900
2023-11-15,160.0,162.0,155.0,158.0,156.88470458984375,22999500
2023-11-16,158.0,160.0,140.0,147.0,145.9623565673828,31930200
2023-11-17,147.0,156.0,142.0,156.0,154.89883422851562,26344800
2023-11-20,158.0,158.0,147.0,148.0,146.95529174804688,16091800
2023-11-21,148.0,153.0,147.0,150.0,148.94117736816406,12949100
2023-11-22,151.0,151.0,147.0,149.0,147.9482421875,4571000
2023-11-23,150.0,150.0,145.0,146.0,144.96942138671875,6267400
2023-11-24,146.0,146.0,137.0,139.0,138.01882934570312,11581100
2023-11-27,139.0,156.0,136.0,154.0,152.91294860839844,80312800
2023-11-28,156.0,156.0,146.0,147.0,145.9623565673828,20932700
2023-11-29,147.0,152.0,146.0,146.0,144.96942138671875,14718800
2023-11-30,145.0,146.0,136.0,136.0,135.04000854492188,16702300
2023-12-01,126.0,150.0,126.0,146.0,144.96942138671875,68754700
2023-12-04,146.0,169.0,146.0,169.0,167.80706787109375,105371000
2023-12-05,170.0,199.0,167.0,192.0,190.64471435546875,253830800
2023-12-06,193.0,196.0,177.0,180.0,178.7294158935547,59844300
2023-12-07,179.0,193.0,178.0,187.0,185.6800079345703,81720400
2023-12-08,188.0,194.0,179.0,180.0,178.7294158935547,58648800
2023-12-11,172.0,192.0,172.0,185.0,183.69412231445312,54610800
2023-12-12,185.0,190.0,180.0,183.0,181.70823669433594,21530200
2023-12-13,184.0,188.0,183.0,183.0,181.70823669433594,11531500
2023-12-14,184.0,194.0,183.0,194.0,192.63059997558594,40510700
2023-12-15,195.0,195.0,170.0,170.0,168.8000030517578,46538000
2023-12-18,155.0,184.0,155.0,184.0,184.0,42584900
