Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2019-10-09,450.0,450.0,450.0,450.0,450.0,2537800,1.0,,450.0,450.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0
2019-10-10,560.0,560.0,480.0,488.0,488.0,156097200,1.0,,560.0,560.0,480.0,8.444444444444454,8.106782308878183,,,,,24.444444444444446,21.86892009648295,,,,,24.444444444444446,21.86892009648295,,,,,6.666666666666665,6.453852113757116,,,,,,475.3333333333333,,472.79999999999995,,470.9,,470.26666666666665,,475.3333333333333,,472.79999999999995,,470.9,,470.26666666666665,,475.3333333333333,,472.79999999999995,,470.9,,470.26666666666665,,475.3333333333333,,472.79999999999995,,470.9,,470.26666666666665
2019-10-11,505.0,505.0,476.0,490.0,490.0,50710100,1.0,,505.0,505.0,476.0,0.4098360655737654,0.4089985251525066,,,,,-9.82142857142857,-10.337835445383508,,,,,-9.82142857142857,-10.337835445383508,,,,,-0.8333333333333304,-0.8368249670516579,,,,,476.0,483.7142857142857,,480.94736842105254,,478.5780730897009,,477.7396449704142,476.0,483.7142857142857,,480.94736842105254,,478.5780730897009,,477.7396449704142,476.0,483.7142857142857,,480.94736842105254,,478.5780730897009,,477.7396449704142,476.0,483.7142857142857,,480.94736842105254,,478.5780730897009,,477.7396449704142
2019-10-14,490.0,510.0,490.0,500.0,500.0,28149100,1.0,,490.0,510.0,490.0,2.0408163265306145,2.020270731751947,,,,,-2.970297029702973,-3.015303817068756,,,,,0.990099009900991,0.985229644301164,,,,,2.941176470588225,2.8987536873252187,,,,,492.6666666666667,492.4,,488.8615384615385,,485.6356435643564,,484.4637168141593,492.6666666666667,492.4,,488.8615384615385,,485.6356435643564,,484.4637168141593,492.6666666666667,492.4,,488.8615384615385,,485.6356435643564,,484.4637168141593,492.6666666666667,492.4,,488.8615384615385,,485.6356435643564,,484.4637168141593
2019-10-15,500.0,535.0,500.0,535.0,535.0,37674300,1.0,,500.0,535.0,500.0,7.000000000000006,6.765864847381486,,,,,2.0408163265306145,2.020270731751947,,,,,4.90196078431373,4.785602117763514,,,,,2.0408163265306145,2.020270731751947,,,,,508.3333333333333,514.3870967741935,492.6,506.5734597156398,,499.80680770965273,,497.43261700394714,508.3333333333333,514.3870967741935,492.6,506.5734597156398,,499.80680770965273,,497.43261700394714,508.3333333333333,514.3870967741935,492.6,506.5734597156398,,499.80680770965273,,497.43261700394714,508.3333333333333,514.3870967741935,492.6,506.5734597156398,,499.80680770965273,,497.43261700394714
2019-10-16,540.0,660.0,540.0,625.0,625.0,176071600,1.0,,540.0,660.0,540.0,16.82242990654206,15.548490284039495,38.888888888888886,32.8504066972036,,,8.000000000000007,7.696104113612839,20.0,18.232155679395454,,,23.3644859813084,20.997308812446462,46.66666666666666,38.29922522561057,,,8.000000000000007,7.696104113612839,20.0,18.232155679395454,,,553.3333333333334,570.5714285714286,527.6,549.8481203007519,,532.3238041479857,,526.3618395100176,553.3333333333334,570.5714285714286,527.6,549.8481203007519,,532.3238041479857,,526.3618395100176,553.3333333333334,570.5714285714286,527.6,549.8481203007519,,532.3238041479857,,526.3618395100176,553.3333333333334,570.5714285714286,527.6,549.8481203007519,,532.3238041479857,,526.3618395100176
2019-10-17,635.0,645.0,615.0,635.0,635.0,54565800,1.0,,635.0,645.0,615.0,1.6000000000000014,1.5873349156290164,30.12295081967213,26.330959303954447,,,17.59259259259258,16.20558593343715,13.39285714285714,12.56882151634967,,,-2.2727272727272707,-2.298951822469872,15.17857142857142,14.131353306657749,,,13.888888888888884,13.005312824819775,28.125,24.78361639045813,,,598.3333333333334,603.0393700787401,557.0,579.9966002914036,,557.0646427463388,,548.7225812631664,598.3333333333334,603.0393700787401,557.0,579.9966002914036,,557.0646427463388,,548.7225812631664,598.3333333333334,603.0393700787401,557.0,579.9966002914036,,557.0646427463388,,548.7225812631664,598.3333333333334,603.0393700787401,557.0,579.9966002914036,,557.0646427463388,,548.7225812631664
2019-10-18,640.0,660.0,630.0,650.0,650.0,55283700,1.0,,640.0,660.0,630.0,2.3622047244094446,2.3347363996991106,32.65306122448979,28.25669717850105,,,0.7874015748031482,0.7843177461025879,26.73267326732673,23.69097470783577,,,2.3255813953488413,2.298951822469878,30.6930693069307,26.768140574511147,,,2.4390243902439046,2.4097551579060523,32.35294117647059,28.030196515415835,,,636.6666666666666,626.6117647058824,589.0,604.2785091197462,,578.2078844023682,,568.0093717862976,636.6666666666666,626.6117647058824,589.0,604.2785091197462,,578.2078844023682,,568.0093717862976,636.6666666666666,626.6117647058824,589.0,604.2785091197462,,578.2078844023682,,568.0093717862976,636.6666666666666,626.6117647058824,589.0,604.2785091197462,,578.2078844023682,,568.0093717862976
2019-10-21,660.0,685.0,640.0,680.0,680.0,70862400,1.0,,660.0,685.0,640.0,4.615384615384621,4.512043528046964,36.00000000000001,30.748469974796077,,,3.125,3.0771658666753687,34.6938775510204,29.783444391579888,,,3.787878787878785,3.7179003241754023,34.31372549019607,29.50081125438537,,,1.5873015873015817,1.5748356968139112,30.61224489795917,26.70627852490452,,,655.0,653.3581213307241,625.0,630.1931041677534,,600.3542866159328,,588.026508680564,655.0,653.3581213307241,625.0,630.1931041677534,,600.3542866159328,,588.026508680564,655.0,653.3581213307241,625.0,630.1931041677534,,600.3542866159328,,588.026508680564,655.0,653.3581213307241,625.0,630.1931041677534,,600.3542866159328,,588.026508680564
2019-10-22,680.0,695.0,665.0,680.0,680.0,39519700,1.0,,680.0,695.0,665.0,0.0,0.0,27.10280373831775,23.982605127414576,,,3.030303030303028,2.985296314968113,36.00000000000001,30.748469974796077,,,1.4598540145985384,1.4493007302566825,29.90654205607477,26.16450986687856,,,3.90625,3.83188643021366,33.00000000000001,28.51789422336625,,,670.0,666.692082111437,654.0,647.0883929340802,573.3,617.0843597273453,,603.6274116267329,670.0,666.692082111437,654.0,647.0883929340802,573.3,617.0843597273453,,603.6274116267329,670.0,666.692082111437,654.0,647.0883929340802,573.3,617.0843597273453,,603.6274116267329,670.0,666.692082111437,654.0,647.0883929340802,573.3,617.0843597273453,,603.6274116267329
