Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,292.0,292.0,292.0,292.0,292.0,4227100
2023-05-09,364.0,364.0,364.0,364.0,364.0,3286200
2023-05-10,434.0,454.0,434.0,454.0,454.0,55975700
2023-05-11,560.0,565.0,450.0,565.0,565.0,522540400
2023-05-12,605.0,705.0,600.0,705.0,705.0,123335700
2023-05-15,760.0,785.0,660.0,660.0,660.0,41758200
2023-05-16,615.0,615.0,615.0,615.0,615.0,2971000
2023-05-17,575.0,710.0,575.0,595.0,595.0,252293600
2023-05-19,600.0,650.0,570.0,605.0,605.0,92660500
2023-05-22,605.0,625.0,565.0,565.0,565.0,55337900
2023-05-23,565.0,600.0,535.0,565.0,565.0,47478500
2023-05-24,570.0,590.0,550.0,570.0,570.0,23333600
2023-05-25,570.0,575.0,545.0,545.0,545.0,16851100
2023-05-26,555.0,580.0,545.0,560.0,560.0,16553400
2023-05-29,560.0,570.0,545.0,545.0,545.0,11681900
2023-05-30,560.0,640.0,550.0,600.0,600.0,115850100
2023-05-31,605.0,630.0,580.0,595.0,595.0,48602700
2023-06-05,605.0,610.0,570.0,580.0,580.0,24278700
2023-06-06,580.0,620.0,570.0,610.0,610.0,49105900
2023-06-07,615.0,760.0,615.0,760.0,760.0,155704200
2023-06-08,800.0,845.0,730.0,810.0,810.0,143532400
2023-06-09,825.0,930.0,790.0,860.0,860.0,135258400
2023-06-12,865.0,905.0,825.0,875.0,875.0,70743500
2023-06-13,870.0,940.0,870.0,905.0,905.0,60010000
2023-06-14,920.0,920.0,770.0,770.0,770.0,94960300
2023-06-15,700.0,810.0,700.0,770.0,770.0,53263100
2023-06-16,775.0,810.0,740.0,760.0,760.0,41131500
2023-06-19,750.0,770.0,725.0,725.0,725.0,17095400
2023-06-20,720.0,750.0,710.0,725.0,725.0,15066100
2023-06-21,760.0,760.0,720.0,730.0,730.0,8687200
2023-06-22,740.0,785.0,730.0,740.0,740.0,29431000
2023-06-23,760.0,760.0,645.0,650.0,650.0,62951700
2023-06-26,555.0,705.0,555.0,650.0,650.0,33067400
2023-06-27,650.0,685.0,640.0,650.0,650.0,21642700
2023-07-03,655.0,670.0,630.0,635.0,635.0,9062500
2023-07-04,600.0,650.0,600.0,635.0,635.0,12206800
2023-07-05,635.0,655.0,630.0,650.0,650.0,11677700
2023-07-06,650.0,665.0,630.0,635.0,635.0,13540400
2023-07-07,650.0,650.0,620.0,640.0,640.0,11659900
2023-07-10,640.0,650.0,610.0,625.0,625.0,10445500
2023-07-11,585.0,635.0,560.0,610.0,610.0,52382700
2023-07-12,610.0,640.0,610.0,615.0,615.0,9921900
2023-07-13,615.0,620.0,600.0,605.0,605.0,5621500
2023-07-14,605.0,620.0,605.0,610.0,610.0,4173300
2023-07-17,610.0,700.0,610.0,690.0,690.0,49385100
2023-07-18,695.0,715.0,645.0,645.0,645.0,29210400
2023-07-20,650.0,660.0,625.0,635.0,635.0,12205500
2023-07-21,635.0,660.0,630.0,655.0,655.0,7458900
2023-07-24,655.0,660.0,630.0,640.0,640.0,9860900
2023-07-25,640.0,640.0,620.0,625.0,625.0,8519800
2023-07-26,625.0,645.0,615.0,625.0,625.0,13338800
2023-07-27,645.0,660.0,625.0,640.0,640.0,11114600
2023-07-28,640.0,675.0,630.0,665.0,665.0,30977100
2023-07-31,675.0,695.0,655.0,680.0,680.0,25034200
2023-08-01,680.0,695.0,665.0,680.0,680.0,22487900
2023-08-02,680.0,785.0,670.0,760.0,760.0,98320100
2023-08-03,750.0,775.0,725.0,725.0,725.0,29881200
2023-08-04,730.0,865.0,725.0,815.0,815.0,112596200
2023-08-07,820.0,875.0,815.0,845.0,845.0,37490300
2023-08-08,860.0,905.0,830.0,850.0,850.0,50488100
2023-08-09,860.0,860.0,770.0,775.0,775.0,49640200
2023-08-10,775.0,790.0,755.0,775.0,775.0,12812000
2023-08-11,780.0,830.0,775.0,820.0,820.0,30647200
2023-08-14,825.0,835.0,805.0,815.0,815.0,18457800
2023-08-15,820.0,820.0,785.0,805.0,805.0,14509900
2023-08-16,810.0,855.0,805.0,845.0,845.0,30326100
2023-08-18,855.0,855.0,735.0,760.0,760.0,57549400
2023-08-21,760.0,780.0,735.0,750.0,750.0,12245900
2023-08-22,750.0,805.0,745.0,775.0,775.0,23178600
2023-08-23,780.0,795.0,765.0,775.0,775.0,12559700
2023-08-24,790.0,790.0,750.0,750.0,750.0,7577600
2023-08-25,750.0,760.0,720.0,725.0,725.0,10323200
2023-08-28,725.0,735.0,705.0,715.0,715.0,9576600
2023-08-29,715.0,735.0,705.0,730.0,730.0,8164200
2023-08-30,730.0,740.0,710.0,720.0,720.0,3933200
2023-08-31,720.0,730.0,710.0,710.0,710.0,4407600
2023-09-01,715.0,735.0,710.0,715.0,715.0,6151800
2023-09-04,715.0,720.0,665.0,665.0,665.0,16008900
2023-09-05,650.0,690.0,645.0,670.0,670.0,9125200
2023-09-06,670.0,675.0,650.0,655.0,655.0,6877700
2023-09-07,655.0,700.0,650.0,670.0,670.0,10494900
2023-09-08,670.0,705.0,660.0,680.0,680.0,14362800
2023-09-11,685.0,695.0,665.0,680.0,680.0,5675000
2023-09-12,685.0,725.0,685.0,715.0,715.0,14878600
2023-09-13,720.0,730.0,700.0,700.0,700.0,8323700
2023-09-14,700.0,720.0,695.0,705.0,705.0,4678100
2023-09-15,710.0,720.0,690.0,715.0,715.0,5626800
2023-09-18,720.0,740.0,705.0,705.0,705.0,7966600
2023-09-19,710.0,720.0,685.0,705.0,705.0,6146200
2023-09-20,720.0,720.0,690.0,710.0,710.0,7161900
2023-09-21,710.0,735.0,690.0,690.0,690.0,8018500
2023-09-22,690.0,695.0,675.0,685.0,685.0,4373300
2023-09-25,690.0,710.0,680.0,685.0,685.0,3719100
2023-09-26,690.0,695.0,660.0,660.0,660.0,3410500
2023-09-27,660.0,685.0,610.0,630.0,630.0,14516600
2023-09-29,630.0,650.0,625.0,630.0,630.0,2307400
2023-10-02,635.0,640.0,620.0,620.0,620.0,3281400
2023-10-03,615.0,655.0,605.0,645.0,645.0,9180900
2023-10-04,645.0,655.0,620.0,620.0,620.0,2037100
2023-10-05,620.0,635.0,620.0,625.0,625.0,2312300
2023-10-06,625.0,640.0,605.0,605.0,605.0,4960900
2023-10-09,615.0,615.0,565.0,575.0,575.0,10105600
2023-10-10,575.0,590.0,565.0,585.0,585.0,1791200
2023-10-11,585.0,600.0,585.0,590.0,590.0,3633500
2023-10-12,590.0,650.0,580.0,615.0,615.0,13097200
2023-10-13,615.0,640.0,595.0,595.0,595.0,3584200
2023-10-16,600.0,600.0,565.0,575.0,575.0,4596400
2023-10-17,575.0,600.0,570.0,575.0,575.0,1666300
2023-10-18,580.0,585.0,565.0,575.0,575.0,1641500
2023-10-19,575.0,580.0,560.0,560.0,560.0,1946500
2023-10-20,565.0,570.0,540.0,565.0,565.0,2130100
2023-10-23,570.0,570.0,545.0,550.0,550.0,1165800
2023-10-24,550.0,575.0,545.0,565.0,565.0,1361600
2023-10-25,565.0,575.0,550.0,550.0,550.0,1240300
2023-10-26,550.0,565.0,545.0,550.0,550.0,695600
2023-10-27,555.0,555.0,510.0,520.0,520.0,3239100
2023-10-30,530.0,530.0,464.0,474.0,474.0,8046100
2023-10-31,444.0,494.0,444.0,488.0,488.0,2354500
2023-11-01,488.0,496.0,462.0,466.0,466.0,2387100
2023-11-02,468.0,478.0,464.0,466.0,466.0,773900
2023-11-03,466.0,480.0,464.0,470.0,470.0,819000
2023-11-06,470.0,500.0,468.0,488.0,488.0,4269700
2023-11-07,488.0,494.0,480.0,480.0,480.0,2209000
2023-11-08,480.0,486.0,474.0,482.0,482.0,2608900
2023-11-09,488.0,600.0,482.0,600.0,600.0,23044900
2023-11-10,640.0,660.0,565.0,565.0,565.0,33036600
2023-11-13,560.0,615.0,560.0,600.0,600.0,13460200
2023-11-14,605.0,610.0,580.0,595.0,595.0,13788300
2023-11-15,595.0,600.0,570.0,570.0,570.0,5851500
2023-11-16,570.0,610.0,570.0,605.0,605.0,13504900
2023-11-17,605.0,630.0,570.0,585.0,585.0,10248400
2023-11-20,605.0,715.0,590.0,675.0,675.0,69558100
