Date,Open,High,Low,Close,Adj Close,Volume
2004-10-22,850.0,875.0,825.0,875.0,433.9354553222656,2344000
2004-10-25,850.0,875.0,850.0,875.0,433.9354553222656,1730500
2004-10-26,850.0,850.0,850.0,850.0,421.5372619628906,2565000
2004-10-27,850.0,850.0,825.0,850.0,421.5372619628906,205500
2004-10-28,850.0,850.0,825.0,850.0,421.5372619628906,4061500
2004-10-29,850.0,850.0,825.0,850.0,421.5372619628906,3516500
2004-11-01,850.0,850.0,825.0,850.0,421.5372619628906,2029500
2004-11-02,825.0,875.0,825.0,850.0,421.5372619628906,8229000
2004-11-03,850.0,850.0,825.0,825.0,409.13916015625,9644500
2004-11-04,825.0,850.0,800.0,800.0,396.74102783203125,7654000
2004-11-05,800.0,850.0,800.0,825.0,409.13916015625,10513000
2004-11-08,825.0,825.0,800.0,825.0,409.13916015625,4013000
2004-11-09,825.0,825.0,800.0,800.0,396.74102783203125,13469000
2004-11-10,800.0,825.0,800.0,825.0,409.13916015625,9016500
2004-11-11,825.0,825.0,800.0,825.0,409.13916015625,1523500
2004-11-12,825.0,850.0,800.0,800.0,396.74102783203125,14284000
2004-11-15,800.0,800.0,800.0,800.0,396.74102783203125,0
2004-11-16,800.0,800.0,800.0,800.0,396.74102783203125,0
2004-11-17,800.0,800.0,800.0,800.0,396.74102783203125,0
2004-11-18,800.0,800.0,800.0,800.0,396.74102783203125,0
2004-11-19,800.0,800.0,800.0,800.0,396.74102783203125,0
2004-11-22,800.0,825.0,775.0,800.0,396.74102783203125,14792500
2004-11-23,800.0,825.0,775.0,800.0,396.74102783203125,12116500
2004-11-24,800.0,825.0,800.0,800.0,396.74102783203125,13671500
2004-11-25,800.0,825.0,800.0,825.0,409.13916015625,13019500
2004-11-26,825.0,850.0,825.0,850.0,421.5372619628906,20155000
2004-11-29,850.0,850.0,825.0,825.0,409.13916015625,9432000
2004-11-30,825.0,850.0,825.0,850.0,421.5372619628906,16176000
2004-12-01,825.0,825.0,800.0,825.0,409.13916015625,5074000
2004-12-02,825.0,850.0,825.0,850.0,421.5372619628906,17137000
2004-12-03,825.0,850.0,825.0,850.0,421.5372619628906,3817000
2004-12-06,825.0,850.0,825.0,850.0,421.5372619628906,1657000
2004-12-07,825.0,850.0,825.0,825.0,409.13916015625,2245500
2004-12-08,825.0,850.0,800.0,825.0,409.13916015625,6345000
2004-12-09,800.0,825.0,775.0,800.0,396.74102783203125,8971500
2004-12-10,800.0,800.0,775.0,800.0,396.74102783203125,1499000
2004-12-13,775.0,800.0,775.0,800.0,396.74102783203125,1872000
2004-12-14,800.0,825.0,775.0,800.0,396.74102783203125,6337000
2004-12-15,800.0,800.0,775.0,800.0,396.74102783203125,4141000
2004-12-16,800.0,800.0,800.0,800.0,396.74102783203125,4988000
2004-12-17,800.0,800.0,775.0,800.0,396.74102783203125,9046500
2004-12-20,775.0,800.0,775.0,800.0,396.74102783203125,5480500
2004-12-21,800.0,800.0,800.0,800.0,396.74102783203125,2306000
2004-12-22,775.0,800.0,775.0,800.0,396.74102783203125,402500
