Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,145.0,155.0,125.0,131.0,131.0,895387300
2023-08-29,130.0,142.0,126.0,140.0,140.0,245351700
2023-08-30,141.0,143.0,134.0,134.0,134.0,85391700
2023-08-31,134.0,144.0,132.0,136.0,136.0,109744900
2023-09-01,137.0,138.0,133.0,133.0,133.0,23407600
2023-09-04,133.0,134.0,129.0,131.0,131.0,20446300
2023-09-05,131.0,134.0,128.0,129.0,129.0,16561000
2023-09-06,128.0,131.0,128.0,129.0,129.0,10863300
2023-09-07,129.0,131.0,127.0,128.0,128.0,8650600
2023-09-08,112.0,129.0,112.0,127.0,127.0,7821900
2023-09-11,127.0,129.0,121.0,123.0,123.0,14618300
2023-09-12,122.0,125.0,121.0,121.0,121.0,3899500
2023-09-13,121.0,123.0,119.0,119.0,119.0,5977900
2023-09-14,102.0,137.0,102.0,120.0,120.0,50473900
2023-09-15,122.0,123.0,118.0,121.0,121.0,4909200
2023-09-18,121.0,123.0,118.0,119.0,119.0,5002900
2023-09-19,119.0,122.0,118.0,119.0,119.0,1973800
2023-09-20,119.0,120.0,118.0,120.0,120.0,1970300
2023-09-21,120.0,121.0,119.0,120.0,120.0,1565100
2023-09-22,120.0,120.0,118.0,120.0,120.0,1940100
2023-09-25,120.0,132.0,119.0,124.0,124.0,24885700
2023-09-26,124.0,128.0,120.0,124.0,124.0,6016400
2023-09-27,122.0,125.0,120.0,121.0,121.0,2668700
2023-09-29,121.0,124.0,120.0,120.0,120.0,1522000
2023-10-02,120.0,124.0,119.0,120.0,120.0,2691000
2023-10-03,121.0,123.0,119.0,122.0,122.0,1398600
2023-10-04,120.0,122.0,118.0,119.0,119.0,942700
2023-10-05,119.0,123.0,117.0,119.0,119.0,5686100
2023-10-06,120.0,120.0,117.0,120.0,120.0,1467300
2023-10-09,120.0,122.0,117.0,119.0,119.0,3657700
2023-10-10,119.0,122.0,118.0,121.0,121.0,1352200
2023-10-11,120.0,121.0,119.0,120.0,120.0,2259800
2023-10-12,121.0,130.0,120.0,123.0,123.0,12959100
2023-10-13,123.0,132.0,122.0,126.0,126.0,9156700
2023-10-16,126.0,128.0,124.0,126.0,126.0,2003800
2023-10-17,126.0,127.0,120.0,122.0,122.0,3849700
2023-10-18,121.0,124.0,120.0,122.0,122.0,2016400
2023-10-19,122.0,160.0,119.0,121.0,121.0,214847100
2023-10-20,121.0,124.0,117.0,120.0,120.0,14559200
2023-10-23,121.0,122.0,118.0,119.0,119.0,4761800
2023-10-24,119.0,124.0,118.0,120.0,120.0,4137900
2023-10-25,120.0,121.0,118.0,119.0,119.0,2375900
2023-10-26,119.0,124.0,119.0,123.0,123.0,5639900
2023-10-27,124.0,124.0,120.0,122.0,122.0,1293800
2023-10-30,122.0,122.0,119.0,120.0,120.0,2080500
2023-10-31,119.0,122.0,119.0,121.0,121.0,1595100
2023-11-01,115.0,121.0,115.0,117.0,117.0,1836300
2023-11-02,118.0,121.0,117.0,119.0,119.0,1333400
2023-11-03,119.0,121.0,118.0,118.0,118.0,925500
2023-11-06,121.0,121.0,117.0,120.0,120.0,13040200
2023-11-07,120.0,120.0,117.0,120.0,120.0,1943900
2023-11-08,120.0,120.0,117.0,119.0,119.0,4373400
2023-11-09,119.0,123.0,118.0,119.0,119.0,1442300
2023-11-10,119.0,128.0,118.0,124.0,124.0,11435100
2023-11-13,116.0,126.0,116.0,122.0,122.0,1666800
2023-11-14,122.0,123.0,121.0,123.0,123.0,579400
2023-11-15,123.0,127.0,121.0,122.0,122.0,3300300
2023-11-16,122.0,124.0,120.0,123.0,123.0,838700
2023-11-17,124.0,124.0,121.0,123.0,123.0,636800
2023-11-20,122.0,133.0,120.0,127.0,127.0,14235800
2023-11-21,125.0,127.0,122.0,124.0,124.0,3018100
2023-11-22,124.0,133.0,120.0,124.0,124.0,8977500
2023-11-23,124.0,125.0,121.0,124.0,124.0,1042500
2023-11-24,116.0,125.0,116.0,125.0,125.0,284900
2023-11-27,125.0,126.0,123.0,123.0,123.0,1124200
2023-11-28,124.0,126.0,123.0,123.0,123.0,422200
2023-11-29,122.0,124.0,121.0,122.0,122.0,1251100
2023-11-30,122.0,126.0,121.0,122.0,122.0,651000
2023-12-01,122.0,124.0,122.0,122.0,122.0,1806300
2023-12-04,122.0,125.0,122.0,123.0,123.0,2066900
2023-12-05,123.0,133.0,122.0,127.0,127.0,8945000
2023-12-06,128.0,128.0,123.0,128.0,128.0,2373100
2023-12-07,128.0,128.0,124.0,124.0,124.0,932600
2023-12-08,124.0,126.0,123.0,123.0,123.0,593000
2023-12-11,123.0,126.0,122.0,122.0,122.0,714500
2023-12-12,124.0,124.0,122.0,122.0,122.0,688700
2023-12-13,124.0,129.0,122.0,123.0,123.0,1574500
2023-12-14,123.0,128.0,123.0,125.0,125.0,589200
2023-12-15,125.0,125.0,123.0,123.0,123.0,619300
2023-12-18,124.0,125.0,122.0,123.0,123.0,711200
2023-12-19,123.0,125.0,122.0,123.0,123.0,323500
2023-12-20,123.0,147.0,123.0,124.0,124.0,27199100
2023-12-21,124.0,125.0,122.0,124.0,124.0,2462800
2023-12-22,124.0,132.0,121.0,125.0,125.0,3982400
2023-12-27,125.0,131.0,124.0,126.0,126.0,37300900
2023-12-28,126.0,128.0,124.0,126.0,126.0,1062600
2023-12-29,126.0,127.0,121.0,122.0,122.0,1805500
2024-01-02,123.0,124.0,122.0,123.0,123.0,652000
2024-01-03,122.0,124.0,122.0,122.0,122.0,291300
2024-01-04,122.0,124.0,122.0,123.0,123.0,366200
2024-01-05,122.0,124.0,121.0,121.0,121.0,656000
2024-01-08,121.0,123.0,121.0,123.0,123.0,634100
2024-01-09,123.0,123.0,121.0,121.0,121.0,616200
2024-01-10,121.0,124.0,121.0,121.0,121.0,557900
2024-01-11,123.0,123.0,121.0,122.0,122.0,573400
2024-01-12,121.0,123.0,121.0,122.0,122.0,336300
2024-01-15,122.0,122.0,122.0,122.0,122.0,0
2024-01-16,122.0,127.0,121.0,125.0,125.0,942300
2024-01-17,126.0,127.0,124.0,125.0,125.0,572200
2024-01-18,126.0,136.0,125.0,128.0,128.0,10391800
2024-01-19,128.0,133.0,128.0,130.0,130.0,681600
2024-01-22,131.0,143.0,129.0,131.0,131.0,15151000
2024-01-23,136.0,143.0,131.0,136.0,136.0,10716000
2024-01-24,138.0,142.0,132.0,132.0,132.0,1730800
2024-01-25,132.0,146.0,132.0,135.0,135.0,26566400
2024-01-26,136.0,141.0,122.0,128.0,128.0,14332800
2024-01-29,128.0,135.0,127.0,133.0,133.0,14408500
2024-01-30,133.0,140.0,127.0,130.0,130.0,40857100
2024-01-31,130.0,147.0,130.0,147.0,147.0,44899700
2024-02-01,149.0,198.0,141.0,198.0,198.0,168675600
2024-02-02,199.0,212.0,170.0,172.0,172.0,184847200
2024-02-05,165.0,179.0,158.0,162.0,162.0,30635400
2024-02-06,163.0,187.0,163.0,175.0,175.0,159869100
2024-02-07,177.0,178.0,154.0,155.0,155.0,36077200
2024-02-12,149.0,160.0,149.0,153.0,153.0,33146500
2024-02-13,150.0,157.0,147.0,147.0,147.0,19644000
2024-02-15,146.0,155.0,143.0,155.0,155.0,33545600
2024-02-16,152.0,171.0,152.0,168.0,168.0,51924800
2024-02-19,168.0,170.0,157.0,157.0,157.0,11406100
2024-02-20,157.0,171.0,157.0,162.0,162.0,51904800
2024-02-21,161.0,167.0,158.0,160.0,160.0,36592300
2024-02-22,164.0,167.0,159.0,160.0,160.0,32436700
2024-02-23,160.0,161.0,149.0,153.0,153.0,26859700
2024-02-26,153.0,158.0,151.0,152.0,152.0,13117500
2024-02-27,152.0,156.0,145.0,149.0,149.0,47766900
2024-02-28,149.0,153.0,145.0,146.0,146.0,37037200
2024-02-29,146.0,157.0,146.0,156.0,156.0,44115500
2024-03-01,156.0,157.0,150.0,150.0,150.0,5928300
2024-03-04,151.0,165.0,150.0,165.0,165.0,55731600
2024-03-05,167.0,178.0,161.0,177.0,177.0,41152700
2024-03-06,177.0,179.0,171.0,174.0,174.0,19980000
2024-03-07,174.0,178.0,167.0,172.0,172.0,28394100
2024-03-08,172.0,180.0,168.0,180.0,180.0,21572000
2024-03-13,180.0,182.0,173.0,175.0,175.0,12333700
2024-03-14,175.0,185.0,173.0,177.0,177.0,27941900
2024-03-15,177.0,179.0,173.0,176.0,176.0,5940500
