Date,Open,High,Low,Close,Adj Close,Volume
2023-03-08,127.0,135.0,120.0,135.0,135.0,887288300
2023-03-09,151.0,180.0,151.0,173.0,173.0,657651100
2023-03-10,173.0,177.0,161.0,161.0,161.0,429564900
2023-03-13,151.0,151.0,150.0,150.0,150.0,11316100
2023-03-14,140.0,140.0,140.0,140.0,140.0,1389800
2023-03-15,131.0,138.0,131.0,131.0,131.0,105337900
2023-03-16,122.0,122.0,122.0,122.0,122.0,67238600
2023-03-17,114.0,114.0,114.0,114.0,114.0,80663500
2023-03-20,107.0,128.0,107.0,116.0,116.0,831792300
2023-03-21,119.0,122.0,108.0,113.0,113.0,482872600
2023-03-24,113.0,152.0,110.0,152.0,152.0,799636400
2023-03-27,165.0,204.0,147.0,204.0,204.0,724474500
2023-03-28,218.0,254.0,208.0,254.0,254.0,402417100
2023-03-29,272.0,316.0,268.0,316.0,316.0,548704900
2023-03-30,332.0,382.0,294.0,294.0,294.0,316106300
2023-03-31,274.0,274.0,274.0,274.0,274.0,94408800
2023-04-03,300.0,342.0,290.0,342.0,342.0,382979600
2023-04-04,360.0,426.0,348.0,426.0,426.0,480123000
2023-04-05,438.0,458.0,398.0,398.0,398.0,123028800
2023-04-06,372.0,372.0,372.0,372.0,372.0,55874800
2023-04-10,392.0,408.0,346.0,346.0,346.0,359934700
2023-04-11,346.0,362.0,322.0,322.0,322.0,479887300
2023-04-12,300.0,332.0,300.0,326.0,326.0,392776600
2023-04-13,328.0,362.0,304.0,304.0,304.0,343008600
2023-04-14,284.0,286.0,284.0,284.0,284.0,120659800
2023-04-17,266.0,266.0,266.0,266.0,266.0,56996500
2023-04-18,248.0,248.0,248.0,248.0,248.0,39136200
2023-04-26,232.0,232.0,232.0,232.0,232.0,22357700
2023-04-27,216.0,252.0,216.0,234.0,234.0,129569600
2023-04-28,238.0,260.0,218.0,218.0,218.0,392137800
2023-05-02,204.0,210.0,204.0,204.0,204.0,306710300
2023-05-03,199.0,254.0,197.0,254.0,254.0,500263500
2023-05-04,260.0,290.0,238.0,238.0,238.0,425092500
2023-05-05,222.0,242.0,222.0,222.0,222.0,435118200
2023-05-08,208.0,224.0,208.0,224.0,224.0,408602000
2023-05-09,220.0,232.0,210.0,216.0,216.0,508275800
2023-05-10,216.0,228.0,202.0,202.0,202.0,250036000
2023-05-11,188.0,190.0,188.0,188.0,188.0,160414200
2023-05-12,175.0,190.0,175.0,175.0,175.0,314160600
2023-05-15,173.0,173.0,163.0,163.0,163.0,14151800
2023-05-16,152.0,152.0,152.0,152.0,152.0,13499700
2023-05-17,142.0,150.0,142.0,142.0,142.0,361199800
2023-05-19,140.0,173.0,137.0,161.0,161.0,719918800
2023-05-22,162.0,168.0,150.0,150.0,150.0,214681700
2023-05-23,140.0,141.0,140.0,140.0,140.0,83279800
2023-05-24,131.0,131.0,131.0,131.0,131.0,27621200
2023-05-25,129.0,165.0,128.0,160.0,160.0,616827600
2023-05-26,161.0,188.0,149.0,149.0,149.0,1488838800
2023-05-29,139.0,143.0,139.0,139.0,139.0,191001600
2023-05-30,130.0,139.0,130.0,130.0,130.0,561503600
2023-05-31,129.0,129.0,121.0,121.0,121.0,192372000
2023-06-05,111.0,114.0,103.0,103.0,103.0,224187600
2023-06-06,95.0,111.0,92.0,109.0,109.0,543645100
2023-06-07,111.0,118.0,93.0,93.0,93.0,878480500
2023-06-08,92.0,92.0,80.0,80.0,80.0,256247900
2023-06-09,73.0,79.0,68.0,79.0,79.0,623401500
2023-06-12,78.0,84.0,68.0,68.0,68.0,837252800
2023-06-13,65.0,65.0,58.0,58.0,58.0,518661700
2023-06-14,50.0,60.0,50.0,60.0,60.0,387762100
2023-06-15,58.0,60.0,51.0,51.0,51.0,519182700
2023-06-16,51.0,54.0,50.0,53.0,53.0,789956600
2023-06-19,53.0,55.0,50.0,50.0,50.0,1487763400
2023-06-20,50.0,50.0,50.0,50.0,50.0,48797500
2023-06-21,50.0,56.0,50.0,55.0,55.0,838465100
2023-06-22,55.0,63.0,50.0,50.0,50.0,263821404
2023-06-23,50.0,51.0,50.0,50.0,50.0,269306300
2023-06-26,50.0,50.0,50.0,50.0,50.0,32501100
2023-06-27,50.0,50.0,50.0,50.0,50.0,22976300
2023-07-03,50.0,50.0,50.0,50.0,50.0,32569300
2023-07-04,50.0,51.0,50.0,50.0,50.0,117545400
2023-07-05,50.0,53.0,50.0,51.0,51.0,422865400
2023-07-06,50.0,55.0,50.0,53.0,53.0,1340066800
2023-07-07,54.0,59.0,50.0,50.0,50.0,2358817700
2023-07-10,50.0,50.0,50.0,50.0,50.0,129390400
2023-07-11,50.0,50.0,50.0,50.0,50.0,4373600
2023-07-12,50.0,52.0,50.0,50.0,50.0,283608500
2023-07-13,50.0,51.0,50.0,50.0,50.0,168570700
2023-07-14,50.0,50.0,50.0,50.0,50.0,1326300
2023-07-17,50.0,50.0,50.0,50.0,50.0,18330200
2023-07-18,50.0,50.0,50.0,50.0,50.0,431500
2023-07-20,50.0,50.0,50.0,50.0,50.0,653700
2023-07-21,50.0,50.0,50.0,50.0,50.0,497800
2023-07-24,50.0,50.0,50.0,50.0,50.0,230400
2023-07-25,50.0,50.0,50.0,50.0,50.0,453800
2023-07-26,50.0,50.0,50.0,50.0,50.0,82200
2023-07-27,50.0,50.0,50.0,50.0,50.0,74800
2023-07-28,50.0,50.0,50.0,50.0,50.0,14169100
2023-07-31,50.0,50.0,50.0,50.0,50.0,266700
2023-08-01,50.0,50.0,50.0,50.0,50.0,192200
2023-08-02,50.0,50.0,50.0,50.0,50.0,159700
2023-08-03,50.0,50.0,50.0,50.0,50.0,112200
2023-08-04,50.0,50.0,50.0,50.0,50.0,58300
2023-08-07,50.0,50.0,50.0,50.0,50.0,40900
2023-08-08,50.0,50.0,50.0,50.0,50.0,209700
2023-08-09,50.0,50.0,50.0,50.0,50.0,52000
2023-08-10,50.0,50.0,50.0,50.0,50.0,246000
2023-08-11,50.0,50.0,50.0,50.0,50.0,79700
2023-08-14,50.0,50.0,50.0,50.0,50.0,44600
2023-08-15,50.0,50.0,50.0,50.0,50.0,2298700
2023-08-16,50.0,50.0,50.0,50.0,50.0,63700
2023-08-18,50.0,50.0,50.0,50.0,50.0,177600
2023-08-21,50.0,50.0,50.0,50.0,50.0,93500
2023-08-22,50.0,50.0,50.0,50.0,50.0,49800
2023-08-23,50.0,50.0,50.0,50.0,50.0,112700
2023-08-24,50.0,50.0,50.0,50.0,50.0,89800
2023-08-25,50.0,50.0,50.0,50.0,50.0,107600
2023-08-28,50.0,50.0,50.0,50.0,50.0,50500
2023-08-29,50.0,50.0,50.0,50.0,50.0,283800
2023-08-30,50.0,50.0,50.0,50.0,50.0,395300
2023-08-31,50.0,50.0,50.0,50.0,50.0,146600
2023-09-01,50.0,50.0,50.0,50.0,50.0,1040600
2023-09-04,50.0,50.0,50.0,50.0,50.0,58300
2023-09-05,50.0,50.0,50.0,50.0,50.0,38300
2023-09-06,50.0,50.0,50.0,50.0,50.0,168700
2023-09-07,50.0,50.0,50.0,50.0,50.0,37400
2023-09-08,50.0,50.0,50.0,50.0,50.0,64400
2023-09-11,50.0,50.0,50.0,50.0,50.0,63400
2023-09-12,50.0,50.0,50.0,50.0,50.0,52200
2023-09-13,50.0,50.0,50.0,50.0,50.0,47500
2023-09-14,50.0,50.0,50.0,50.0,50.0,225100
2023-09-15,50.0,50.0,50.0,50.0,50.0,227500
2023-09-18,50.0,50.0,50.0,50.0,50.0,93200
2023-09-19,50.0,50.0,50.0,50.0,50.0,408000
2023-09-20,50.0,50.0,50.0,50.0,50.0,36000
2023-09-21,50.0,50.0,50.0,50.0,50.0,10600
2023-09-22,50.0,50.0,50.0,50.0,50.0,154900
2023-09-25,50.0,50.0,50.0,50.0,50.0,50800
2023-09-26,50.0,50.0,50.0,50.0,50.0,24000
2023-09-27,50.0,50.0,50.0,50.0,50.0,230300
2023-09-29,50.0,50.0,50.0,50.0,50.0,514100
2023-10-02,50.0,50.0,50.0,50.0,50.0,38000
2023-10-03,50.0,50.0,50.0,50.0,50.0,37700
2023-10-04,50.0,50.0,50.0,50.0,50.0,18200
2023-10-05,50.0,50.0,50.0,50.0,50.0,6300
2023-10-06,50.0,50.0,50.0,50.0,50.0,10800
2023-10-09,50.0,50.0,50.0,50.0,50.0,2700
2023-10-10,50.0,50.0,50.0,50.0,50.0,5370000
2023-10-11,50.0,50.0,50.0,50.0,50.0,6500
2023-10-12,50.0,50.0,50.0,50.0,50.0,46300
2023-10-13,50.0,50.0,50.0,50.0,50.0,62800
2023-10-16,50.0,50.0,50.0,50.0,50.0,37900
2023-10-17,50.0,50.0,50.0,50.0,50.0,11800
2023-10-18,50.0,50.0,50.0,50.0,50.0,47300
2023-10-19,50.0,50.0,50.0,50.0,50.0,263100
2023-10-20,50.0,50.0,50.0,50.0,50.0,14200
2023-10-23,50.0,50.0,50.0,50.0,50.0,59400
2023-10-24,50.0,50.0,50.0,50.0,50.0,178700
2023-10-25,50.0,50.0,50.0,50.0,50.0,59700
2023-10-26,50.0,50.0,50.0,50.0,50.0,18900
2023-10-27,50.0,50.0,50.0,50.0,50.0,43500
2023-10-30,50.0,50.0,50.0,50.0,50.0,36900
2023-10-31,50.0,50.0,50.0,50.0,50.0,43900
2023-11-01,50.0,50.0,50.0,50.0,50.0,116400
2023-11-02,50.0,50.0,50.0,50.0,50.0,25800
2023-11-03,50.0,50.0,50.0,50.0,50.0,10400
2023-11-06,50.0,50.0,50.0,50.0,50.0,15300
2023-11-07,50.0,50.0,50.0,50.0,50.0,3700
2023-11-08,50.0,50.0,50.0,50.0,50.0,15500
2023-11-09,50.0,50.0,50.0,50.0,50.0,23600
2023-11-10,50.0,50.0,50.0,50.0,50.0,3300
2023-11-13,50.0,50.0,50.0,50.0,50.0,53000
2023-11-14,50.0,50.0,50.0,50.0,50.0,9000
2023-11-15,50.0,50.0,50.0,50.0,50.0,45700
2023-11-16,50.0,50.0,50.0,50.0,50.0,5600
2023-11-17,50.0,50.0,50.0,50.0,50.0,7100
2023-11-20,50.0,50.0,50.0,50.0,50.0,7100
2023-11-21,50.0,50.0,50.0,50.0,50.0,59300
2023-11-22,50.0,50.0,50.0,50.0,50.0,316000
2023-11-23,50.0,50.0,50.0,50.0,50.0,251800
2023-11-24,50.0,50.0,50.0,50.0,50.0,8900
2023-11-27,50.0,50.0,50.0,50.0,50.0,11100
2023-11-28,50.0,50.0,50.0,50.0,50.0,2039000
2023-11-29,50.0,50.0,50.0,50.0,50.0,52700
2023-11-30,50.0,50.0,50.0,50.0,50.0,2700
2023-12-01,50.0,50.0,50.0,50.0,50.0,5400
2023-12-04,50.0,50.0,50.0,50.0,50.0,6500
2023-12-05,50.0,50.0,50.0,50.0,50.0,39500
2023-12-06,50.0,50.0,50.0,50.0,50.0,36600
2023-12-07,50.0,50.0,50.0,50.0,50.0,7800
