Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2018-11-05,198.0,198.0,198.0,198.0,198.0,3400,1.0,,198.0,198.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0,,198.0
2018-11-06,266.0,266.0,252.0,266.0,266.0,44253700,1.0,,266.0,266.0,252.0,34.34343434343434,29.522927808716386,,,,,34.34343434343434,29.522927808716386,,,,,34.34343434343434,29.522927808716386,,,,,27.27272727272727,24.116205681688804,,,,,,243.33333333333334,,238.79999999999998,,235.4,,234.26666666666668,,243.33333333333334,,238.79999999999998,,235.4,,234.26666666666668,,243.33333333333334,,238.79999999999998,,235.4,,234.26666666666668,,243.33333333333334,,238.79999999999998,,235.4,,234.26666666666668
2018-11-07,286.0,316.0,200.0,200.0,200.0,129287800,1.0,,286.0,316.0,200.0,-24.812030075187973,-28.51789422336625,,,,,7.518796992481214,7.249550203815361,,,,,18.796992481203013,17.224590480521307,,,,,-20.63492063492064,-23.11117209633867,,,,,221.33333333333334,218.57142857142858,,220.4210526315789,,221.16943521594686,,221.28994082840237,221.33333333333334,218.57142857142858,,220.4210526315789,,221.16943521594686,,221.28994082840237,221.33333333333334,218.57142857142858,,220.4210526315789,,221.16943521594686,,221.28994082840237,221.33333333333334,218.57142857142858,,220.4210526315789,,221.16943521594686,,221.28994082840237
2018-11-08,200.0,200.0,143.0,160.0,160.0,148112100,1.0,,200.0,200.0,143.0,-20.0,-22.31435513142097,,,,,-30.069930069930077,-35.767444427181594,,,,,-36.70886075949367,-45.742484703887534,,,,,-28.500000000000004,-33.547273628812945,,,,,208.66666666666666,187.33333333333334,,195.3230769230769,,201.01683168316833,,202.776401179941,208.66666666666666,187.33333333333334,,195.3230769230769,,201.01683168316833,,202.776401179941,208.66666666666666,187.33333333333334,,195.3230769230769,,201.01683168316833,,202.776401179941,208.66666666666666,187.33333333333334,,195.3230769230769,,201.01683168316833,,202.776401179941
2018-11-09,160.0,161.0,120.0,124.0,124.0,100179300,1.0,,160.0,161.0,120.0,-22.5,-25.489224962879003,,,,,-20.0,-22.31435513142097,,,,,-19.5,-21.691300156357364,,,,,-16.083916083916083,-17.53528874778613,,,,,161.33333333333334,154.6451612903226,189.6,167.94312796208533,,178.9073939726672,,182.5603658918614,161.33333333333334,154.6451612903226,189.6,167.94312796208533,,178.9073939726672,,182.5603658918614,161.33333333333334,154.6451612903226,189.6,167.94312796208533,,178.9073939726672,,182.5603658918614,161.33333333333334,154.6451612903226,189.6,167.94312796208533,,178.9073939726672,,182.5603658918614
2018-11-12,120.0,148.0,114.0,137.0,137.0,89590400,1.0,,120.0,148.0,114.0,10.483870967741924,9.969936022308795,-30.80808080808081,-36.82861048664103,,,-25.0,-28.76820724517809,-39.39393939393939,-50.07752879124892,,,-8.074534161490687,-8.419209122034797,-25.25252525252525,-29.10547569304201,,,-5.000000000000004,-5.129329438755057,-42.42424242424242,-55.20685823000397,,,140.33333333333334,145.68253968253967,177.4,156.63609022556395,,168.0225962003677,,172.22836776359043,140.33333333333334,145.68253968253967,177.4,156.63609022556395,,168.0225962003677,,172.22836776359043,140.33333333333334,145.68253968253967,177.4,156.63609022556395,,168.0225962003677,,172.22836776359043,140.33333333333334,145.68253968253967,177.4,156.63609022556395,,168.0225962003677,,172.22836776359043
2018-11-13,137.0,137.0,123.0,125.0,125.0,40566800,1.0,,137.0,137.0,123.0,-8.75912408759124,-9.16671885258238,-53.00751879699248,-75.51825714793979,,,14.16666666666666,13.248918304607889,-48.49624060150376,-66.35153829535741,,,-7.432432432432434,-7.723134793599017,-48.49624060150376,-66.35153829535741,,,7.8947368421052655,7.598590697792205,-51.19047619047619,-71.72447321390058,,,128.66666666666666,135.25984251968504,149.2,145.43516270034002,,157.65587877533238,,162.50746186623996,128.66666666666666,135.25984251968504,149.2,145.43516270034002,,157.65587877533238,,162.50746186623996,128.66666666666666,135.25984251968504,149.2,145.43516270034002,,157.65587877533238,,162.50746186623996,128.66666666666666,135.25984251968504,149.2,145.43516270034002,,157.65587877533238,,162.50746186623996
2018-11-14,126.0,130.0,122.0,123.0,123.0,18093300,1.0,,126.0,130.0,122.0,-1.6000000000000014,-1.6129381929883644,-38.5,-48.61330111756192,,,-8.029197080291972,-8.369901887664694,-55.94405594405594,-81.97099038683746,,,-5.109489051094895,-5.244647537254254,-58.86075949367089,-88.82077631313297,,,-0.8130081300813052,-0.8163310639160981,-39.0,-49.42963218147801,,,128.33333333333334,129.10588235294117,133.8,137.65313243457578,,149.771499337817,,154.98384850189535,128.33333333333334,129.10588235294117,133.8,137.65313243457578,,149.771499337817,,154.98384850189535,128.33333333333334,129.10588235294117,133.8,137.65313243457578,,149.771499337817,,154.98384850189535,128.33333333333334,129.10588235294117,133.8,137.65313243457578,,149.771499337817,,154.98384850189535
2018-11-15,123.0,133.0,123.0,127.0,127.0,38335300,1.0,,123.0,133.0,123.0,3.2520325203251987,3.200273108617373,-20.625000000000004,-23.098672877523573,,,-2.380952380952384,-2.409755157906053,-38.5,-48.61330111756192,,,2.3076923076922995,2.2814677766171263,-33.5,-40.79682383262829,,,0.8196721311475308,0.8163310639160836,-13.98601398601399,-15.066027488748984,,,125.0,128.0508806262231,127.2,134.00725053466178,,144.81721795383774,,149.98203241044573,125.0,128.0508806262231,127.2,134.00725053466178,,144.81721795383774,,149.98203241044573,125.0,128.0508806262231,127.2,134.00725053466178,,144.81721795383774,,149.98203241044573,125.0,128.0508806262231,127.2,134.00725053466178,,144.81721795383774,,149.98203241044573
2018-11-16,127.0,130.0,125.0,125.0,125.0,13876500,1.0,,127.0,130.0,125.0,-1.5748031496062964,-1.5873349156290122,0.8064516129032251,0.8032171697264253,,,3.2520325203251987,3.200273108617373,-20.625000000000004,-23.098672877523573,,,-2.2556390977443663,-2.28146777661714,-19.254658385093173,-21.38699145288806,,,1.6260162601626105,1.6129381929883717,4.166666666666674,4.08219945202552,,,125.0,126.52394916911047,127.4,130.95184834123228,158.5,140.654489149668,,145.74448246597552,125.0,126.52394916911047,127.4,130.95184834123228,158.5,140.654489149668,,145.74448246597552,125.0,126.52394916911047,127.4,130.95184834123228,158.5,140.654489149668,,145.74448246597552,125.0,126.52394916911047,127.4,130.95184834123228,158.5,140.654489149668,,145.74448246597552
