Date,Open,High,Low,Close,Adj Close,Volume
2002-03-25,875.0,900.0,875.0,900.0,408.0291442871094,15000
2002-03-26,850.0,900.0,850.0,900.0,408.0291442871094,4500
2002-03-27,900.0,900.0,900.0,900.0,408.0291442871094,0
2002-03-28,875.0,925.0,875.0,925.0,419.3633728027344,6000
2002-03-29,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-01,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-02,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-03,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-04,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-05,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-08,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-09,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-04-10,850.0,900.0,850.0,900.0,408.0291442871094,9000
2002-04-11,850.0,900.0,850.0,900.0,408.0291442871094,36000
2002-04-12,900.0,900.0,900.0,900.0,408.0291442871094,202000
2002-04-15,900.0,900.0,900.0,900.0,408.0291442871094,0
2002-04-16,900.0,900.0,900.0,900.0,408.0291442871094,0
2002-04-17,900.0,900.0,900.0,900.0,408.0291442871094,25000
2002-04-18,900.0,900.0,900.0,900.0,408.0291442871094,0
2002-04-19,900.0,900.0,900.0,900.0,408.0291442871094,0
2002-04-22,900.0,900.0,900.0,900.0,408.0291442871094,0
2002-04-23,900.0,900.0,900.0,900.0,408.0291442871094,0
2002-04-24,875.0,925.0,875.0,925.0,419.3633728027344,11500
2002-04-25,925.0,975.0,925.0,975.0,442.0315856933594,65000
2002-04-26,1000.0,1000.0,975.0,1000.0,453.3656921386719,41500
2002-04-29,1000.0,1000.0,1000.0,1000.0,453.3656921386719,0
2002-04-30,1000.0,1000.0,1000.0,1000.0,453.3656921386719,0
2002-05-01,900.0,975.0,900.0,975.0,442.0315856933594,5000
2002-05-02,975.0,975.0,975.0,975.0,442.0315856933594,0
2002-05-03,975.0,975.0,975.0,975.0,442.0315856933594,0
2002-05-06,975.0,975.0,975.0,975.0,442.0315856933594,0
2002-05-07,975.0,975.0,975.0,975.0,442.0315856933594,0
2002-05-08,975.0,975.0,975.0,975.0,442.0315856933594,0
2002-05-09,975.0,975.0,975.0,975.0,442.0315856933594,0
2002-05-10,900.0,950.0,900.0,950.0,430.6973571777344,27500
2002-05-13,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-14,900.0,950.0,900.0,950.0,430.6973571777344,5500
2002-05-15,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-16,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-17,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-20,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-21,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-22,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-23,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-05-24,900.0,925.0,900.0,925.0,419.3633728027344,1000
2002-05-27,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-05-28,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-05-29,900.0,925.0,900.0,925.0,419.3633728027344,10500
2002-05-30,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-05-31,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-06-03,900.0,925.0,900.0,925.0,419.3633728027344,10000
2002-06-04,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-06-05,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-06-06,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-06-07,925.0,925.0,925.0,925.0,419.3633728027344,0
2002-06-10,950.0,950.0,925.0,950.0,430.6973571777344,10000
2002-06-11,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-06-12,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-06-13,925.0,925.0,925.0,925.0,419.3633728027344,3000
2002-06-14,950.0,1000.0,950.0,1000.0,453.3656921386719,82000
2002-06-17,1000.0,1000.0,975.0,975.0,442.0315856933594,17500
2002-06-18,950.0,975.0,925.0,975.0,442.0315856933594,177000
2002-06-19,975.0,975.0,900.0,950.0,430.6973571777344,93000
2002-06-20,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-06-21,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-06-24,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-06-25,950.0,950.0,950.0,950.0,430.6973571777344,7500
2002-06-26,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-06-27,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-06-28,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-07-01,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-07-02,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-07-03,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-07-04,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-07-05,950.0,950.0,950.0,950.0,430.6973571777344,0
2002-07-08,950.0,950.0,950.0,950.0,430.6973571777344,12500
2002-07-09,925.0,925.0,925.0,925.0,419.3633728027344,2500
2002-07-10,950.0,950.0,950.0,950.0,430.6973571777344,10000
2002-07-11,950.0,950.0,950.0,950.0,430.6973571777344,5000
2002-07-12,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-15,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-16,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-17,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-18,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-19,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-22,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-23,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-24,950.0,950.0,950.0,950.0,444.7418518066406,0
2002-07-25,900.0,900.0,900.0,900.0,421.3344421386719,10000
2002-07-26,900.0,900.0,900.0,900.0,421.3344421386719,0
2002-07-29,900.0,900.0,900.0,900.0,421.3344421386719,0
2002-07-30,875.0,925.0,875.0,925.0,433.0382385253906,3000
2002-07-31,925.0,925.0,925.0,925.0,433.0382385253906,0
2002-08-01,925.0,925.0,925.0,925.0,433.0382385253906,0
2002-08-02,925.0,925.0,925.0,925.0,433.0382385253906,0
2002-08-05,925.0,925.0,925.0,925.0,433.0382385253906,5000
2002-08-06,925.0,925.0,925.0,925.0,433.0382385253906,0
2002-08-07,925.0,925.0,925.0,925.0,433.0382385253906,0
2002-08-08,875.0,900.0,875.0,900.0,421.3344421386719,10500
2002-08-09,900.0,900.0,900.0,900.0,421.3344421386719,0
2002-08-12,900.0,900.0,900.0,900.0,421.3344421386719,0
2002-08-13,900.0,900.0,900.0,900.0,421.3344421386719,0
2002-08-14,850.0,900.0,850.0,900.0,421.3344421386719,17500
2002-08-15,900.0,900.0,900.0,900.0,421.3344421386719,0
2002-08-16,900.0,900.0,900.0,900.0,421.3344421386719,0
