Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2019-06-20,396.0,396.0,396.0,396.0,396.0,568000,1.0,,396.0,396.0,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0,,396.0
2019-06-21,494.0,494.0,494.0,494.0,494.0,300,1.0,,494.0,494.0,494.0,24.74747474747474,22.11213059334419,,,,,24.74747474747474,22.11213059334419,,,,,24.74747474747474,22.11213059334419,,,,,24.74747474747474,22.11213059334419,,,,,,461.3333333333333,,454.79999999999995,,449.90000000000003,,448.26666666666665,,461.3333333333333,,454.79999999999995,,449.90000000000003,,448.26666666666665,,461.3333333333333,,454.79999999999995,,449.90000000000003,,448.26666666666665,,461.3333333333333,,454.79999999999995,,449.90000000000003,,448.26666666666665
2019-06-24,615.0,615.0,600.0,615.0,615.0,16733600,1.0,,615.0,615.0,600.0,24.493927125506065,21.90867506185953,,,,,24.493927125506065,21.90867506185953,,,,,24.493927125506065,21.90867506185953,,,,,21.457489878542503,19.43941380282238,,,,,501.6666666666667,549.1428571428571,,530.6842105263157,,516.2691029900333,,511.4082840236686,501.6666666666667,549.1428571428571,,530.6842105263157,,516.2691029900333,,511.4082840236686,501.6666666666667,549.1428571428571,,530.6842105263157,,516.2691029900333,,511.4082840236686,501.6666666666667,549.1428571428571,,530.6842105263157,,516.2691029900333,,511.4082840236686
2019-06-25,620.0,635.0,580.0,600.0,600.0,8268500,1.0,,620.0,635.0,580.0,-2.4390243902439046,-2.469261259037152,,,,,0.8130081300812941,0.8097210232619303,,,,,3.2520325203251987,3.200273108617373,,,,,-3.3333333333333326,-3.390155167568134,,,,,569.6666666666666,576.2666666666667,,559.4769230769231,,543.854702970297,,538.1687315634218,569.6666666666666,576.2666666666667,,559.4769230769231,,543.854702970297,,538.1687315634218,569.6666666666666,576.2666666666667,,559.4769230769231,,543.854702970297,,538.1687315634218,569.6666666666666,576.2666666666667,,559.4769230769231,,543.854702970297,,538.1687315634218
2019-06-26,600.0,625.0,595.0,610.0,610.0,2135300,1.0,,600.0,625.0,595.0,1.6666666666666607,1.6529301951210509,,,,,-3.2258064516129004,-3.278982282299084,,,,,-1.5748031496062964,-1.5873349156290122,,,,,2.586206896551735,2.5533302005164846,,,,,608.3333333333334,593.6774193548387,543.0,578.8720379146919,,562.8432187604164,,556.6024685170103,608.3333333333334,593.6774193548387,543.0,578.8720379146919,,562.8432187604164,,556.6024685170103,608.3333333333334,593.6774193548387,543.0,578.8720379146919,,562.8432187604164,,556.6024685170103,608.3333333333334,593.6774193548387,543.0,578.8720379146919,,562.8432187604164,,556.6024685170103
2019-06-27,610.0,610.0,590.0,600.0,600.0,2423800,1.0,,610.0,610.0,590.0,-1.6393442622950838,-1.6529301951210582,51.51515151515152,41.55154439616658,,,1.6666666666666607,1.6529301951210509,54.04040404040404,43.20447459128764,,,-2.400000000000002,-2.4292692569044587,54.04040404040404,43.20447459128764,,,-0.8403361344537785,-0.8438868645864595,48.98989898989898,39.87083256452845,,,603.3333333333334,596.8888888888889,583.8,586.5924812030075,,572.4941183111312,,566.4439876812346,603.3333333333334,596.8888888888889,583.8,586.5924812030075,,572.4941183111312,,566.4439876812346,603.3333333333334,596.8888888888889,583.8,586.5924812030075,,572.4941183111312,,566.4439876812346,603.3333333333334,596.8888888888889,583.8,586.5924812030075,,572.4941183111312,,566.4439876812346
2019-06-28,600.0,630.0,595.0,600.0,600.0,3157400,1.0,,600.0,630.0,595.0,0.0,0.0,21.457489878542503,19.43941380282238,,,-1.6393442622950838,-1.6529301951210582,21.457489878542503,19.43941380282238,,,3.278688524590168,3.226086221822148,27.530364372469627,24.31843021976558,,,0.8474576271186418,0.8438868645864603,20.445344129554652,18.602588835770725,,,603.3333333333334,598.4566929133858,605.0,591.339485186984,,579.1219308603079,,573.3507442236981,603.3333333333334,598.4566929133858,605.0,591.339485186984,,579.1219308603079,,573.3507442236981,603.3333333333334,598.4566929133858,605.0,591.339485186984,,579.1219308603079,,573.3507442236981,603.3333333333334,598.4566929133858,605.0,591.339485186984,,579.1219308603079,,573.3507442236981
2019-07-01,600.0,615.0,600.0,600.0,600.0,1246100,1.0,,600.0,615.0,600.0,0.0,0.0,-2.4390243902439046,-2.469261259037152,,,0.0,0.0,-2.4390243902439046,-2.469261259037152,,,-2.380952380952384,-2.409755157906053,0.0,0.0,,,0.8403361344537785,0.8368249670516579,0.0,0.0,,,600.0,599.2313725490196,602.0,594.3435368754956,,583.8717922066945,,578.4257019009908,600.0,599.2313725490196,602.0,594.3435368754956,,583.8717922066945,,578.4257019009908,600.0,599.2313725490196,602.0,594.3435368754956,,583.8717922066945,,578.4257019009908,600.0,599.2313725490196,602.0,594.3435368754956,,583.8717922066945,,578.4257019009908
2019-07-02,600.0,605.0,600.0,600.0,600.0,725400,1.0,,600.0,605.0,600.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-3.2258064516129004,-3.278982282299084,,,-1.6260162601625994,-1.6393809775676382,-4.7244094488189,-4.839654086185021,,,0.0,0.0,3.4482758620689724,3.3901551675681416,,,600.0,599.6164383561644,602.0,596.2793803140161,,587.3807258277067,,582.2818788448463,600.0,599.6164383561644,602.0,596.2793803140161,,587.3807258277067,,582.2818788448463,600.0,599.6164383561644,602.0,596.2793803140161,,587.3807258277067,,582.2818788448463,600.0,599.6164383561644,602.0,596.2793803140161,,587.3807258277067,,582.2818788448463
2019-07-03,600.0,610.0,600.0,610.0,610.0,729100,1.0,,600.0,610.0,600.0,1.6666666666666607,1.6529301951210509,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.8264462809917328,0.8230499136515443,-2.400000000000002,-2.4292692569044587,,,0.0,0.0,0.8403361344537785,0.8368249670516579,,,603.3333333333334,604.8132942326491,602.0,600.9336320551487,572.5,592.1320438152137,,586.9835348523347,603.3333333333334,604.8132942326491,602.0,600.9336320551487,572.5,592.1320438152137,,586.9835348523347,603.3333333333334,604.8132942326491,602.0,600.9336320551487,572.5,592.1320438152137,,586.9835348523347,603.3333333333334,604.8132942326491,602.0,600.9336320551487,572.5,592.1320438152137,,586.9835348523347
