Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2016-06-16,157.0,238.0,157.0,238.0,209.57980346679688,51087700,0.8805874095243567,,138.252223295324,209.57980346679688,138.252223295324,,,,,,,,,,,,,,,,,,,,,,,,,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688,,209.57980346679688
2016-06-17,246.0,296.0,246.0,296.0,260.6539001464844,37824900,0.8805875004948797,,216.6245251217404,260.6539001464844,216.6245251217404,24.369760747379956,21.808888395921645,,,,,56.68791427607162,44.90858338906854,,,,,24.369760747379956,21.808888395921645,,,,,56.68791427607162,44.90858338906854,,,,,,243.62920125325522,,240.2242614746094,,237.67055664062502,,236.81932169596354,,243.62920125325522,,240.2242614746094,,237.67055664062502,,236.81932169596354,,243.62920125325522,,240.2242614746094,,237.67055664062502,,236.81932169596354,,243.62920125325522,,240.2242614746094,,237.67055664062502,,236.81932169596354
2016-06-20,308.0,370.0,300.0,370.0,325.8173217773437,39465100,0.880587356154983,,271.2209056957348,325.8173217773437,264.1762068464949,24.999979510852626,22.31433874010173,,,,,25.20323151005728,22.476808312801936,,,,,24.999979510852626,22.31433874010173,,,,,21.95119952278304,19.84507748106457,,,,,265.350341796875,290.5938415527343,,280.7683426706414,,273.1049705327943,,270.5227063421667,265.350341796875,290.5938415527343,,280.7683426706414,,273.1049705327943,,270.5227063421667,265.350341796875,290.5938415527343,,280.7683426706414,,273.1049705327943,,270.5227063421667,265.350341796875,290.5938415527343,,280.7683426706414,,273.1049705327943,,270.5227063421667
2016-06-21,398.0,462.0,398.0,462.0,406.8314208984375,8028200,0.8805874911221591,,350.4738214666193,406.8314208984375,350.4738214666193,24.864884002839197,22.20620387129484,,,,,29.22079902638228,25.63523755803425,,,,,24.864884002839197,22.20620387129484,,,,,32.666687000419174,28.266968389771613,,,,,331.1008809407552,352.58721720377605,,333.1330059344952,,317.16187781909906,,311.6967841314355,331.1008809407552,352.58721720377605,,333.1330059344952,,317.16187781909906,,311.6967841314355,331.1008809407552,352.58721720377605,,333.1330059344952,,317.16187781909906,,311.6967841314355,331.1008809407552,352.58721720377605,,333.1330059344952,,317.16187781909906,,311.6967841314355
2016-06-22,510.0,575.0,496.0,575.0,506.33782958984375,4637900,0.8805875297214674,,449.09964015794833,506.33782958984375,436.7714147418478,24.45887991435334,21.880519354919745,,,,,28.14070913445459,24.79587642675196,,,,,24.45887991435334,21.880519354919745,,,,,24.623121040567607,22.012396527407567,,,,,412.9955240885417,431.94237198368194,341.84405517578125,399.62395719555315,,371.4691484584095,,361.64664455356694,412.9955240885417,431.94237198368194,341.84405517578125,399.62395719555315,,371.4691484584095,,361.64664455356694,412.9955240885417,431.94237198368194,341.84405517578125,399.62395719555315,,371.4691484584095,,361.64664455356694,412.9955240885417,431.94237198368194,341.84405517578125,399.62395719555315,,371.4691484584095,,361.64664455356694
2016-06-23,575.0,575.0,575.0,575.0,506.33782958984375,0,0.8805875297214674,,506.33782958984375,506.33782958984375,506.33782958984375,0.0,0.0,141.5966716325609,88.20995036223795,,,12.745098039215684,11.995931507897897,266.2420882073216,129.8124371945546,,,0.0,0.0,141.5966716325609,88.20995036223795,,,15.9274193548387,14.779411407242288,266.2420882073216,129.8124371945546,,,473.1690266927083,469.7305409264943,401.19566040039064,438.618650416324,,406.4992035577525,,394.4591346139062,473.1690266927083,469.7305409264943,401.19566040039064,438.618650416324,,406.4992035577525,,394.4591346139062,473.1690266927083,469.7305409264943,401.19566040039064,438.618650416324,,406.4992035577525,,394.4591346139062,473.1690266927083,469.7305409264943,401.19566040039064,438.618650416324,,406.4992035577525,,394.4591346139062
2016-06-24,575.0,650.0,520.0,535.0,471.1142578125,30979400,0.8805873977803739,,506.33775372371497,572.3818085572431,457.9054468457944,-6.956535680116261,-7.210344373438035,80.7432221607808,59.19071759287827,,,-1.4983302520921171e-05,-1.4983303643418056e-05,133.7398101342215,84.90383882218241,,,13.043461323223248,12.260217225929605,119.59456898038788,78.66127919224589,,,-9.56523094142141,-10.054137905491384,111.38208916486118,74.84971589999468,,,494.5966389973958,470.42784707377274,443.28773193359376,450.1238946085593,,422.068835983993,,410.2368816428391,494.5966389973958,470.42784707377274,443.28773193359376,450.1238946085593,,422.068835983993,,410.2368816428391,494.5966389973958,470.42784707377274,443.28773193359376,450.1238946085593,,422.068835983993,,410.2368816428391,494.5966389973958,470.42784707377274,443.28773193359376,450.1238946085593,,422.068835983993,,410.2368816428391
2016-06-27,555.0,555.0,482.0,482.0,424.4431457519531,4958200,0.8805874393194049,,488.7260288222697,488.7260288222697,424.4431457519531,-9.90653780619003,-10.432258567345022,30.27028257325377,26.44412028543152,,,-3.4782563164458717,-3.540187987895985,80.19482221276107,58.886842521484496,,,-14.615380587625204,-15.800420197129233,50.00001416629844,40.54652025501496,,,-7.307687935214746,-7.588465035291675,60.66668184034632,47.41617338363843,,,467.2984110514323,447.34533033183976,463.0128967285156,441.21607577439636,,422.6090028986499,,412.94225509534306,467.2984110514323,447.34533033183976,463.0128967285156,441.21607577439636,,422.6090028986499,,412.94225509534306,467.2984110514323,447.34533033183976,463.0128967285156,441.21607577439636,,422.6090028986499,,412.94225509534306,467.2984110514323,447.34533033183976,463.0128967285156,441.21607577439636,,422.6090028986499,,412.94225509534306
2016-06-28,480.0,480.0,434.0,440.0,387.45849609375,5928100,0.8805874911221591,,422.6819957386364,422.6819957386364,382.174971147017,-8.713687575913209,-9.116932831079898,-4.761904761904767,-4.879016416943205,,,-13.51350842573006,-14.518195101700345,20.60301507537689,18.7334098617499,,,-13.51350842573006,-14.518195101700345,3.896103896103909,3.822121282019788,,,-9.95850092715076,-10.4899521122701,9.045226130653262,8.65925288159671,,,427.6719665527344,417.3433155276304,459.1383117675781,422.8183145577295,,414.9614826841269,,408.387303483303,427.6719665527344,417.3433155276304,459.1383117675781,422.8183145577295,,414.9614826841269,,408.387303483303,427.6719665527344,417.3433155276304,459.1383117675781,422.8183145577295,,414.9614826841269,,408.387303483303,427.6719665527344,417.3433155276304,459.1383117675781,422.8183145577295,,414.9614826841269,,408.387303483303
2016-06-29,436.0,436.0,396.0,400.0,352.2349853515625,2459000,0.8805874633789063,,383.93613403320313,383.93613403320313,348.7126354980469,-9.090911955035509,-9.531021130971594,-30.434787849667767,-36.29055690283455,,,-9.166669528406311,-9.61438920582934,-14.509810362312292,-15.676855770831402,,,-9.166669528406311,-9.61438920582934,-24.17391875613787,-27.67278727872932,,,-8.75576324334899,-9.163035435131526,-20.161296337547128,-22.516179080942397,,,388.04554239908856,384.7573281863335,428.3177429199219,398.8753301757393,385.0808990478516,401.7853952111435,,398.86252788972325,388.04554239908856,384.7573281863335,428.3177429199219,398.8753301757393,385.0808990478516,401.7853952111435,,398.86252788972325,388.04554239908856,384.7573281863335,428.3177429199219,398.8753301757393,385.0808990478516,401.7853952111435,,398.86252788972325,388.04554239908856,384.7573281863335,428.3177429199219,398.8753301757393,385.0808990478516,401.7853952111435,,398.86252788972325
