Date,Open,High,Low,Close,Adj Close,Volume
2011-06-09,1250.0,1260.0,1150.0,1250.0,1025.0111083984375,491764500
2011-06-10,1250.0,1260.0,1220.0,1250.0,1025.0111083984375,95365000
2011-06-13,1210.0,1250.0,1200.0,1210.0,992.2107543945312,57948000
2011-06-14,1220.0,1220.0,1200.0,1220.0,1000.4108276367188,33131500
2011-06-15,1220.0,1230.0,1210.0,1220.0,1000.4108276367188,69050500
2011-06-16,1190.0,1210.0,1180.0,1190.0,975.8106689453125,33376000
2011-06-17,1160.0,1200.0,1150.0,1160.0,951.2103271484375,57089500
2011-06-20,1170.0,1170.0,1160.0,1170.0,959.4105834960938,8089000
2011-06-21,1200.0,1200.0,1170.0,1200.0,984.0106201171875,19877000
2011-06-22,1200.0,1210.0,1180.0,1200.0,984.0106201171875,39712500
2011-06-23,1190.0,1190.0,1180.0,1190.0,975.8106689453125,19951500
2011-06-24,1200.0,1200.0,1180.0,1200.0,984.0106201171875,26852000
2011-06-27,1180.0,1190.0,1170.0,1180.0,967.6101684570312,2515500
2011-06-28,1180.0,1180.0,1180.0,1180.0,967.6101684570312,0
2011-06-30,1180.0,1200.0,1180.0,1180.0,967.6101684570312,35473500
2011-07-01,1180.0,1200.0,1180.0,1180.0,967.6101684570312,4190000
2011-07-04,1180.0,1180.0,1180.0,1180.0,967.6101684570312,0
2011-07-05,1200.0,1220.0,1190.0,1200.0,984.0106201171875,17487000
2011-07-06,1200.0,1200.0,1190.0,1200.0,984.0106201171875,3410500
2011-07-07,1200.0,1210.0,1190.0,1200.0,984.0106201171875,11885000
2011-07-08,1220.0,1230.0,1190.0,1220.0,1000.4108276367188,27881000
2011-07-11,1220.0,1240.0,1200.0,1220.0,1000.4108276367188,24376000
2011-07-12,1190.0,1210.0,1190.0,1190.0,975.8106689453125,9104500
2011-07-13,1210.0,1220.0,1190.0,1210.0,992.2107543945312,2214000
2011-07-14,1210.0,1220.0,1200.0,1210.0,992.2107543945312,11982500
2011-07-15,1240.0,1240.0,1210.0,1240.0,1016.8109130859375,27522500
2011-07-18,1280.0,1290.0,1230.0,1280.0,1049.611328125,62069500
2011-07-19,1290.0,1300.0,1270.0,1290.0,1057.811279296875,35342000
2011-07-20,1270.0,1300.0,1270.0,1270.0,1041.4112548828125,9551000
2011-07-21,1270.0,1270.0,1260.0,1270.0,1041.4112548828125,9475500
2011-07-22,1270.0,1290.0,1260.0,1270.0,1041.4112548828125,22071000
2011-07-25,1260.0,1270.0,1250.0,1260.0,1033.211181640625,11583500
2011-07-26,1280.0,1280.0,1250.0,1280.0,1049.611328125,12722000
2011-07-27,1280.0,1290.0,1270.0,1280.0,1049.611328125,18440000
2011-07-28,1340.0,1340.0,1260.0,1340.0,1098.81201171875,79559000
2011-07-29,1420.0,1420.0,1310.0,1420.0,1164.412841796875,101779000
2011-08-01,1420.0,1460.0,1400.0,1420.0,1164.412841796875,43664000
2011-08-02,1390.0,1420.0,1360.0,1390.0,1139.8123779296875,43054000
2011-08-03,1380.0,1380.0,1350.0,1380.0,1131.6121826171875,17537500
2011-08-04,1370.0,1400.0,1350.0,1370.0,1123.4122314453125,19920500
2011-08-05,1240.0,1340.0,1220.0,1240.0,1016.8109130859375,75075500
2011-08-08,1200.0,1230.0,1130.0,1200.0,984.0106201171875,67990000
