Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,210.0,210.0,140.0,210.0,167.9798126220703,448638000
2018-10-12,214.0,262.0,210.0,262.0,209.5747833251953,411705000
2018-10-15,277.0,325.0,231.0,237.0,189.5771942138672,668502500
2018-10-16,233.0,280.0,220.0,234.0,187.17750549316406,198171000
2018-10-17,240.0,254.0,231.0,243.0,194.3766326904297,88848500
2018-10-18,249.0,267.0,244.0,256.0,204.77537536621094,110766500
2018-10-19,258.0,272.0,250.0,253.0,202.3756561279297,99181000
2018-10-22,255.0,260.0,237.0,245.0,195.97645568847656,62124000
2018-10-23,246.0,246.0,206.0,206.0,164.7801971435547,84792000
2018-10-24,206.0,215.0,192.0,207.0,165.580078125,72432500
2018-10-25,206.0,213.0,196.0,206.0,164.7801971435547,30452500
2018-10-26,206.0,206.0,192.0,192.0,153.58154296875,30961000
2018-10-29,194.0,196.0,162.0,163.0,130.3843231201172,57109000
2018-10-30,164.0,164.0,140.0,145.0,115.98606872558594,116677000
2018-10-31,146.0,156.0,142.0,144.0,115.18614959716797,44348000
2018-11-01,146.0,146.0,132.0,134.0,107.18711853027344,33308000
2018-11-02,135.0,139.0,127.0,130.0,103.98749542236328,23485500
2018-11-05,130.0,142.0,130.0,133.0,106.38720703125,29886500
2018-11-06,139.0,149.0,138.0,145.0,115.98606872558594,90256000
2018-11-07,149.0,150.0,144.0,145.0,115.98606872558594,47836500
2018-11-08,146.0,147.0,139.0,140.0,111.98654174804688,24091500
2018-11-09,140.0,140.0,134.0,134.0,107.18711853027344,14077000
2018-11-12,134.0,138.0,131.0,134.0,107.18711853027344,7790000
2018-11-13,135.0,136.0,131.0,135.0,107.98702239990234,10157500
2018-11-14,135.0,147.0,135.0,138.0,110.3867416381836,36228500
2018-11-15,140.0,141.0,135.0,137.0,109.58683013916016,6433500
2018-11-16,138.0,140.0,135.0,135.0,107.98702239990234,5113000
2018-11-19,136.0,137.0,133.0,133.0,106.38720703125,4031500
2018-11-20,133.0,133.0,133.0,133.0,106.38720703125,0
2018-11-21,133.0,134.0,127.0,133.0,106.38720703125,10143500
2018-11-22,133.0,136.0,126.0,126.0,100.78788757324219,6671500
2018-11-23,126.0,126.0,94.80000305175781,94.80000305175781,75.83088684082031,67593000
2018-11-26,94.80000305175781,113.0,88.0,101.0,80.79029083251953,115641000
2018-11-27,102.0,102.0,97.19999694824219,97.19999694824219,77.75065612792969,30269000
2018-11-28,97.19999694824219,101.0,92.80000305175781,93.5999984741211,74.8709945678711,9786000
2018-11-29,94.0,96.4000015258789,86.80000305175781,88.0,70.39153289794922,31335000
2018-11-30,88.4000015258789,88.4000015258789,83.19999694824219,83.5999984741211,66.87196350097656,22517500
2018-12-03,83.5999984741211,86.0,77.5999984741211,80.80000305175781,64.63223266601562,31133000
2018-12-04,80.80000305175781,87.5999984741211,78.4000015258789,83.19999694824219,66.55200958251953,21865500
2018-12-05,82.4000015258789,83.5999984741211,80.4000015258789,82.0,65.59211730957031,6890000
2018-12-06,81.5999984741211,82.80000305175781,78.4000015258789,80.4000015258789,64.31227111816406,19429000
2018-12-07,80.4000015258789,82.0,79.19999694824219,80.4000015258789,64.31227111816406,6119000
2018-12-10,81.19999694824219,82.0,79.5999984741211,80.4000015258789,64.31227111816406,6974500
