Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2010-07-07,450.0,560.0,450.0,560.0,560.0,51202000,1.0,,450.0,560.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0,,560.0
2010-07-08,560.0,700.0,560.0,690.0,690.0,65617500,1.0,,560.0,700.0,560.0,23.21428571428572,20.87548138621102,,,,,24.444444444444446,21.86892009648295,,,,,25.0,22.314355131420974,,,,,24.444444444444446,21.86892009648295,,,,,,646.6666666666666,,638.0000000000001,,631.4999999999999,,629.3333333333334,,646.6666666666666,,638.0000000000001,,631.4999999999999,,629.3333333333334,,646.6666666666666,,638.0000000000001,,631.4999999999999,,629.3333333333334,,646.6666666666666,,638.0000000000001,,631.4999999999999,,629.3333333333334
2010-07-09,700.0,710.0,530.0,570.0,570.0,17454500,1.0,,700.0,710.0,530.0,-17.391304347826086,-19.105523676270924,,,,,25.0,22.314355131420974,,,,,1.4285714285714235,1.4184634991956382,,,,,-5.35714285714286,-5.505977718302743,,,,,606.6666666666666,602.8571428571429,,605.7894736842105,,606.7774086378737,,606.8639053254437,606.6666666666666,602.8571428571429,,605.7894736842105,,606.7774086378737,,606.8639053254437,606.6666666666666,602.8571428571429,,605.7894736842105,,606.7774086378737,,606.8639053254437,606.6666666666666,602.8571428571429,,605.7894736842105,,606.7774086378737,,606.8639053254437
2010-07-12,570.0,600.0,510.0,520.0,520.0,2670000,1.0,,570.0,600.0,510.0,-8.771929824561408,-9.180754925312286,,,,,-18.571428571428573,-20.544397421480884,,,,,-15.492957746478876,-16.833531481921476,,,,,-3.773584905660377,-3.846628082779605,,,,,593.3333333333334,558.6666666666666,,570.1538461538462,,578.188118811881,,580.6253687315634,593.3333333333334,558.6666666666666,,570.1538461538462,,578.188118811881,,580.6253687315634,593.3333333333334,558.6666666666666,,570.1538461538462,,578.188118811881,,580.6253687315634,593.3333333333334,558.6666666666666,,570.1538461538462,,578.188118811881,,580.6253687315634
2010-07-13,520.0,530.0,500.0,520.0,520.0,3233500,1.0,,520.0,530.0,500.0,0.0,0.0,,,,,-8.771929824561408,-9.180754925312286,,,,,-11.66666666666667,-12.405264866997888,,,,,-1.9607843137254943,-1.9802627296179756,,,,,536.6666666666666,538.7096774193549,572.0,550.9004739336492,,561.4838924726965,,565.0673516696949,536.6666666666666,538.7096774193549,572.0,550.9004739336492,,561.4838924726965,,565.0673516696949,536.6666666666666,538.7096774193549,572.0,550.9004739336492,,561.4838924726965,,565.0673516696949,536.6666666666666,538.7096774193549,572.0,550.9004739336492,,561.4838924726965,,565.0673516696949
2010-07-14,520.0,530.0,500.0,530.0,530.0,841500,1.0,,520.0,530.0,500.0,1.923076923076916,1.9048194970694408,-5.35714285714286,-5.505977718302743,,,0.0,0.0,15.555555555555545,14.45812288111075,,,0.0,0.0,-5.35714285714286,-5.505977718302743,,,0.0,0.0,11.111111111111116,10.536051565782635,,,523.3333333333334,534.2857142857143,566.0,543.2631578947369,,553.3064380866367,,557.1149174711928,523.3333333333334,534.2857142857143,566.0,543.2631578947369,,553.3064380866367,,557.1149174711928,523.3333333333334,534.2857142857143,566.0,543.2631578947369,,553.3064380866367,,557.1149174711928,523.3333333333334,534.2857142857143,566.0,543.2631578947369,,553.3064380866367,,557.1149174711928
2010-07-15,520.0,520.0,500.0,500.0,500.0,354500,1.0,,520.0,520.0,500.0,-5.660377358490565,-5.826890812397576,-27.536231884057973,-32.20834991691133,,,0.0,0.0,-7.14285714285714,-7.410797215372185,,,-1.8867924528301885,-1.9048194970694476,-25.71428571428571,-29.72515234679316,,,0.0,0.0,-10.71428571428571,-11.332868530700312,,,516.6666666666666,517.007874015748,528.0,527.9456046624575,,540.4617278788744,,545.3590858732939,516.6666666666666,517.007874015748,528.0,527.9456046624575,,540.4617278788744,,545.3590858732939,516.6666666666666,517.007874015748,528.0,527.9456046624575,,540.4617278788744,,545.3590858732939,516.6666666666666,517.007874015748,528.0,527.9456046624575,,540.4617278788744,,545.3590858732939
2010-07-16,500.0,510.0,500.0,500.0,500.0,457500,1.0,,500.0,510.0,500.0,0.0,0.0,-12.28070175438597,-13.102826240640416,,,-3.846153846153844,-3.922071315328127,-28.57142857142857,-33.64722366212129,,,-1.9230769230769276,-1.9418085857101628,-28.16901408450704,-33.085424431698954,,,0.0,0.0,-5.660377358490565,-5.826890812397576,,,510.0,508.47058823529414,514.0,518.2521808088818,,531.2564897903337,,536.7211170301882,510.0,508.47058823529414,514.0,518.2521808088818,,531.2564897903337,,536.7211170301882,510.0,508.47058823529414,514.0,518.2521808088818,,531.2564897903337,,536.7211170301882,510.0,508.47058823529414,514.0,518.2521808088818,,531.2564897903337,,536.7211170301882
2010-07-19,500.0,610.0,500.0,570.0,570.0,3134500,1.0,,500.0,610.0,500.0,13.99999999999999,13.1028262406404,9.615384615384626,9.18075492531229,,,0.0,0.0,-12.28070175438597,-13.102826240640416,,,19.6078431372549,17.904823144898547,1.6666666666666607,1.6529301951210509,,,0.0,0.0,-1.9607843137254943,-1.9802627296179756,,,523.3333333333334,539.2954990215264,524.0,535.9621303009754,,539.685721811213,,542.6693643676693,523.3333333333334,539.2954990215264,524.0,535.9621303009754,,539.685721811213,,542.6693643676693,523.3333333333334,539.2954990215264,524.0,535.9621303009754,,539.685721811213,,542.6693643676693,523.3333333333334,539.2954990215264,524.0,535.9621303009754,,539.685721811213,,542.6693643676693
2010-07-20,570.0,570.0,540.0,540.0,540.0,648500,1.0,,570.0,570.0,540.0,-5.263157894736848,-5.406722127027583,3.846153846153855,3.7740327982847113,,,13.99999999999999,13.1028262406404,9.615384615384626,9.18075492531229,,,-6.5573770491803245,-6.782259633876106,7.547169811320753,7.27593542824283,,,8.000000000000007,7.696104113612839,8.000000000000007,7.696104113612839,,,536.6666666666666,539.6480938416422,528.0,537.3318397242567,550.0,539.7517378822898,,542.2165763541825,536.6666666666666,539.6480938416422,528.0,537.3318397242567,550.0,539.7517378822898,,542.2165763541825,536.6666666666666,539.6480938416422,528.0,537.3318397242567,550.0,539.7517378822898,,542.2165763541825,536.6666666666666,539.6480938416422,528.0,537.3318397242567,550.0,539.7517378822898,,542.2165763541825
