Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2018-10-05,262.0,262.0,262.0,262.0,262.0,11300,1.0,,262.0,262.0,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0,,262.0
2018-10-08,326.0,326.0,326.0,326.0,326.0,2400,1.0,,326.0,326.0,326.0,24.42748091603053,21.85528776056108,,,,,24.42748091603053,21.85528776056108,,,,,24.42748091603053,21.85528776056108,,,,,24.42748091603053,21.85528776056108,,,,,,304.6666666666667,,300.4,,297.2,,296.1333333333333,,304.6666666666667,,300.4,,297.2,,296.1333333333333,,304.6666666666667,,300.4,,297.2,,296.1333333333333,,304.6666666666667,,300.4,,297.2,,296.1333333333333
2018-10-09,406.0,406.0,406.0,406.0,406.0,44700,1.0,,406.0,406.0,406.0,24.53987730061349,21.945577823502493,,,,,24.53987730061349,21.945577823502493,,,,,24.53987730061349,21.945577823502493,,,,,24.53987730061349,21.945577823502493,,,,,331.3333333333333,362.57142857142856,,350.4210526315789,,340.9368770764119,,337.7396449704142,331.3333333333333,362.57142857142856,,350.4210526315789,,340.9368770764119,,337.7396449704142,331.3333333333333,362.57142857142856,,350.4210526315789,,340.9368770764119,,337.7396449704142,331.3333333333333,362.57142857142856,,350.4210526315789,,340.9368770764119,,337.7396449704142
2018-10-10,470.0,505.0,470.0,505.0,505.0,698500,1.0,,470.0,505.0,470.0,24.38423645320198,21.820526967362724,,,,,15.76354679802956,14.637953510237164,,,,,24.38423645320198,21.820526967362724,,,,,15.76354679802956,14.637953510237164,,,,,412.3333333333333,438.53333333333336,,414.63076923076915,,394.98836633663365,,388.2631268436578,412.3333333333333,438.53333333333336,,414.63076923076915,,394.98836633663365,,388.2631268436578,412.3333333333333,438.53333333333336,,414.63076923076915,,394.98836633663365,,388.2631268436578,412.3333333333333,438.53333333333336,,414.63076923076915,,394.98836633663365,,388.2631268436578
2018-10-11,550.0,630.0,550.0,630.0,630.0,213339100,1.0,,550.0,630.0,550.0,24.752475247524757,22.11613901102185,,,,,17.021276595744684,15.718558352241237,,,,,24.752475247524757,22.11613901102185,,,,,17.021276595744684,15.718558352241237,,,,,513.6666666666666,537.3548387096774,425.8,497.3080568720378,,462.45381463108566,,450.29897876072926,513.6666666666666,537.3548387096774,425.8,497.3080568720378,,462.45381463108566,,450.29897876072926,513.6666666666666,537.3548387096774,425.8,497.3080568720378,,462.45381463108566,,450.29897876072926,513.6666666666666,537.3548387096774,425.8,497.3080568720378,,462.45381463108566,,450.29897876072926
2018-10-12,700.0,785.0,690.0,785.0,785.0,1002300,1.0,,700.0,785.0,690.0,24.603174603174605,21.996389839683005,199.618320610687,109.73392140213116,,,27.27272727272727,24.116205681688804,167.17557251908394,98.27358312823078,,,24.603174603174605,21.996389839683005,199.618320610687,109.73392140213116,,,25.454545454545464,22.67733193647885,163.3587786259542,96.8347093830208,,,640.0,663.1428571428571,530.4,602.4345864661653,,546.2302003031965,,526.2011419080245,640.0,663.1428571428571,530.4,602.4345864661653,,546.2302003031965,,526.2011419080245,640.0,663.1428571428571,530.4,602.4345864661653,,546.2302003031965,,526.2011419080245,640.0,663.1428571428571,530.4,602.4345864661653,,546.2302003031965,,526.2011419080245
2018-10-15,790.0,980.0,790.0,970.0,970.0,1381900,1.0,,790.0,980.0,790.0,23.566878980891715,21.161235371502,197.54601226993867,109.03986901307208,,,12.857142857142856,12.09526104176625,142.3312883435583,88.51355640943596,,,24.840764331210185,22.18688538822091,200.61349693251532,110.065519029791,,,14.492753623188404,13.53413478697621,142.3312883435583,88.51355640943596,,,795.0,817.7795275590552,659.2,732.5730937348227,,648.3416987878704,,617.5472362396937,795.0,817.7795275590552,659.2,732.5730937348227,,648.3416987878704,,617.5472362396937,795.0,817.7795275590552,659.2,732.5730937348227,,648.3416987878704,,617.5472362396937,795.0,817.7795275590552,659.2,732.5730937348227,,648.3416987878704,,617.5472362396937
2018-10-16,970.0,970.0,970.0,970.0,970.0,0,1.0,,970.0,970.0,970.0,0.0,0.0,138.91625615763544,87.09429118956959,,,22.78481012658229,20.52631260363614,138.91625615763544,87.09429118956959,,,-1.0204081632653073,-1.0256500167189109,138.91625615763544,87.09429118956959,,,22.78481012658229,20.52631260363614,138.91625615763544,87.09429118956959,,,908.3333333333334,894.1882352941177,772.0,814.9287866772403,,721.5205124726699,,684.6666663034403,908.3333333333334,894.1882352941177,772.0,814.9287866772403,,721.5205124726699,,684.6666663034403,908.3333333333334,894.1882352941177,772.0,814.9287866772403,,721.5205124726699,,684.6666663034403,908.3333333333334,894.1882352941177,772.0,814.9287866772403,,721.5205124726699,,684.6666663034403
2018-10-17,1000.0,1210.0,980.0,1210.0,1210.0,4260200,1.0,,1000.0,1210.0,980.0,24.742268041237114,22.107956709335827,139.60396039603958,87.38172093154269,,,3.092783505154628,3.045920748470844,112.7659574468085,75.50225842780328,,,24.742268041237114,22.107956709335827,139.60396039603958,87.38172093154269,,,1.0309278350515427,1.0256500167189062,108.51063829787236,73.48198769605135,,,1050.0,1052.40313111546,913.0,950.1362474570966,,827.7965549769661,,778.5644274237651,1050.0,1052.40313111546,913.0,950.1362474570966,,827.7965549769661,,778.5644274237651,1050.0,1052.40313111546,913.0,950.1362474570966,,827.7965549769661,,778.5644274237651,1050.0,1052.40313111546,913.0,950.1362474570966,,827.7965549769661,,778.5644274237651
2018-10-18,1290.0,1510.0,1290.0,1510.0,1510.0,2687400,1.0,,1290.0,1510.0,1290.0,24.79338842975207,22.148929121818327,139.68253968253967,87.41451104233916,,,29.000000000000004,25.464221837358075,134.54545454545453,85.2479219129201,,,24.79338842975207,22.148929121818327,139.68253968253967,87.41451104233916,,,31.63265306122449,27.48449256911002,134.54545454545453,85.2479219129201,,,1230.0,1281.425219941349,1089.0,1140.050909090909,757.4,971.0975943820079,,902.6333870276272,1230.0,1281.425219941349,1089.0,1140.050909090909,757.4,971.0975943820079,,902.6333870276272,1230.0,1281.425219941349,1089.0,1140.050909090909,757.4,971.0975943820079,,902.6333870276272,1230.0,1281.425219941349,1089.0,1140.050909090909,757.4,971.0975943820079,,902.6333870276272
2018-10-19,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,92.35668789808918,65.41812120265615,,,17.054263565891482,15.746743245325227,115.71428571428572,76.87845947655653,,,0.0,0.0,92.35668789808918,65.41812120265615,,,17.054263565891482,15.746743245325227,118.84057971014492,78.31733322176649,,,1410.0,1395.7684416218856,1234.0,1264.809610563167,882.2,1081.188618523277,,1001.2563433168438,1410.0,1395.7684416218856,1234.0,1264.809610563167,882.2,1081.188618523277,,1001.2563433168438,1410.0,1395.7684416218856,1234.0,1264.809610563167,882.2,1081.188618523277,,1001.2563433168438,1410.0,1395.7684416218856,1234.0,1264.809610563167,882.2,1081.188618523277,,1001.2563433168438
2018-10-22,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,55.67010309278351,44.25688583115415,,,0.0,0.0,91.13924050632912,64.78319843479028,,,0.0,0.0,54.08163265306123,43.23123581443525,,,0.0,0.0,91.13924050632912,64.78319843479028,,,1510.0,1452.8981684981684,1342.0,1347.1745555566092,1000.6,1166.8643477304036,,1080.8886120201705,1510.0,1452.8981684981684,1342.0,1347.1745555566092,1000.6,1166.8643477304036,,1080.8886120201705,1510.0,1452.8981684981684,1342.0,1347.1745555566092,1000.6,1166.8643477304036,,1080.8886120201705,1510.0,1452.8981684981684,1342.0,1347.1745555566092,1000.6,1166.8643477304036,,1080.8886120201705
2018-10-23,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,55.67010309278351,44.25688583115415,,,0.0,0.0,55.67010309278351,44.25688583115415,,,0.0,0.0,55.67010309278351,44.25688583115415,,,0.0,0.0,55.67010309278351,44.25688583115415,,,1510.0,1481.452569893786,1450.0,1401.7300222995452,1111.0,1234.211325200615,,1146.0033650044213,1510.0,1481.452569893786,1450.0,1401.7300222995452,1111.0,1234.211325200615,,1146.0033650044213,1510.0,1481.452569893786,1450.0,1401.7300222995452,1111.0,1234.211325200615,,1146.0033650044213,1510.0,1481.452569893786,1450.0,1401.7300222995452,1111.0,1234.211325200615,,1146.0033650044213
2018-10-24,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,24.79338842975207,22.148929121818327,,,0.0,0.0,51.0,41.2109650826833,,,0.0,0.0,24.79338842975207,22.148929121818327,,,0.0,0.0,54.08163265306123,43.23123581443525,,,1510.0,1495.7271561984985,1510.0,1437.9440656151103,1211.5,1287.569085162276,,1199.7987318131106,1510.0,1495.7271561984985,1510.0,1437.9440656151103,1211.5,1287.569085162276,,1199.7987318131106,1510.0,1495.7271561984985,1510.0,1437.9440656151103,1211.5,1287.569085162276,,1199.7987318131106,1510.0,1495.7271561984985,1510.0,1437.9440656151103,1211.5,1287.569085162276,,1199.7987318131106
2018-10-25,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,0.0,0.0,,,0.0,0.0,17.054263565891482,15.746743245325227,,,0.0,0.0,0.0,0.0,,,0.0,0.0,17.054263565891482,15.746743245325227,,,1510.0,1502.8637958922086,1510.0,1462.0176863328861,1299.5,1330.107744919936,1008.2666666666667,1244.6220749736337,1510.0,1502.8637958922086,1510.0,1462.0176863328861,1299.5,1330.107744919936,1008.2666666666667,1244.6220749736337,1510.0,1502.8637958922086,1510.0,1462.0176863328861,1299.5,1330.107744919936,1008.2666666666667,1244.6220749736337,1510.0,1502.8637958922086,1510.0,1462.0176863328861,1299.5,1330.107744919936,1008.2666666666667,1244.6220749736337
2018-10-26,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1510.0,1506.4319523918516,1510.0,1478.036178062564,1372.0,1364.1898611942956,1091.4666666666667,1282.2351860619317,1510.0,1506.4319523918516,1510.0,1478.036178062564,1372.0,1364.1898611942956,1091.4666666666667,1282.2351860619317,1510.0,1506.4319523918516,1510.0,1478.036178062564,1372.0,1364.1898611942956,1091.4666666666667,1282.2351860619317,1510.0,1506.4319523918516,1510.0,1478.036178062564,1372.0,1364.1898611942956,1091.4666666666667,1282.2351860619317
2018-10-29,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1510.0,1508.215989807051,1510.0,1488.7016103539559,1426.0,1391.6053678314665,1170.4,1313.9859142986934,1510.0,1508.215989807051,1510.0,1488.7016103539559,1426.0,1391.6053678314665,1170.4,1313.9859142986934,1510.0,1508.215989807051,1510.0,1488.7016103539559,1426.0,1391.6053678314665,1170.4,1313.9859142986934,1510.0,1508.215989807051,1510.0,1488.7016103539559,1426.0,1391.6053678314665,1170.4,1313.9859142986934
2018-10-30,1510.0,1510.0,1510.0,1510.0,1510.0,0,1.0,,1510.0,1510.0,1510.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1510.0,1509.107998306268,1510.0,1495.8058805990609,1480.0,1413.7289081319839,1244.0,1340.9226217376333,1510.0,1509.107998306268,1510.0,1495.8058805990609,1480.0,1413.7289081319839,1244.0,1340.9226217376333,1510.0,1509.107998306268,1510.0,1495.8058805990609,1480.0,1413.7289081319839,1244.0,1340.9226217376333,1510.0,1509.107998306268,1510.0,1495.8058805990609,1480.0,1413.7289081319839,1244.0,1340.9226217376333
