Date,Open,High,Low,Close,Adj Close,Volume
2022-07-07,206.0,270.0,204.0,216.0,213.13009643554688,419136400
2022-07-08,214.0,218.0,202.0,202.0,199.31610107421875,12942400
2022-07-11,188.0,188.0,188.0,188.0,185.5021209716797,740800
2022-07-12,175.0,175.0,175.0,175.0,172.6748504638672,885900
2022-07-13,163.0,163.0,163.0,163.0,160.83428955078125,1058800
2022-07-14,152.0,171.0,152.0,152.0,149.98043823242188,86787700
2022-07-15,142.0,150.0,142.0,142.0,140.11331176757812,32998500
2022-07-18,133.0,149.0,133.0,141.0,139.1265869140625,88796200
2022-07-19,137.0,190.0,137.0,190.0,187.47555541992188,327954600
2022-07-20,200.0,224.0,188.0,212.0,209.18324279785156,317300900
2022-07-21,212.0,222.0,198.0,198.0,195.3692626953125,91309700
2022-07-22,197.0,197.0,185.0,185.0,182.54197692871094,30529500
2022-07-25,185.0,208.0,173.0,185.0,182.54197692871094,179312500
2022-07-26,186.0,194.0,182.0,190.0,187.47555541992188,25832100
2022-07-27,190.0,194.0,177.0,178.0,175.63497924804688,40816500
2022-07-28,179.0,184.0,166.0,167.0,164.78114318847656,16711200
2022-07-29,167.0,169.0,156.0,157.0,154.91400146484375,13561800
2022-08-01,150.0,161.0,147.0,151.0,148.9937286376953,14998000
2022-08-02,151.0,153.0,145.0,146.0,144.06015014648438,5767700
2022-08-03,153.0,153.0,140.0,140.0,138.13987731933594,11275100
2022-08-04,140.0,155.0,135.0,154.0,151.953857421875,51286100
2022-08-05,153.0,164.0,144.0,144.0,142.08673095703125,35420300
2022-08-08,135.0,146.0,135.0,143.0,141.1000213623047,8314700
2022-08-09,143.0,154.0,143.0,151.0,148.9937286376953,22234900
2022-08-10,154.0,156.0,141.0,141.0,139.1265869140625,36237300
2022-08-11,141.0,145.0,138.0,142.0,140.11331176757812,7579600
2022-08-12,143.0,144.0,140.0,142.0,140.11331176757812,4438100
2022-08-15,142.0,143.0,138.0,139.0,137.15316772460938,4037900
2022-08-16,139.0,142.0,139.0,139.0,137.15316772460938,4440800
2022-08-18,135.0,141.0,135.0,138.0,136.16644287109375,2920200
2022-08-19,138.0,151.0,137.0,144.0,142.08673095703125,38992600
2022-08-22,135.0,146.0,135.0,139.0,137.15316772460938,9352200
2022-08-23,140.0,146.0,139.0,141.0,139.1265869140625,15293500
2022-08-24,141.0,146.0,141.0,142.0,140.11331176757812,9980700
2022-08-25,148.0,148.0,138.0,138.0,136.16644287109375,9174200
2022-08-26,138.0,142.0,138.0,138.0,136.16644287109375,5579800
2022-08-29,130.0,141.0,130.0,135.0,133.20631408691406,3670800
2022-08-30,135.0,141.0,131.0,135.0,133.20631408691406,7072500
2022-08-31,128.0,141.0,128.0,141.0,139.1265869140625,6287200
2022-09-01,141.0,143.0,139.0,139.0,137.15316772460938,6075500
2022-09-02,135.0,141.0,135.0,136.0,134.19302368164062,2710600
2022-09-05,135.0,139.0,135.0,136.0,134.19302368164062,3643900
2022-09-06,128.0,141.0,128.0,137.0,135.1797332763672,7168800
2022-09-07,131.0,139.0,131.0,137.0,135.1797332763672,2368900
2022-09-08,132.0,138.0,132.0,136.0,134.19302368164062,1711300
2022-09-09,136.0,137.0,134.0,134.0,132.2196044921875,3234300
2022-09-12,132.0,138.0,132.0,135.0,133.20631408691406,2925100
2022-09-13,136.0,142.0,135.0,136.0,134.19302368164062,12536200
2022-09-14,138.0,144.0,136.0,143.0,141.1000213623047,19397400
2022-09-15,145.0,145.0,141.0,141.0,139.1265869140625,7930400
2022-09-16,141.0,141.0,138.0,138.0,136.16644287109375,5295700
2022-09-19,138.0,141.0,136.0,137.0,135.1797332763672,3010800
2022-09-20,137.0,139.0,134.0,136.0,134.19302368164062,2601500
2022-09-21,134.0,137.0,134.0,135.0,133.20631408691406,2393900
2022-09-22,134.0,138.0,134.0,135.0,133.20631408691406,2132700
2022-09-23,135.0,137.0,134.0,134.0,132.2196044921875,1508800
2022-09-26,132.0,135.0,132.0,132.0,130.2461700439453,3037200
2022-09-27,132.0,147.0,132.0,136.0,134.19302368164062,39380200
2022-09-28,136.0,138.0,133.0,133.0,131.23287963867188,4749900
2022-09-29,133.0,133.0,129.0,130.0,128.27273559570312,7707300
2022-09-30,130.0,130.0,121.0,124.0,122.35246276855469,6743300
2022-10-03,128.0,128.0,116.0,119.0,117.41889953613281,6812000
2022-10-04,125.0,125.0,119.0,120.0,118.40560913085938,2273900
2022-10-05,123.0,124.0,120.0,122.0,120.37903594970703,2203600
2022-10-06,123.0,127.0,122.0,123.0,121.36575317382812,3403900
2022-10-07,125.0,126.0,121.0,123.0,121.36575317382812,2182400
2022-10-10,125.0,125.0,122.0,123.0,121.36575317382812,1315200
2022-10-11,126.0,126.0,121.0,123.0,121.36575317382812,1187100
2022-10-12,126.0,126.0,119.0,120.0,118.40560913085938,1828600
2022-10-13,120.0,123.0,118.0,122.0,120.37903594970703,725600
2022-10-14,127.0,127.0,118.0,120.0,118.40560913085938,633300
2022-10-17,126.0,126.0,113.0,114.0,112.4853286743164,2582400
2022-10-18,120.0,120.0,112.0,114.0,112.4853286743164,984300
2022-10-19,115.0,115.0,107.0,111.0,109.52519226074219,2350000
2022-10-20,115.0,115.0,108.0,111.0,109.52519226074219,874400
2022-10-21,115.0,115.0,109.0,111.0,109.52519226074219,852400
2022-10-24,110.0,113.0,109.0,110.0,108.5384750366211,459800
2022-10-25,110.0,113.0,108.0,113.0,111.49861145019531,2970400
2022-10-26,130.0,130.0,116.0,118.0,116.43218231201172,19141000
2022-10-27,121.0,121.0,114.0,118.0,116.43218231201172,3281000
2022-10-28,123.0,123.0,115.0,116.0,114.45875549316406,1215300
2022-10-31,117.0,122.0,113.0,115.0,113.4720458984375,4584700
2022-11-01,120.0,135.0,115.0,119.0,117.41889953613281,64429100
2022-11-02,119.0,119.0,113.0,114.0,112.4853286743164,12050100
2022-11-03,125.0,125.0,112.0,115.0,113.4720458984375,3145600
2022-11-04,119.0,119.0,113.0,114.0,112.4853286743164,2762300
2022-11-07,118.0,118.0,112.0,113.0,111.49861145019531,2456000
2022-11-08,118.0,118.0,111.0,113.0,111.49861145019531,1906300
2022-11-09,119.0,119.0,112.0,113.0,111.49861145019531,1647800
2022-11-10,118.0,118.0,111.0,113.0,111.49861145019531,1770100
