Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2011-11-21,450.0,450.0,390.0,450.0,450.0,97296500,1.0,,450.0,450.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0,,450.0
2011-11-22,510.0,540.0,470.0,510.0,510.0,194118500,1.0,,510.0,540.0,470.0,13.33333333333333,12.5163142954006,,,,,13.33333333333333,12.5163142954006,,,,,20.0,18.232155679395454,,,,,20.512820512820507,18.65859555804121,,,,,,490.0,,486.0,,483.0,,482.0,,490.0,,486.0,,483.0,,482.0,,490.0,,486.0,,483.0,,482.0,,490.0,,486.0,,483.0,,482.0
2011-11-23,510.0,510.0,475.0,510.0,510.0,47318500,1.0,,510.0,510.0,475.0,0.0,0.0,,,,,0.0,0.0,,,,,-5.555555555555558,-5.715841383994864,,,,,1.0638297872340496,1.0582109330537008,,,,,490.0,501.42857142857144,,497.36842105263145,,493.8538205980067,,492.603550295858,490.0,501.42857142857144,,497.36842105263145,,493.8538205980067,,492.603550295858,490.0,501.42857142857144,,497.36842105263145,,493.8538205980067,,492.603550295858,490.0,501.42857142857144,,497.36842105263145,,493.8538205980067,,492.603550295858
2011-11-24,500.0,510.0,485.0,500.0,500.0,24171500,1.0,,500.0,510.0,485.0,-1.9607843137254943,-1.9802627296179756,,,,,-1.9607843137254943,-1.9802627296179756,,,,,0.0,0.0,,,,,2.1052631578947434,2.0834086902842053,,,,,506.6666666666667,500.6666666666667,,498.46153846153834,,495.8787128712871,,494.8377581120944,506.6666666666667,500.6666666666667,,498.46153846153834,,495.8787128712871,,494.8377581120944,506.6666666666667,500.6666666666667,,498.46153846153834,,495.8787128712871,,494.8377581120944,506.6666666666667,500.6666666666667,,498.46153846153834,,495.8787128712871,,494.8377581120944
2011-11-25,495.0,510.0,495.0,495.0,495.0,7494000,1.0,,495.0,510.0,495.0,-1.0000000000000009,-1.005033585350145,,,,,-1.0000000000000009,-1.005033585350145,,,,,0.0,0.0,,,,,2.061855670103085,2.0408871631207037,,,,,501.6666666666667,497.741935483871,493.0,497.13270142180085,,495.62645830473906,,494.8793935217092,501.6666666666667,497.741935483871,493.0,497.13270142180085,,495.62645830473906,,494.8793935217092,501.6666666666667,497.741935483871,493.0,497.13270142180085,,495.62645830473906,,494.8793935217092,501.6666666666667,497.741935483871,493.0,497.13270142180085,,495.62645830473906,,494.8793935217092
2011-11-28,490.0,500.0,490.0,490.0,490.0,2302500,1.0,,490.0,500.0,490.0,-1.0101010101010055,-1.0152371464017962,8.888888888888879,8.515780834030677,,,-1.0101010101010055,-1.0152371464017962,8.888888888888879,8.515780834030677,,,-1.9607843137254943,-1.9802627296179756,11.111111111111116,10.536051565782635,,,-1.0101010101010055,-1.0152371464017962,25.64102564102564,22.82586519809801,,,495.0,493.8095238095238,501.0,494.5263157894737,,494.16507273489657,,493.77286411294506,495.0,493.8095238095238,501.0,494.5263157894737,,494.16507273489657,,493.77286411294506,495.0,493.8095238095238,501.0,494.5263157894737,,494.16507273489657,,493.77286411294506,495.0,493.8095238095238,501.0,494.5263157894737,,494.16507273489657,,493.77286411294506
2011-11-29,500.0,500.0,495.0,500.0,500.0,8424500,1.0,,500.0,500.0,495.0,2.0408163265306145,2.020270731751947,-1.9607843137254943,-1.9802627296179756,,,2.0408163265306145,2.020270731751947,-1.9607843137254943,-1.9802627296179756,,,0.0,0.0,-7.4074074074074066,-7.696104113612832,,,1.0204081632652962,1.0152371464017909,5.319148936170204,5.182506786458594,,,495.0,496.92913385826773,499.0,496.46430305973786,,495.5710558111212,,495.0545811155543,495.0,496.92913385826773,499.0,496.46430305973786,,495.5710558111212,,495.0545811155543,495.0,496.92913385826773,499.0,496.46430305973786,,495.5710558111212,,495.0545811155543,495.0,496.92913385826773,499.0,496.46430305973786,,495.5710558111212,,495.0545811155543
2011-11-30,530.0,550.0,495.0,530.0,530.0,21676000,1.0,,530.0,550.0,495.0,6.000000000000005,5.826890812397583,3.9215686274509887,3.846628082779614,,,6.000000000000005,5.826890812397583,3.9215686274509887,3.846628082779614,,,10.000000000000009,9.531017980432493,7.843137254901955,7.55075525081451,,,0.0,0.0,4.210526315789465,4.124295853404901,,,506.6666666666667,513.5294117647059,503.0,508.0967486122126,,503.4038065365587,,501.7094206856534,506.6666666666667,513.5294117647059,503.0,508.0967486122126,,503.4038065365587,,501.7094206856534,506.6666666666667,513.5294117647059,503.0,508.0967486122126,,503.4038065365587,,501.7094206856534,506.6666666666667,513.5294117647059,503.0,508.0967486122126,,503.4038065365587,,501.7094206856534
2011-12-01,530.0,530.0,530.0,530.0,530.0,0,1.0,,530.0,530.0,530.0,0.0,0.0,6.000000000000005,5.826890812397583,,,0.0,0.0,6.000000000000005,5.826890812397583,,,-3.6363636363636376,-3.7041271680349097,3.9215686274509887,3.846628082779614,,,7.070707070707072,6.831924397747723,9.278350515463906,8.872811560868422,,,520.0,521.7808219178082,509.0,515.5928224923061,,509.1902075199061,,506.7660616562957,520.0,521.7808219178082,509.0,515.5928224923061,,509.1902075199061,,506.7660616562957,520.0,521.7808219178082,509.0,515.5928224923061,,509.1902075199061,,506.7660616562957,520.0,521.7808219178082,509.0,515.5928224923061,,509.1902075199061,,506.7660616562957
2011-12-02,550.0,560.0,530.0,550.0,550.0,12621000,1.0,,550.0,560.0,530.0,3.773584905660377,3.704127168034908,11.111111111111116,10.536051565782635,,,3.773584905660377,3.704127168034908,11.111111111111116,10.536051565782635,,,5.660377358490565,5.505977718302739,9.80392156862746,9.352605801082357,,,0.0,0.0,7.070707070707072,6.831924397747723,,,536.6666666666666,535.9042033235581,520.0,527.2642826367945,506.5,517.7625560223445,,514.0995711969762,536.6666666666666,535.9042033235581,520.0,527.2642826367945,506.5,517.7625560223445,,514.0995711969762,536.6666666666666,535.9042033235581,520.0,527.2642826367945,506.5,517.7625560223445,,514.0995711969762,536.6666666666666,535.9042033235581,520.0,527.2642826367945,506.5,517.7625560223445,,514.0995711969762
