Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,276.0,282.0,260.0,264.0,260.1534729003906,57519000
2017-06-23,264.0,264.0,264.0,264.0,260.1534729003906,0
2017-06-26,264.0,264.0,264.0,264.0,260.1534729003906,0
2017-06-27,264.0,264.0,264.0,264.0,260.1534729003906,0
2017-06-28,264.0,264.0,264.0,264.0,260.1534729003906,0
2017-06-29,264.0,264.0,264.0,264.0,260.1534729003906,0
2017-06-30,264.0,264.0,264.0,264.0,260.1534729003906,0
2017-07-03,270.0,274.0,240.0,260.0,256.2117614746094,21551600
2017-07-04,260.0,264.0,252.0,264.0,260.1534729003906,13452200
2017-07-05,260.0,264.0,246.0,264.0,260.1534729003906,11462200
2017-07-06,262.0,270.0,258.0,264.0,260.1534729003906,27620600
2017-07-07,264.0,268.0,258.0,262.0,258.1826171875,10999500
2017-07-10,262.0,262.0,262.0,262.0,258.1826171875,0
2017-07-11,262.0,264.0,256.0,260.0,256.2117614746094,9271800
2017-07-12,258.0,262.0,256.0,258.0,254.2409210205078,10583300
2017-07-13,260.0,260.0,254.0,260.0,256.2117614746094,5728000
2017-07-14,260.0,260.0,256.0,258.0,254.2409210205078,3268400
2017-07-17,256.0,258.0,254.0,254.0,250.29917907714844,3696400
2017-07-18,254.0,260.0,244.0,250.0,246.35745239257812,11108100
2017-07-19,250.0,254.0,246.0,248.0,244.3865966796875,2410700
2017-07-20,248.0,250.0,244.0,244.0,240.44488525390625,6336700
2017-07-21,244.0,250.0,240.0,242.0,238.47402954101562,6130100
2017-07-24,242.0,244.0,230.0,232.0,228.61973571777344,12127000
2017-07-25,232.0,272.0,230.0,258.0,254.2409210205078,36501800
2017-07-26,258.0,268.0,252.0,258.0,254.2409210205078,10263100
2017-07-27,260.0,260.0,246.0,254.0,250.29917907714844,4491000
2017-07-28,254.0,260.0,238.0,240.0,236.503173828125,6102500
2017-07-31,242.0,254.0,236.0,244.0,240.44488525390625,4988400
2017-08-01,246.0,254.0,240.0,242.0,238.47402954101562,3787900
2017-08-02,240.0,244.0,236.0,240.0,236.503173828125,4177700
2017-08-03,238.0,242.0,236.0,238.0,234.5323028564453,3212500
2017-08-04,240.0,250.0,234.0,236.0,232.5614471435547,2762100
2017-08-07,236.0,240.0,234.0,236.0,232.5614471435547,3498600
2017-08-08,238.0,238.0,232.0,236.0,232.5614471435547,3380100
2017-08-09,234.0,236.0,230.0,232.0,228.61973571777344,3743500
2017-08-10,234.0,236.0,228.0,232.0,228.61973571777344,5872900
2017-08-11,232.0,232.0,226.0,228.0,224.67799377441406,5183700
2017-08-14,228.0,230.0,226.0,228.0,224.67799377441406,2619100
2017-08-15,226.0,236.0,224.0,230.0,226.64886474609375,3199700
2017-08-16,230.0,240.0,228.0,232.0,228.61973571777344,12153100
2017-08-17,232.0,232.0,232.0,232.0,228.61973571777344,0
2017-08-18,232.0,234.0,228.0,230.0,226.64886474609375,2723900
2017-08-21,230.0,234.0,230.0,230.0,226.64886474609375,1585600
2017-08-22,230.0,230.0,226.0,226.0,222.70713806152344,3508300
2017-08-23,226.0,240.0,226.0,240.0,236.503173828125,14194200
2017-08-24,244.0,244.0,238.0,238.0,234.5323028564453,3917700
2017-08-25,238.0,238.0,232.0,238.0,234.5323028564453,4359600
2017-08-28,240.0,244.0,234.0,242.0,238.47402954101562,2991200
2017-08-29,242.0,254.0,242.0,242.0,238.47402954101562,8052000
2017-08-30,246.0,248.0,240.0,246.0,242.41574096679688,3069700
2017-08-31,246.0,250.0,240.0,250.0,246.35745239257812,4952100
2017-09-01,250.0,250.0,250.0,250.0,246.35745239257812,0
2017-09-04,254.0,254.0,242.0,242.0,238.47402954101562,3278400
2017-09-05,242.0,242.0,236.0,238.0,234.5323028564453,2846700
2017-09-06,240.0,240.0,234.0,236.0,232.5614471435547,1777300
2017-09-07,234.0,238.0,232.0,232.0,228.61973571777344,943200
2017-09-08,232.0,234.0,230.0,230.0,226.64886474609375,2085000
2017-09-11,230.0,236.0,228.0,230.0,226.64886474609375,2395000
2017-09-12,232.0,232.0,224.0,228.0,224.67799377441406,11568100
2017-09-13,228.0,230.0,224.0,224.0,220.7362823486328,5081800
2017-09-14,226.0,228.0,224.0,226.0,222.70713806152344,2088600
2017-09-15,226.0,236.0,226.0,228.0,224.67799377441406,2765000
2017-09-18,228.0,228.0,224.0,224.0,220.7362823486328,1920900
2017-09-19,224.0,228.0,220.0,220.0,216.79457092285156,2481800
2017-09-20,220.0,232.0,220.0,226.0,222.70713806152344,4815600
2017-09-21,226.0,226.0,226.0,226.0,222.70713806152344,0
2017-09-22,226.0,228.0,224.0,226.0,222.70713806152344,1588000
2017-09-25,226.0,230.0,224.0,228.0,224.67799377441406,3620000
2017-09-26,230.0,230.0,222.0,230.0,226.64886474609375,4539000
2017-09-27,230.0,234.0,226.0,226.0,222.70713806152344,2347100
2017-09-28,228.0,230.0,226.0,226.0,222.70713806152344,3205400
2017-09-29,226.0,228.0,222.0,224.0,220.7362823486328,912900
2017-10-02,226.0,226.0,222.0,224.0,220.7362823486328,3605400
2017-10-03,224.0,228.0,220.0,222.0,218.7654266357422,3348500
2017-10-04,222.0,226.0,222.0,222.0,218.7654266357422,2233100
2017-10-05,222.0,226.0,220.0,226.0,222.70713806152344,1939800
2017-10-06,224.0,228.0,224.0,228.0,224.67799377441406,2150900
2017-10-09,228.0,228.0,222.0,222.0,218.7654266357422,951200
2017-10-10,222.0,224.0,218.0,218.0,214.82371520996094,1070400
2017-10-11,218.0,224.0,216.0,216.0,212.85284423828125,5781600
2017-10-12,218.0,218.0,214.0,214.0,210.88198852539062,5329600
2017-10-13,216.0,218.0,208.0,210.0,206.94027709960938,3921700
2017-10-16,208.0,230.0,208.0,230.0,226.64886474609375,9827700
2017-10-17,230.0,230.0,214.0,220.0,216.79457092285156,1919400
2017-10-18,220.0,220.0,214.0,216.0,212.85284423828125,2768500
2017-10-19,216.0,218.0,212.0,216.0,212.85284423828125,2275500
2017-10-20,216.0,218.0,210.0,216.0,212.85284423828125,3734300
2017-10-23,216.0,218.0,212.0,216.0,212.85284423828125,2074500
2017-10-24,216.0,222.0,216.0,218.0,214.82371520996094,3566100
2017-10-25,220.0,222.0,216.0,220.0,216.79457092285156,7605100
2017-10-26,220.0,222.0,216.0,220.0,216.79457092285156,6119900
2017-10-27,222.0,222.0,216.0,222.0,218.7654266357422,4515600
2017-10-30,222.0,234.0,220.0,234.0,230.59059143066406,10447700
2017-10-31,234.0,238.0,228.0,232.0,228.61973571777344,10989500
2017-11-01,232.0,236.0,220.0,230.0,226.64886474609375,4962200
2017-11-02,230.0,230.0,222.0,226.0,222.70713806152344,4982100
2017-11-03,226.0,226.0,220.0,226.0,222.70713806152344,5301800
2017-11-06,226.0,226.0,222.0,226.0,222.70713806152344,5533700
2017-11-07,224.0,226.0,222.0,224.0,220.7362823486328,3872800
2017-11-08,224.0,226.0,222.0,224.0,220.7362823486328,368000
2017-11-09,224.0,226.0,218.0,226.0,222.70713806152344,5927200
2017-11-10,222.0,226.0,220.0,226.0,222.70713806152344,2259100
2017-11-13,226.0,234.0,220.0,232.0,228.61973571777344,13916500
2017-11-14,232.0,238.0,228.0,232.0,228.61973571777344,1276700
2017-11-15,232.0,246.0,228.0,240.0,236.503173828125,9626800
2017-11-16,246.0,246.0,234.0,240.0,236.503173828125,6756400
2017-11-17,242.0,242.0,236.0,236.0,232.5614471435547,781500
2017-11-20,236.0,238.0,234.0,234.0,230.59059143066406,889200
2017-11-21,234.0,260.0,234.0,250.0,246.35745239257812,34769600
2017-11-22,256.0,256.0,238.0,240.0,236.503173828125,7503500
2017-11-23,240.0,240.0,230.0,234.0,230.59059143066406,3407000
2017-11-24,234.0,236.0,228.0,234.0,230.59059143066406,11461200
2017-11-27,234.0,236.0,232.0,234.0,230.59059143066406,673000
2017-11-28,232.0,240.0,232.0,236.0,232.5614471435547,2296800
2017-11-29,240.0,240.0,236.0,238.0,234.5323028564453,339300
2017-11-30,234.0,238.0,232.0,236.0,232.5614471435547,227400
2017-12-01,236.0,236.0,236.0,236.0,232.5614471435547,0
2017-12-04,230.0,250.0,230.0,236.0,232.5614471435547,9430300
2017-12-05,236.0,240.0,228.0,240.0,236.503173828125,9917900
2017-12-06,238.0,240.0,232.0,234.0,230.59059143066406,460300
2017-12-07,232.0,232.0,230.0,232.0,228.61973571777344,307600
2017-12-08,232.0,244.0,226.0,230.0,226.64886474609375,18605800
2017-12-11,230.0,240.0,228.0,232.0,228.61973571777344,4309000
2017-12-12,230.0,232.0,228.0,232.0,228.61973571777344,1261900
2017-12-13,230.0,232.0,230.0,230.0,226.64886474609375,735400
2017-12-14,230.0,242.0,226.0,238.0,234.5323028564453,7821200
2017-12-15,238.0,238.0,228.0,234.0,230.59059143066406,6634500
2017-12-18,230.0,232.0,228.0,232.0,228.61973571777344,621700
2017-12-19,230.0,232.0,226.0,228.0,224.67799377441406,198000
2017-12-20,228.0,240.0,222.0,226.0,222.70713806152344,9890000
